df_hash,22ZHK4.DZ2M1F
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.ZTS5
person_label,V94
date_time_start,2025-11-04_17-52-19.908000_+03
date_time_start_unix,1762264339.908
date_time_end,2025-11-04_18-01-06.541000_+03
length_difference_noticed,no

time,ppg_ir,ppg_ambient,ppg_red
6.343,138644,207,196329
6.348,138636,207,196298
6.353,138615,206,196270
6.358,138609,207,196262
6.363,138590,206,196243
6.368,138593,218,196217
6.373,138568,208,196201
6.378,138575,213,196180
6.383,138556,211,196134
6.388,138557,211,196135
6.393,138546,209,196093
6.398,138539,209,196083
6.403,138538,208,196090
6.408,138519,207,196065
6.413,138514,206,196054
6.418,138511,206,196046
6.423,138494,209,196036
6.428,138492,209,196005
6.432,138481,207,196004
6.437,138492,207,195964
6.442,138475,207,195958
6.447,138472,207,195958
6.452,138469,206,195954
6.457,138460,207,195928
6.462,138471,207,195945
6.467,138457,206,195952
6.472,138459,210,195929
6.477,138464,210,195956
6.482,138460,210,195969
6.487,138460,208,195974
6.492,138461,208,195987
6.497,138476,207,195997
6.502,138466,208,196004
6.507,138480,207,196003
6.512,138477,206,196013
6.517,138483,207,196018
6.522,138474,212,196022
6.527,138475,211,196001
6.532,138469,211,196019
6.537,138472,210,196017
6.542,138474,210,196025
6.547,138482,209,196032
6.552,138493,210,196034
6.557,138495,209,196038
6.562,138485,209,196041
6.567,138498,209,196034
6.572,138499,206,196041
6.576,138491,207,196041
6.581,138511,207,196049
6.586,138501,206,196046
6.591,138503,206,196041
6.596,138512,205,196056
6.601,138511,207,196045
6.606,138523,205,196060
6.611,138508,216,196047
6.616,138535,202,196043
6.621,138506,208,196048
6.626,138520,206,196034
6.631,138518,206,196032
6.636,138516,205,196016
6.641,138509,206,196048
6.646,138527,216,196046
6.651,138532,214,196063
6.656,138539,213,196046
6.661,138533,212,196070
6.666,138554,205,196058
6.671,138567,216,196087
6.676,138558,213,196099
6.681,138572,212,196095
6.686,138572,210,196110
6.691,138583,210,196104
6.696,138570,209,196110
6.701,138581,209,196129
6.706,138592,207,196135
6.711,138588,207,196149
6.715,138598,210,196140
6.720,138606,212,196159
6.725,138612,209,196151
6.730,138616,209,196174
6.735,138626,207,196190
6.740,138654,207,196200
6.745,138644,205,196213
6.750,138664,216,196219
6.755,138664,214,196220
6.760,138669,214,196242
6.765,138679,205,196284
6.770,138684,205,196273
6.775,138710,216,196305
6.780,138716,215,196316
6.785,138721,214,196339
6.790,138732,214,196331
6.795,138734,211,196351
6.800,138752,211,196365
6.805,138744,208,196390
6.810,138761,208,196390
6.815,138770,206,196394
6.820,138790,207,196427
6.825,138793,205,196423
6.830,138795,215,196425
6.835,138806,213,196450
6.840,138801,213,196441
6.845,138812,211,196476
6.850,138826,210,196474
