df_hash,22ZHK4.4XY8EU
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.43TV
person_label,V96
date_time_start,2025-11-04_18-24-47.110000_+03
date_time_start_unix,1762266287.11
date_time_end,2025-11-04_18-33-05.679000_+03
length_difference_noticed,no

time,ppg_quality
55.813,70
57.833,74
59.853,66
61.873,65
62.883,68
63.893,69
65.913,65
66.923,56
68.943,46
70.963,51
71.973,51
72.983,44
73.993,46
75.003,49
76.013,58
77.023,70
79.043,72
80.053,68
82.073,67
84.093,77
86.113,66
88.133,52
89.143,57
90.153,55
92.173,62
93.183,64
95.203,61
97.223,61
99.233,77
101.253,82
103.273,74
104.283,66
105.293,72
106.303,75
108.323,76
110.343,68
111.353,67
112.363,63
113.373,56
114.383,50
116.403,48
118.423,45
119.433,47
121.453,42
123.473,50
124.483,60
125.493,62
126.503,63
127.513,67
129.533,63
131.543,65
132.553,64
134.573,51
136.593,38
138.613,36
139.623,35
140.633,34
142.653,38
143.663,44
144.673,50
145.683,56
147.703,60
149.723,52
150.733,51
152.753,55
153.763,54
155.783,56
156.793,57
158.813,56
160.833,46
162.853,20
164.873,9
165.883,4
169.923,14
171.943,51
173.963,62
174.973,71
175.983,72
176.993,78
178.003,84
180.023,79
181.033,71
183.053,73
184.063,77
185.073,73
187.093,78
189.113,74
191.133,79
192.143,74
193.153,68
194.163,60
196.183,53
197.193,52
198.203,50
200.223,50
202.243,50
203.253,47
205.273,72
206.283,78
207.293,77
209.313,71
211.333,67
213.353,80
215.373,57
216.383,46
217.393,48
220.423,58
222.443,49
224.463,34
226.483,29
228.503,22
230.523,10
231.533,7
233.553,10
235.573,19
237.593,7
241.633,17
243.653,31
244.663,28
246.683,27
248.703,50
250.723,57
252.743,41
253.753,33
254.763,31
255.773,29
256.783,29
257.793,31
259.813,28
260.823,26
261.833,34
262.843,42
263.853,50
265.873,62
267.893,56
268.903,45
270.923,19
276.983,1
277.993,8
279.003,14
280.013,29
282.033,48
284.053,42
286.073,31
287.083,24
288.093,22
289.103,26
290.113,22
292.133,25
293.143,27
294.153,30
297.183,72
298.193,77
299.203,78
301.223,81
303.243,86
305.263,83
307.283,57
308.293,52
310.313,55
312.333,59
314.353,72
315.363,77
317.383,85
318.393,93
320.413,95
321.423,92
322.433,87
323.443,79
325.463,69
327.483,66
329.503,50
330.513,43
331.523,43
332.533,44
333.543,41
335.563,32
336.573,38
338.593,44
340.613,39
342.633,39
344.653,43
346.673,40
347.683,36
348.693,37
349.703,43
351.723,58
353.743,71
355.763,75
356.773,71
358.793,75
359.803,74
362.833,59
364.853,54
366.873,60
368.893,44
370.913,41
372.933,43
373.943,37
375.963,35
377.983,51
378.993,61
380.003,70
382.023,73
384.043,66
385.053,66
386.063,69
387.073,59
388.083,55
389.093,52
391.113,52
393.133,61
394.143,67
395.153,77
396.163,83
397.173,88
399.193,95
400.203,85
402.223,75
404.243,70
406.263,59
407.273,57
408.283,52
409.293,51
410.303,57
411.313,58
413.333,59
415.353,49
417.373,49
419.393,46
420.403,42
422.423,28
423.433,36
425.453,44
426.463,35
427.473,26
428.483,22
430.503,16
432.523,24
433.533,20
434.543,16
436.563,25
437.573,25
438.583,26
439.593,22
441.613,19
452.723,6
454.743,8
460.803,3
461.813,6
462.823,7
463.833,11
465.853,44
467.873,62
468.883,62
469.893,56
471.913,46
473.933,39
474.943,35
476.963,23
478.983,49
479.993,56
481.003,74
483.023,87
484.033,80
485.043,71
487.063,65
488.073,45
490.093,32
492.113,19
494.133,28
