df_hash,22ZHK4.4XY8EU
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.43TV
person_label,V96
date_time_start,2025-11-04_18-24-47.110000_+03
date_time_start_unix,1762266287.11
date_time_end,2025-11-04_18-33-05.679000_+03
length_difference_noticed,no

time,temperature
2.745,33.562
3.908,33.562
4.736,33.625
5.761,33.688
6.861,33.688
7.709,33.719
8.732,33.750
9.707,33.781
10.731,33.781
11.708,33.781
12.730,33.812
13.705,33.875
14.728,33.844
15.752,33.844
16.727,33.875
18.092,33.875
18.726,33.906
19.701,33.906
20.733,34.000
21.699,34.000
22.724,34.000
23.799,34.062
24.722,34.125
25.699,34.125
26.721,34.188
27.745,34.125
28.720,34.156
29.938,34.125
30.719,34.125
31.694,34.156
32.721,34.156
33.838,34.125
34.716,34.094
35.691,34.094
36.715,34.094
38.000,34.156
38.801,34.156
39.689,34.156
40.713,34.156
41.688,34.188
42.712,34.219
43.739,34.250
44.710,34.250
45.734,34.219
46.709,34.281
47.835,34.281
48.708,34.344
49.734,34.344
50.804,34.375
51.730,34.406
52.708,34.438
53.729,34.469
54.757,34.500
55.730,34.594
56.705,34.562
57.726,34.562
58.708,34.594
59.725,34.625
60.706,34.625
61.724,34.625
62.699,34.625
63.727,34.625
64.698,34.625
65.721,34.656
66.943,34.688
67.720,34.719
68.695,34.719
69.728,34.719
70.711,34.750
71.783,34.781
72.693,34.812
73.717,34.844
74.789,34.875
75.720,34.875
76.690,34.844
77.719,34.875
78.716,34.875
79.719,34.875
80.696,34.875
81.764,34.875
82.738,34.844
83.710,34.875
84.685,34.906
85.709,34.938
86.684,34.969
87.707,34.969
88.831,34.969
89.710,34.969
90.682,35.000
91.754,35.031
92.729,35.062
93.752,35.031
94.925,34.969
95.707,34.969
96.766,35.000
97.777,35.000
98.972,35.000
99.821,35.000
100.724,35.000
101.702,34.969
102.723,35.000
103.746,35.031
104.722,35.062
105.943,35.062
106.736,35.125
107.696,35.125
108.719,35.125
109.744,35.156
110.719,35.156
111.693,35.188
112.717,35.188
113.889,35.188
114.716,35.188
115.788,35.156
116.714,35.125
117.689,35.156
118.713,35.156
119.688,35.188
120.712,35.156
121.687,35.156
122.711,35.156
123.686,35.125
124.709,35.188
125.684,35.156
126.711,35.188
128.077,35.156
128.804,35.156
129.682,35.156
130.707,35.156
131.703,35.156
132.802,35.188
133.679,35.219
134.703,35.188
135.681,35.219
136.725,35.188
137.679,35.219
138.705,35.281
139.676,35.312
140.699,35.344
141.728,35.281
142.712,35.281
143.722,35.250
144.697,35.281
145.721,35.281
146.696,35.281
147.720,35.219
148.721,35.219
149.718,35.250
150.693,35.250
151.766,35.312
152.692,35.344
153.716,35.344
154.691,35.375
155.715,35.406
156.744,35.469
157.713,35.531
158.688,35.531
159.907,35.500
160.687,35.469
161.719,35.438
162.735,35.438
163.860,35.469
164.685,35.438
165.709,35.406
166.683,35.375
167.707,35.375
168.706,35.375
169.706,35.406
170.680,35.406
171.728,35.438
172.683,35.406
173.901,35.375
174.730,35.375
175.703,35.406
176.779,35.406
177.701,35.406
178.676,35.406
179.943,35.344
180.680,35.344
181.698,35.312
182.827,35.344
183.697,35.375
184.672,35.375
185.696,35.375
186.671,35.406
187.694,35.406
188.670,35.406
189.694,35.469
190.722,35.469
191.887,35.500
192.716,35.469
193.937,35.469
194.714,35.469
195.689,35.500
196.717,35.406
197.691,35.406
198.712,35.406
199.741,35.375
200.711,35.406
201.686,35.375
202.710,35.406
203.685,35.438
204.708,35.438
205.684,35.406
206.707,35.500
207.730,35.531
208.706,35.531
209.683,35.531
210.705,35.531
211.680,35.562
212.704,35.562
213.796,35.562
214.729,35.562
215.678,35.562
216.701,35.531
217.680,35.531
218.700,35.531
219.921,35.531
220.747,35.500
221.674,35.469
222.697,35.469
223.696,35.500
224.799,35.438
225.671,35.469
226.695,35.500
227.721,35.500
228.842,35.500
229.669,35.531
230.693,35.594
231.668,35.625
232.691,35.625
233.666,35.562
234.690,35.594
235.717,35.594
236.689,35.594
237.664,35.625
238.687,35.594
239.732,35.688
240.686,35.625
241.710,35.625
242.733,35.625
243.708,35.688
244.686,35.688
245.708,35.688
246.686,35.688
247.706,35.719
248.681,35.750
249.705,35.656
250.680,35.656
251.704,35.750
252.683,35.750
253.703,35.750
254.678,35.750
255.701,35.750
256.676,35.781
257.700,35.719
258.871,35.719
259.708,35.750
260.674,35.750
261.698,35.688
262.697,35.688
263.697,35.688
264.676,35.688
265.695,35.719
266.675,35.688
267.694,35.719
268.669,35.719
269.772,35.688
270.668,35.656
271.723,35.656
272.815,35.656
273.690,35.625
274.714,35.594
275.689,35.594
276.664,35.594
277.688,35.594
278.663,35.562
279.687,35.562
280.662,35.625
281.685,35.594
282.664,35.562
283.684,35.562
284.659,35.594
285.684,35.594
286.712,35.594
287.704,35.562
288.709,35.562
289.680,35.531
290.704,35.531
291.679,35.562
292.703,35.500
293.727,35.562
294.702,35.562
295.677,35.562
296.700,35.562
297.675,35.594
298.699,35.625
299.674,35.656
300.698,35.625
301.674,35.656
302.700,35.719
303.967,35.719
304.696,35.719
305.671,35.719
306.694,35.750
307.669,35.781
308.693,35.781
309.668,35.781
310.692,35.812
311.667,35.812
312.690,35.844
313.719,35.812
314.689,35.844
315.664,35.812
