df_hash,22ZHK4.VJETEC
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.A8GQ
person_label,V97
date_time_start,2025-11-04_18-40-06.966000_+03
date_time_start_unix,1762267206.966
date_time_end,2025-11-04_18-48-54.869000_+03
length_difference_noticed,no

time,battery
7.652,84
17.717,84
27.639,84
37.636,84
47.627,84
57.621,84
67.663,84
77.681,84
87.651,84
97.745,84
107.639,84
117.682,83
127.629,83
137.620,83
147.615,83
157.754,83
167.650,83
177.644,83
187.738,83
197.681,83
207.629,83
217.668,83
227.613,83
237.607,83
247.601,83
257.595,83
267.686,83
277.631,83
287.625,83
297.619,83
307.613,83
317.703,83
327.602,83
337.654,83
347.590,83
357.592,83
367.624,83
377.640,83
387.618,83
397.606,83
407.634,83
417.691,82
427.684,82
437.581,82
447.728,82
457.618,82
467.611,82
477.605,82
487.624,82
497.592,82
507.586,82
517.580,82
