df_hash,22ZHK4.VJETEC
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.A8GQ
person_label,V97
date_time_start,2025-11-04_18-40-06.966000_+03
date_time_start_unix,1762267206.966
date_time_end,2025-11-04_18-48-54.869000_+03
length_difference_noticed,no

time,ppg_ir,ppg_ambient,ppg_red
5.058,171985,514,250868
5.063,171967,513,250863
5.068,171973,514,250842
5.073,171960,519,250843
5.078,171969,506,250827
5.083,171952,504,250830
5.088,171949,506,250841
5.093,171951,518,250805
5.097,171955,518,250803
5.102,171947,516,250807
5.107,171930,516,250797
5.112,171921,513,250794
5.117,171933,510,250783
5.122,171914,511,250790
5.127,171936,512,250757
5.132,171929,511,250756
5.137,171913,512,250767
5.142,171919,510,250758
5.147,171915,510,250755
5.152,171918,510,250769
5.157,171907,512,250741
5.162,171909,511,250751
5.167,171909,502,250770
5.172,171910,499,250745
5.177,171909,502,250761
5.182,171918,501,250730
5.187,171918,500,250740
5.192,171918,500,250760
5.197,171919,501,250750
5.202,171924,498,250738
5.207,171905,500,250757
5.212,171909,500,250753
5.217,171933,505,250751
5.222,171923,504,250774
5.227,171939,506,250773
5.232,171936,504,250760
5.237,171958,503,250765
5.241,171955,503,250758
5.246,171978,503,250804
5.251,171975,502,250814
5.256,171981,503,250804
5.261,171991,504,250821
5.266,171982,497,250850
5.271,171998,496,250832
5.276,172014,495,250860
5.281,172010,495,250848
5.286,172014,495,250852
5.291,172009,491,250857
5.296,172015,506,250869
5.301,172018,504,250845
5.306,171998,503,250824
5.311,172019,503,250838
5.316,172009,500,250811
5.321,171992,500,250825
5.326,172011,498,250798
5.331,172004,496,250806
5.336,171995,497,250815
5.341,171992,495,250805
5.346,171996,495,250801
5.351,171993,493,250786
5.356,171963,493,250783
5.361,171985,496,250773
5.366,171981,496,250763
5.371,171988,494,250751
5.376,171993,496,250774
5.381,171965,495,250731
5.386,171966,495,250753
5.390,171957,493,250745
5.395,171969,495,250737
5.400,171952,495,250737
5.405,171962,496,250722
5.410,171982,499,250736
5.415,171975,501,250723
5.420,171974,499,250696
5.425,171959,488,250711
5.430,171976,485,250716
5.435,171969,486,250719
5.440,171963,487,250708
5.445,171968,487,250691
5.450,171966,486,250692
5.455,171971,488,250715
5.460,171985,493,250706
5.465,171971,493,250702
5.470,171976,492,250700
5.475,171985,494,250711
5.480,171984,494,250703
5.485,171974,496,250688
5.490,171991,497,250682
5.495,171987,498,250674
5.500,171964,496,250651
5.505,171951,497,250638
5.510,171964,487,250628
5.515,171924,489,250608
5.520,171927,488,250588
5.525,171915,489,250567
5.530,171896,489,250564
5.534,171891,489,250550
5.539,171864,490,250525
5.544,171855,490,250498
5.549,171840,488,250485
5.554,171816,491,250443
5.559,171801,488,250448
5.564,171795,488,250425
5.569,171779,488,250410
5.574,171761,490,250384
5.579,171746,490,250353
5.584,171731,493,250356
5.589,171727,492,250334
5.594,171704,495,250332
5.599,171711,481,250315
5.604,171650,486,250272
5.609,171692,489,250271
5.614,171704,490,250276
5.619,171674,490,250083
5.624,171658,410,250259
5.629,171665,417,250255
5.634,171673,421,250249
5.639,171661,425,250242
5.644,171660,427,250232
5.649,171628,429,250209
5.654,171637,422,250204
5.659,171630,424,250183
5.664,171630,426,250178
5.669,171619,427,250159
5.674,171605,426,250131
5.679,171618,428,250134
5.683,171590,430,250108
5.688,171575,433,250130
5.693,171581,435,250111
5.698,171563,437,250095
5.703,171553,444,250070
5.708,171559,444,250081
5.713,171555,444,250072
5.718,171538,447,250063
5.723,171537,446,250040
5.728,171548,532,250036
5.733,171546,524,250040
5.738,171528,521,250020
5.743,171548,517,250030
5.748,171528,515,249988
5.753,171524,505,250017
5.758,171532,503,250013
5.763,171535,501,249997
5.768,171517,499,249981
5.773,171529,498,249992
5.778,171530,497,249987
5.783,171520,497,249990
5.788,171523,495,249964
5.793,171533,494,249971
5.798,171535,497,249988
5.803,171519,491,249984
5.808,171510,491,249972
5.813,171509,489,249963
5.818,171509,489,249949
5.823,171530,488,249951
5.827,171519,486,249943
5.832,171518,484,249943
5.837,171503,484,249934
5.842,171503,482,249927
5.847,171514,481,249926
5.852,171512,486,249925
5.857,171511,487,249933
5.862,171505,485,249928
5.867,171508,485,249945
5.872,171513,484,249920
5.877,171502,483,249915
5.882,171514,482,249918
5.887,171502,481,249912
5.892,171491,479,249907
5.897,171507,486,249907
5.902,171502,484,249907
5.907,171506,484,249897
5.912,171493,482,249881
5.917,171507,484,249910
5.922,171501,482,249901
5.927,171508,483,249891
5.932,171513,483,249886
5.937,171502,486,249875
5.942,171502,485,249896
5.947,171514,467,249858
5.952,171497,482,249865
5.957,171486,485,249855
5.962,171485,483,249841
5.967,171476,484,249870
5.972,171496,485,249848
5.976,171491,483,249834
5.981,171481,483,249844
5.986,171486,483,249829
5.991,171490,483,249820
5.996,171485,476,249820
6.001,171485,475,249823
6.006,171500,477,249809
6.011,171491,476,249819
6.016,171494,476,249803
6.021,171477,477,249810
6.026,171482,478,249793
6.031,171486,479,249810
6.036,171484,479,249803
6.041,171470,480,249816
6.046,171487,472,249794
6.051,171489,469,249821
6.056,171509,470,249825
6.061,171495,471,249825
6.066,171488,472,249806
6.071,171505,471,249816
6.076,171517,472,249806
6.081,171514,470,249829
6.086,171529,472,249828
6.091,171518,470,249815
6.096,171523,477,249840
6.101,171522,474,249839
6.106,171520,473,249824
6.111,171527,472,249843
6.116,171541,472,249848
6.120,171554,471,249827
6.125,171538,471,249842
6.130,171537,469,249849
6.135,171560,470,249851
6.140,171536,472,249844
6.145,171558,474,249865
6.150,171559,471,249859
