df_hash,22ZHK4.25F3JF
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.7JT9
person_label,V145
date_time_start,2026-06-08_16-35-56.969000_+03
date_time_start_unix,1780918556.969
date_time_end,2026-06-08_16-48-43.335000_+03
length_difference_noticed,no

time,perfusion_ir
125.323,0.150
128.486,0.150
138.043,0.150
147.552,0.150
176.476,0.150
181.138,0.150
192.070,0.150
192.932,0.140
198.540,0.150
200.926,0.150
201.557,0.150
203.315,0.140
204.193,0.140
206.291,0.140
208.726,0.140
209.314,0.140
209.896,0.130
214.953,0.130
218.622,0.130
235.193,0.130
236.174,0.130
238.826,0.130
239.683,0.130
248.828,0.130
251.964,0.130
260.424,0.130
261.433,0.140
263.624,0.140
267.710,0.140
268.544,0.140
269.562,0.140
270.347,0.140
272.338,0.140
273.244,0.140
284.918,0.140
286.719,0.140
288.674,0.140
293.126,0.140
294.816,0.140
296.724,0.140
305.246,0.140
306.243,0.150
314.122,0.150
315.775,0.150
317.387,0.140
317.649,0.140
325.527,0.140
327.235,0.140
328.062,0.140
328.352,0.140
330.889,0.140
333.522,0.140
337.321,0.140
339.317,0.140
340.297,0.140
343.074,0.150
343.955,0.150
349.717,0.140
350.781,0.140
352.681,0.140
354.534,0.140
355.460,0.140
358.526,0.140
361.208,0.140
362.278,0.140
363.157,0.140
374.297,0.140
375.282,0.150
376.170,0.140
377.397,0.140
378.225,0.140
379.927,0.140
381.196,0.140
385.443,0.150
387.991,0.150
389.776,0.140
390.753,0.140
419.021,0.150
419.804,0.150
419.851,0.150
421.995,0.150
424.728,0.150
426.821,0.150
427.845,0.150
431.647,0.150
435.422,0.150
436.376,0.150
437.464,0.150
438.324,0.150
439.353,0.150
440.178,0.150
441.205,0.150
441.930,0.150
443.734,0.150
448.025,0.150
459.580,0.150
472.109,0.150
473.964,0.150
497.113,0.150
503.896,0.150
504.770,0.150
506.593,0.150
514.132,0.150
516.712,0.150
517.032,0.150
517.883,0.150
527.098,0.150
531.630,0.150
537.427,0.150
540.260,0.140
541.132,0.150
543.724,0.140
545.475,0.140
547.287,0.140
548.113,0.140
549.964,0.140
551.034,0.140
551.567,0.140
555.172,0.140
557.201,0.150
557.956,0.150
559.023,0.150
559.660,0.150
560.493,0.150
561.460,0.150
569.609,0.140
569.659,0.140
580.765,0.140
585.203,0.140
588.711,0.150
603.142,0.140
606.726,0.150
610.257,0.150
613.878,0.150
616.545,0.150
618.439,0.150
632.489,0.150
638.646,0.150
642.155,0.150
644.186,0.150
644.923,0.150
647.661,0.150
648.336,0.150
648.811,0.150
654.325,0.150
656.231,0.150
656.866,0.150
667.100,0.150
685.305,0.150
688.403,0.150
689.278,0.160
689.476,0.160
694.545,0.160
695.570,0.170
696.541,0.170
697.585,0.170
699.518,0.170
712.608,0.180
713.489,0.180
718.091,0.170
719.017,0.170
719.850,0.170
720.972,0.170
722.816,0.170
725.901,0.170
730.137,0.170
733.205,0.170
736.372,0.170
742.416,0.160
744.237,0.150
