df_hash,22ZHK4.25F3JF
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.7JT9
person_label,V145
date_time_start,2026-06-08_16-35-56.969000_+03
date_time_start_unix,1780918556.969
date_time_end,2026-06-08_16-48-43.335000_+03
length_difference_noticed,no

time,respiration_rate
229.240,13
233.560,13
238.310,13
242.760,13
247.520,13
252.160,12
256.320,12
270.060,13
274.620,11
352.630,16
357.520,17
362.430,18
367.230,17
372.160,17
376.480,16
381.150,16
458.620,14
463.930,14
468.420,14
564.980,15
569.500,15
573.910,13
580.900,15
586.890,16
591.280,16
596.660,16
602.570,16
606.860,16
745.400,17
751.030,17
755.790,17
759.960,17
764.460,17
