df_hash,22ZHK4.0K8Q7Z
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.XHK9
person_label,V147
date_time_start,2026-06-08_17-10-02.041000_+03
date_time_start_unix,1780920602.041
date_time_end,2026-06-08_17-29-24.124000_+03
length_difference_noticed,no

time,acc_mag
4.823,0.953
4.853,0.953
4.883,0.957
4.913,0.955
4.943,0.957
4.973,0.955
5.003,0.953
5.033,0.955
5.063,0.956
5.093,0.957
5.123,0.955
5.153,0.957
5.183,0.958
5.213,0.954
5.243,0.958
5.273,0.952
5.303,0.953
5.333,0.957
5.363,0.955
5.393,0.954
5.423,0.951
5.453,0.954
5.483,0.956
5.513,0.955
5.543,0.955
5.573,0.953
5.603,0.955
5.633,0.957
5.663,0.958
5.693,0.953
5.723,0.953
5.753,0.952
5.783,0.953
5.813,0.955
5.843,0.958
5.873,0.955
5.903,0.953
5.933,0.956
5.963,0.955
5.993,0.955
6.023,0.953
6.053,0.952
6.083,0.955
6.113,0.957
6.143,0.955
6.173,0.954
6.203,0.959
6.233,0.957
6.263,0.956
6.293,0.957
6.323,0.955
6.353,0.955
6.383,0.955
6.413,0.967
6.443,0.935
6.473,0.965
6.503,0.946
6.533,0.948
6.563,0.961
6.593,0.951
6.623,0.950
6.653,0.953
6.683,0.965
6.713,0.951
6.743,0.955
6.773,0.963
6.803,0.956
6.833,0.952
6.863,0.959
6.893,0.951
6.923,0.952
6.953,0.951
6.983,0.951
7.013,0.958
7.043,0.957
7.073,0.957
7.103,0.960
7.133,0.951
7.163,0.961
7.193,0.957
7.223,0.955
7.253,0.958
7.283,0.953
7.313,0.953
7.343,0.955
7.373,0.953
7.403,0.955
7.433,0.954
7.463,0.957
7.493,0.955
7.523,0.955
7.553,0.955
7.583,0.955
7.613,0.957
7.643,0.957
7.673,0.957
7.703,0.960
7.733,0.955
7.763,0.953
7.793,0.957
7.823,0.953
7.853,0.955
7.883,0.957
7.913,0.953
7.943,0.957
7.973,0.962
8.003,0.959
8.033,0.951
8.063,0.960
8.093,0.955
8.123,0.957
8.153,0.954
8.183,0.953
8.213,0.957
8.243,0.955
8.273,0.957
8.303,0.956
8.333,0.958
8.363,0.953
8.393,0.956
8.423,0.955
8.453,0.951
8.483,0.958
8.513,0.955
8.543,0.955
8.573,0.953
8.603,0.957
8.633,0.955
8.663,0.957
8.693,0.953
8.723,0.956
8.753,0.953
8.783,0.957
8.813,0.955
8.843,0.955
8.873,0.961
8.903,0.957
8.933,0.953
8.963,0.955
8.993,0.959
9.023,0.958
9.053,0.955
9.083,0.955
9.113,0.954
9.143,0.954
9.173,0.953
9.203,0.954
9.233,0.954
9.263,0.956
9.293,0.955
9.323,0.949
9.353,0.954
9.383,0.952
9.413,0.968
9.443,0.952
9.473,0.954
9.503,0.961
9.533,0.951
9.563,0.953
9.593,0.953
9.623,0.951
9.653,0.957
9.683,0.951
9.713,0.956
9.743,0.951
9.773,0.955
9.803,0.960
9.833,0.955
9.863,0.955
9.893,0.959
9.923,0.955
9.953,0.957
9.983,0.955
10.013,0.953
10.043,0.954
10.073,0.953
10.103,0.958
10.133,0.952
10.163,0.953
10.193,0.955
10.223,0.954
10.253,0.955
10.283,0.956
10.313,0.953
10.343,0.953
10.373,0.954
10.403,0.955
10.433,0.958
10.463,0.909
10.493,0.962
10.523,0.961
10.553,0.955
10.583,0.961
10.613,0.952
10.643,0.954
10.673,0.960
10.703,0.961
10.733,0.953
10.763,0.952
10.793,0.962
10.823,0.959
10.853,0.954
10.883,0.954
10.913,0.957
10.943,0.959
10.973,0.950
11.003,0.956
11.033,0.951
11.063,0.959
11.093,0.957
11.123,0.951
11.153,0.958
11.183,0.956
11.213,0.954
11.243,0.959
11.273,0.954
11.303,0.958
11.333,0.957
11.363,0.963
11.393,0.955
11.423,0.953
11.453,0.947
11.483,0.938
11.513,0.963
11.543,0.964
11.573,0.963
11.603,1.016
11.633,0.964
11.663,0.948
11.693,0.939
11.723,0.931
11.753,0.964
11.783,0.956
11.813,0.958
11.843,0.967
11.873,0.953
11.903,0.951
11.933,0.955
11.963,0.959
11.993,0.953
12.023,0.949
12.053,0.955
12.083,0.953
12.113,0.956
12.143,0.958
12.173,0.955
12.203,0.958
12.233,0.955
12.263,0.956
12.293,0.957
12.323,0.955
12.353,0.957
12.383,0.953
12.413,0.957
12.443,0.954
12.473,0.953
12.503,0.958
12.533,0.952
12.563,0.956
12.593,0.947
12.623,1.012
12.653,1.014
12.683,0.987
12.713,0.956
12.743,0.932
12.773,0.947
12.803,0.956
12.833,0.954
12.863,0.966
12.893,0.956
12.923,0.944
12.953,0.948
12.983,0.957
13.013,0.959
13.043,0.955
13.073,0.957
13.103,0.953
13.133,0.955
13.163,0.956
13.193,0.953
13.223,0.951
13.253,0.956
13.283,0.957
13.313,0.960
13.343,0.957
13.373,0.955
13.403,0.955
13.433,0.957
13.463,0.955
13.493,0.955
13.523,0.954
13.553,0.958
13.583,0.953
13.613,0.955
13.643,0.962
13.673,0.960
13.703,0.952
13.733,0.951
13.763,0.954
13.793,0.955
13.823,0.957
13.853,0.956
13.883,0.955
13.913,0.949
13.943,0.955
13.973,0.955
14.003,0.955
14.033,0.955
14.063,0.955
14.093,0.953
14.123,0.956
14.153,0.953
14.183,0.958
