df_hash,22ZHK4.0K8Q7Z
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.XHK9
person_label,V147
date_time_start,2026-06-08_17-10-02.041000_+03
date_time_start_unix,1780920602.041
date_time_end,2026-06-08_17-29-24.124000_+03
length_difference_noticed,no

time,acc_x,acc_y,acc_z
4.823,-0.080,0.141,-0.939
4.833,-0.078,0.139,-0.941
4.843,-0.078,0.139,-0.943
4.853,-0.078,0.137,-0.939
4.863,-0.080,0.137,-0.943
4.873,-0.078,0.135,-0.943
4.883,-0.078,0.141,-0.943
4.893,-0.082,0.137,-0.943
4.903,-0.078,0.139,-0.941
4.912,-0.078,0.139,-0.941
4.922,-0.078,0.139,-0.941
4.932,-0.078,0.137,-0.941
4.942,-0.078,0.141,-0.943
4.952,-0.078,0.137,-0.939
4.962,-0.082,0.139,-0.941
4.972,-0.078,0.139,-0.941
4.982,-0.078,0.135,-0.941
4.992,-0.078,0.139,-0.941
5.002,-0.076,0.139,-0.939
5.012,-0.078,0.137,-0.938
5.022,-0.078,0.137,-0.939
5.032,-0.076,0.139,-0.941
5.042,-0.076,0.137,-0.939
5.052,-0.076,0.139,-0.943
5.061,-0.078,0.133,-0.943
5.071,-0.076,0.139,-0.943
5.081,-0.078,0.139,-0.943
5.091,-0.078,0.141,-0.943
5.101,-0.076,0.139,-0.939
5.111,-0.076,0.139,-0.939
5.121,-0.080,0.139,-0.941
5.131,-0.076,0.141,-0.939
5.141,-0.076,0.137,-0.943
5.151,-0.080,0.141,-0.943
5.161,-0.078,0.139,-0.941
5.171,-0.080,0.139,-0.941
5.181,-0.078,0.139,-0.945
5.191,-0.078,0.139,-0.941
5.201,-0.080,0.141,-0.941
5.210,-0.076,0.135,-0.941
5.220,-0.078,0.137,-0.939
5.230,-0.076,0.137,-0.943
5.240,-0.078,0.139,-0.945
5.250,-0.074,0.137,-0.939
5.260,-0.080,0.139,-0.941
5.270,-0.074,0.137,-0.939
5.280,-0.078,0.137,-0.941
5.290,-0.080,0.135,-0.939
5.300,-0.080,0.137,-0.939
5.310,-0.076,0.139,-0.939
5.320,-0.076,0.137,-0.941
5.330,-0.078,0.139,-0.943
5.340,-0.078,0.139,-0.945
5.350,-0.078,0.137,-0.941
5.360,-0.082,0.137,-0.941
5.369,-0.078,0.137,-0.941
5.379,-0.076,0.135,-0.941
5.389,-0.078,0.135,-0.941
5.399,-0.076,0.137,-0.939
5.409,-0.078,0.139,-0.945
5.419,-0.078,0.141,-0.938
5.429,-0.078,0.135,-0.941
5.439,-0.076,0.139,-0.941
5.449,-0.076,0.137,-0.941
5.459,-0.078,0.139,-0.938
5.469,-0.076,0.139,-0.943
5.479,-0.078,0.135,-0.943
5.489,-0.076,0.137,-0.938
5.499,-0.080,0.139,-0.945
5.509,-0.078,0.137,-0.941
5.518,-0.076,0.137,-0.943
5.528,-0.078,0.139,-0.941
5.538,-0.074,0.139,-0.941
5.548,-0.076,0.139,-0.938
5.558,-0.078,0.135,-0.939
5.568,-0.078,0.141,-0.939
5.578,-0.078,0.137,-0.938
5.588,-0.078,0.137,-0.941
5.598,-0.078,0.139,-0.941
5.608,-0.078,0.139,-0.941
5.618,-0.076,0.137,-0.945
5.628,-0.078,0.139,-0.943
5.638,-0.076,0.139,-0.939
5.648,-0.078,0.139,-0.943
5.658,-0.076,0.139,-0.945
5.667,-0.078,0.139,-0.941
5.677,-0.082,0.139,-0.941
5.687,-0.076,0.137,-0.939
5.697,-0.076,0.139,-0.939
5.707,-0.078,0.139,-0.941
5.717,-0.074,0.139,-0.939
5.727,-0.078,0.137,-0.941
5.737,-0.080,0.137,-0.941
5.747,-0.074,0.137,-0.939
5.757,-0.078,0.135,-0.941
5.767,-0.078,0.141,-0.943
5.777,-0.078,0.137,-0.939
5.787,-0.080,0.139,-0.941
5.797,-0.076,0.141,-0.939
5.807,-0.076,0.139,-0.941
5.816,-0.080,0.141,-0.941
5.826,-0.078,0.137,-0.939
5.836,-0.078,0.135,-0.945
5.846,-0.076,0.139,-0.941
5.856,-0.078,0.137,-0.941
5.866,-0.080,0.139,-0.941
5.876,-0.078,0.137,-0.943
5.886,-0.078,0.135,-0.943
5.896,-0.078,0.139,-0.939
5.906,-0.078,0.139,-0.938
5.916,-0.078,0.141,-0.939
5.926,-0.076,0.137,-0.943
5.936,-0.080,0.139,-0.939
5.946,-0.080,0.139,-0.941
5.956,-0.078,0.137,-0.941
5.966,-0.078,0.137,-0.941
5.975,-0.078,0.139,-0.943
5.985,-0.080,0.139,-0.941
5.995,-0.076,0.135,-0.943
6.005,-0.078,0.137,-0.939
6.015,-0.078,0.137,-0.939
6.025,-0.078,0.141,-0.941
6.035,-0.078,0.139,-0.941
6.045,-0.074,0.137,-0.939
6.055,-0.076,0.137,-0.941
6.065,-0.078,0.137,-0.941
6.075,-0.078,0.137,-0.941
6.085,-0.078,0.139,-0.945
6.095,-0.076,0.135,-0.941
6.105,-0.080,0.139,-0.943
6.115,-0.078,0.141,-0.941
6.124,-0.078,0.137,-0.947
6.134,-0.078,0.139,-0.941
6.144,-0.078,0.137,-0.938
6.154,-0.080,0.139,-0.941
6.164,-0.076,0.137,-0.941
6.174,-0.078,0.135,-0.943
6.184,-0.078,0.139,-0.941
6.194,-0.080,0.139,-0.945
6.204,-0.080,0.139,-0.941
6.214,-0.078,0.141,-0.938
6.224,-0.074,0.139,-0.943
6.234,-0.078,0.137,-0.943
6.244,-0.076,0.137,-0.939
6.254,-0.080,0.135,-0.943
6.264,-0.080,0.139,-0.943
6.273,-0.078,0.139,-0.939
6.283,-0.078,0.139,-0.943
6.293,-0.074,0.139,-0.941
6.303,-0.078,0.141,-0.941
6.313,-0.078,0.139,-0.941
