df_hash,22ZHK4.GW7WJ2
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.045F
person_label,V148
date_time_start,2026-06-08_17-32-22.778000_+03
date_time_start_unix,1780921942.778
date_time_end,2026-06-08_17-42-05.310000_+03
length_difference_noticed,no

time,acc_mag
4.568,0.986
4.598,0.995
4.628,0.991
4.658,0.995
4.688,0.995
4.718,0.991
4.748,1.006
4.778,0.994
4.808,0.999
4.838,1.002
4.868,0.992
4.898,0.988
4.928,1.000
4.958,1.009
4.988,0.996
5.018,0.993
5.048,0.994
5.078,1.000
5.108,0.990
5.138,0.993
5.168,0.997
5.198,0.989
5.228,0.991
5.258,0.996
5.288,0.995
5.318,0.994
5.348,0.997
5.378,0.996
5.408,0.996
5.438,0.997
5.468,0.997
5.498,0.999
5.528,1.001
5.558,0.999
5.588,0.993
5.618,0.991
5.648,0.990
5.678,0.996
5.708,0.999
5.738,0.995
5.768,0.997
5.798,1.003
5.828,1.000
5.858,0.999
5.888,1.001
5.918,0.988
5.948,0.995
5.978,1.001
6.008,0.994
6.038,0.995
6.068,1.003
6.098,0.995
6.128,0.990
6.158,0.995
6.188,1.000
6.218,0.996
6.248,1.002
6.278,0.996
6.308,0.994
6.338,1.003
6.368,1.000
6.398,1.007
6.428,1.001
6.458,1.002
6.488,1.003
6.518,0.990
6.548,0.993
6.578,0.989
6.608,0.981
6.638,0.994
6.668,1.004
6.698,0.996
6.728,1.005
6.758,1.016
6.788,0.988
6.818,0.977
6.848,1.005
6.878,1.008
6.908,1.013
6.938,0.998
6.968,0.997
6.998,1.000
7.028,1.002
7.058,1.010
7.088,1.012
7.118,1.007
7.148,1.007
7.178,0.995
7.208,0.996
7.238,0.982
7.268,0.976
7.298,0.987
7.328,0.994
7.358,1.020
7.388,1.012
7.418,1.022
7.448,1.010
7.478,0.997
7.508,0.999
7.538,1.010
7.568,1.007
7.598,1.012
7.628,1.007
7.658,1.008
7.688,1.000
7.718,1.010
7.748,0.998
7.778,1.000
7.808,0.999
7.838,1.004
7.868,1.012
7.898,1.015
7.928,1.010
7.958,1.006
7.988,1.003
8.018,1.002
8.048,1.003
8.078,1.003
8.108,1.006
8.138,1.010
8.168,1.008
8.198,1.008
8.228,1.009
8.258,1.009
8.288,1.010
8.318,1.006
8.348,1.001
8.378,1.001
8.408,1.005
8.438,1.006
8.468,1.002
8.498,1.012
8.528,1.009
8.558,1.005
8.588,1.008
8.618,1.008
8.648,1.008
8.678,1.007
8.708,1.007
8.738,1.003
8.768,1.008
8.798,1.007
8.828,1.002
8.858,1.002
8.888,1.005
8.918,1.003
8.948,1.008
8.978,1.010
9.008,1.011
9.038,1.010
9.068,1.009
9.098,1.002
9.128,1.005
9.158,1.005
9.188,1.004
9.218,1.008
9.248,1.004
9.278,1.008
9.308,1.012
9.338,1.003
9.368,1.003
9.398,1.002
9.428,1.004
9.458,1.008
9.488,1.010
9.518,1.009
9.548,1.009
9.578,1.004
9.608,1.006
9.638,1.006
9.668,1.008
9.698,1.009
9.728,1.007
9.758,1.007
9.788,1.005
9.818,1.007
9.848,1.010
9.878,1.008
9.908,1.007
9.938,1.003
9.968,1.010
9.998,1.009
10.028,1.002
10.058,1.005
10.088,1.014
10.118,1.009
10.148,1.003
10.178,1.009
10.208,1.009
10.238,1.012
10.268,1.005
10.298,1.004
10.328,1.008
10.358,1.002
10.388,1.008
10.418,1.001
10.448,1.008
10.478,1.007
10.508,1.011
10.538,1.008
10.568,1.005
10.598,1.004
10.628,1.004
10.658,1.005
10.688,1.006
10.718,1.008
10.748,1.000
10.778,1.010
10.808,1.009
10.838,1.004
10.868,1.008
10.898,1.009
10.928,1.006
10.958,1.008
10.988,1.007
11.018,1.007
11.048,1.004
11.078,1.012
11.108,1.007
11.138,1.006
11.168,1.008
11.198,1.009
11.228,1.007
11.258,1.009
11.288,1.010
11.318,1.001
11.348,1.007
11.378,1.010
11.408,1.006
11.438,1.008
11.468,1.008
11.498,1.008
11.528,1.005
11.558,1.008
11.588,1.008
11.618,1.009
11.648,1.009
11.678,1.008
11.708,1.007
11.738,1.008
11.768,1.003
11.798,1.013
11.828,1.011
11.858,1.005
11.888,1.007
11.918,1.010
11.948,1.007
11.978,1.003
12.008,1.005
12.038,1.008
12.068,1.005
12.098,1.010
12.128,1.010
12.158,1.011
12.188,1.005
12.218,1.009
12.248,1.008
12.278,1.005
12.308,1.009
12.338,1.006
12.368,1.009
12.398,1.009
12.428,1.008
12.458,1.008
12.488,1.005
12.518,1.006
12.548,1.010
12.578,1.007
12.608,1.006
12.638,1.007
12.668,1.008
12.698,1.003
12.728,1.013
12.758,1.010
12.788,1.005
12.818,1.012
12.848,1.009
12.878,1.010
12.908,1.004
12.938,1.009
12.968,1.009
12.998,1.008
13.028,1.006
13.058,1.011
13.088,1.008
13.118,1.004
13.148,1.014
13.178,1.008
13.208,1.009
13.238,1.007
13.268,1.009
13.298,1.008
13.328,1.009
13.358,1.008
13.388,1.010
13.418,1.008
13.448,1.006
13.478,1.008
13.508,1.007
13.538,1.003
13.568,1.005
13.598,1.006
13.628,1.008
13.658,1.009
13.688,1.008
13.718,1.007
13.748,1.009
13.778,1.009
13.808,1.007
13.838,1.010
13.868,1.006
13.898,1.012
13.928,1.011
