df_hash,22ZHK4.TV3FRY
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.BYSR
person_label,V149
date_time_start,2026-06-08_17-46-39.600000_+03
date_time_start_unix,1780922799.6
date_time_end,2026-06-08_17-58-20.159000_+03
length_difference_noticed,no

time,omega
35.085,0.635
37.149,0.636
38.053,0.640
39.470,0.636
40.830,0.640
43.906,0.643
44.147,0.644
50.542,0.644
57.759,0.645
65.996,0.644
66.626,0.644
68.405,0.645
78.098,0.645
81.302,0.645
82.130,0.646
84.327,0.646
89.053,0.645
89.346,0.640
94.176,0.640
96.121,0.640
100.947,0.640
102.260,0.633
103.149,0.626
103.775,0.626
105.286,0.626
108.501,0.622
112.304,0.622
116.024,0.622
121.716,0.622
122.541,0.622
134.200,0.622
134.637,0.622
135.366,0.622
138.190,0.622
138.921,0.622
139.753,0.626
142.825,0.631
144.195,0.639
144.874,0.639
147.407,0.639
152.917,0.644
157.647,0.644
160.957,0.647
162.223,0.651
163.955,0.656
166.194,0.662
169.206,0.662
185.384,0.662
186.313,0.662
187.734,0.662
188.359,0.665
189.285,0.665
190.701,0.662
194.891,0.666
195.762,0.665
197.822,0.666
205.626,0.666
207.660,0.661
209.318,0.654
212.838,0.643
224.873,0.629
226.144,0.629
232.475,0.629
233.255,0.621
234.509,0.619
235.208,0.617
235.847,0.617
236.721,0.616
236.863,0.614
238.974,0.612
239.550,0.610
240.207,0.610
242.131,0.609
245.950,0.609
251.502,0.609
252.974,0.608
255.773,0.608
256.617,0.608
261.291,0.609
263.042,0.609
264.883,0.608
266.033,0.607
266.710,0.607
267.574,0.607
268.115,0.607
272.657,0.607
272.996,0.609
273.770,0.608
275.970,0.611
276.695,0.615
277.304,0.615
277.816,0.617
281.325,0.619
284.066,0.617
284.788,0.619
309.505,0.621
310.873,0.622
317.403,0.626
320.727,0.626
324.385,0.622
325.839,0.622
328.134,0.622
329.441,0.622
332.223,0.621
332.856,0.621
332.935,0.619
335.544,0.616
336.180,0.617
338.316,0.617
339.049,0.617
340.218,0.621
340.895,0.618
347.138,0.618
348.409,0.618
349.334,0.616
349.407,0.616
351.242,0.616
353.047,0.616
353.917,0.615
355.240,0.615
356.062,0.616
358.965,0.616
365.146,0.616
375.474,0.616
375.654,0.616
377.360,0.619
377.760,0.621
382.875,0.622
389.266,0.622
390.482,0.621
391.067,0.620
396.332,0.620
405.786,0.619
420.659,0.620
427.088,0.620
428.059,0.624
429.138,0.628
430.064,0.628
431.894,0.628
432.704,0.628
433.141,0.624
436.352,0.619
436.908,0.619
440.549,0.614
441.088,0.619
442.659,0.619
450.932,0.614
479.884,0.614
479.906,0.614
481.213,0.614
506.802,0.614
510.175,0.624
523.938,0.624
528.836,0.624
529.322,0.633
535.418,0.633
547.824,0.642
553.892,0.629
554.912,0.650
561.101,0.674
561.937,0.696
566.623,0.707
573.880,0.740
584.853,0.773
599.488,0.780
608.035,0.780
610.103,0.779
619.325,0.779
634.334,0.778
635.117,0.732
635.802,0.732
636.481,0.663
637.257,0.663
638.079,0.660
639.209,0.629
640.013,0.622
640.961,0.622
641.404,0.622
642.292,0.619
643.500,0.618
644.277,0.618
644.959,0.618
646.474,0.618
649.480,0.617
650.096,0.614
652.146,0.617
653.057,0.618
653.741,0.619
657.396,0.621
658.906,0.624
661.127,0.624
661.662,0.625
664.029,0.624
665.532,0.624
666.712,0.624
667.479,0.624
668.217,0.621
669.000,0.621
669.968,0.621
671.951,0.624
672.750,0.624
674.876,0.625
675.675,0.622
677.048,0.622
678.455,0.622
679.813,0.619
