df_hash,22ZHK4.TV3FRY
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.BYSR
person_label,V149
date_time_start,2026-06-08_17-46-39.600000_+03
date_time_start_unix,1780922799.6
date_time_end,2026-06-08_17-58-20.159000_+03
length_difference_noticed,no

time,ppg_quality
58.046,72
60.066,43
61.076,42
63.096,52
65.116,57
67.136,63
69.146,69
72.176,76
74.196,75
76.216,72
77.226,78
79.246,92
80.256,98
83.286,104
85.306,101
87.326,97
89.346,97
90.356,94
91.366,84
93.386,65
94.396,69
96.416,73
98.436,75
100.456,79
102.466,98
103.476,103
105.496,96
107.516,92
109.536,80
111.556,63
113.576,54
114.586,54
115.596,55
116.606,55
118.626,58
120.646,75
122.666,92
123.676,91
124.686,83
126.706,76
127.716,76
129.736,72
131.756,72
133.766,76
135.786,87
136.796,90
138.815,95
140.836,98
142.856,98
144.875,96
146.896,95
149.925,95
151.946,93
153.966,92
155.985,89
158.006,90
159.016,90
160.026,90
161.036,91
163.056,85
165.076,74
167.095,65
169.116,64
170.125,65
171.136,66
172.146,72
174.166,85
176.186,105
177.196,106
178.205,100
179.216,100
180.226,87
182.246,57
183.256,50
185.276,30
187.296,26
189.315,29
191.336,53
193.356,70
194.366,76
196.386,81
198.406,82
200.425,74
201.436,66
203.455,46
204.466,49
205.476,54
207.496,55
209.516,60
211.536,76
213.556,99
214.565,100
216.586,92
217.595,88
218.606,86
220.625,72
222.646,61
224.666,59
226.686,63
227.696,66
229.716,70
230.726,76
231.735,80
233.756,83
235.776,82
236.786,80
238.806,82
240.826,82
242.845,83
244.866,82
245.875,82
247.896,82
248.906,81
249.916,78
251.936,72
253.955,71
255.976,72
257.996,75
260.016,80
261.026,81
262.036,88
263.045,87
265.066,86
267.086,81
269.105,78
271.126,78
274.156,80
276.175,91
277.186,96
278.196,96
280.216,97
281.226,98
282.235,97
285.265,93
287.286,82
289.306,76
290.316,76
291.325,75
292.336,76
293.346,75
295.366,70
296.376,71
298.396,72
300.415,71
302.436,62
304.455,55
305.466,54
307.485,44
309.506,47
311.526,47
312.536,51
313.545,54
315.566,52
318.596,58
320.616,66
322.635,60
324.656,62
326.675,72
327.686,76
329.705,76
330.716,78
331.726,81
333.746,91
335.765,99
336.776,98
337.786,96
338.795,95
339.806,94
340.816,92
341.825,93
342.836,91
344.855,89
346.876,86
348.896,85
350.915,86
351.925,87
353.946,87
355.966,87
356.976,87
357.985,87
358.996,87
360.006,85
363.036,75
365.056,62
367.075,56
369.096,52
370.105,43
371.116,33
372.126,29
373.135,33
374.146,38
376.165,40
377.175,41
378.186,39
380.205,49
382.226,60
383.235,56
384.246,53
387.276,64
389.295,69
391.316,76
393.336,87
395.355,70
396.366,57
398.385,37
400.406,31
401.415,31
402.425,31
403.436,33
404.446,47
406.466,77
407.476,87
408.485,95
409.496,103
411.515,107
413.536,109
414.545,105
415.556,90
416.566,72
418.586,54
420.605,39
422.626,33
424.646,23
426.665,43
428.686,56
429.696,65
431.716,72
432.726,74
433.735,77
435.756,86
436.765,91
437.776,89
439.795,91
440.806,92
441.816,92
442.825,90
444.846,90
446.866,91
448.885,70
449.896,78
450.906,75
451.915,78
453.936,67
455.955,40
457.976,49
459.996,44
462.015,28
463.026,29
465.045,23
467.066,54
469.086,54
470.096,46
471.105,43
472.116,50
473.126,59
475.146,77
476.156,64
478.175,40
480.196,55
482.216,49
483.226,41
484.235,42
486.256,51
487.265,58
489.286,58
491.306,60
493.325,47
495.346,29
496.355,20
498.376,27
500.396,21
502.415,26
504.436,38
506.455,53
508.476,45
509.485,42
511.506,41
513.526,37
514.536,31
516.556,15
517.566,19
518.576,22
519.586,25
520.595,25
522.616,29
524.636,40
525.646,46
527.665,54
528.675,55
529.686,58
530.696,59
531.706,62
533.725,76
535.746,73
537.766,78
539.785,80
540.795,80
541.806,74
542.816,72
543.826,66
544.836,68
546.855,57
548.876,53
549.886,56
550.896,53
552.915,46
553.925,39
554.936,26
555.946,28
557.965,45
559.985,36
562.006,43
564.025,54
565.035,62
567.056,39
569.076,38
570.086,48
571.095,52
572.105,53
573.116,55
574.126,63
576.146,73
578.165,70
580.186,50
582.206,52
584.225,19
586.246,6
588.266,14
589.275,17
591.295,25
593.316,34
594.326,44
595.336,62
597.355,61
598.366,55
600.386,42
602.405,43
603.415,36
604.425,31
605.436,21
606.446,22
608.465,28
609.475,38
610.485,18
611.496,11
613.516,19
615.535,3
621.595,8
623.616,8
624.626,23
626.646,38
628.665,67
630.686,83
631.696,85
632.706,86
633.715,87
635.735,103
637.756,89
639.775,89
641.795,91
643.816,94
645.836,92
646.845,88
647.855,90
648.866,87
649.876,88
650.886,86
652.905,89
653.915,88
654.925,86
657.956,84
659.975,86
661.996,76
664.016,52
665.025,55
667.045,55
669.066,55
671.086,56
673.105,75
675.126,86
676.136,88
677.146,88
679.165,87
680.175,86
682.196,84
684.215,82
686.235,74
688.256,67
689.266,64
691.285,59
693.306,62
695.326,60
696.336,56
697.345,61
699.366,68
