df_hash,22ZHK4.JN5XDQ
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.Z542
person_label,V150
date_time_start,2026-06-08_18-01-19.110000_+03
date_time_start_unix,1780923679.11
date_time_end,2026-06-08_18-21-11.009000_+03
length_difference_noticed,no

time,ppg_ir,ppg_ambient,ppg_red
5.437,185664,168,109740
5.442,185667,168,109757
5.447,185680,168,109764
5.452,185706,168,109774
5.457,185684,168,109765
5.462,185681,168,109773
5.467,185697,168,109769
5.472,185708,168,109773
5.477,185730,168,109785
5.482,185715,168,109782
5.487,185745,168,109781
5.492,185738,168,109780
5.497,185738,168,109781
5.502,185749,168,109790
5.507,185761,168,109791
5.512,185772,168,109793
5.517,185786,168,109795
5.522,185787,168,109793
5.527,185777,168,109799
5.532,185799,168,109802
5.536,185790,168,109799
5.541,185793,168,109798
5.546,185830,168,109798
5.551,185825,168,109805
5.556,185827,168,109820
5.561,185839,168,109818
5.566,185867,168,109831
5.571,185870,168,109831
5.576,185878,168,109820
5.581,185866,168,109825
5.586,185876,168,109844
5.591,185895,168,109838
5.596,185894,168,109850
5.601,185933,168,109835
5.606,185922,168,109849
5.611,185931,168,109851
5.616,185920,168,109850
5.621,185914,168,109850
5.626,185906,168,109836
5.631,185898,168,109843
5.636,185875,168,109838
5.641,185857,168,109840
5.646,185841,168,109828
5.651,185816,168,109825
5.656,185806,168,109811
5.661,185793,168,109800
5.666,185770,168,109792
5.670,185752,168,109800
5.675,185734,168,109786
5.680,185734,168,109774
5.685,185717,168,109771
5.690,185714,168,109773
5.695,185702,168,109771
5.700,185688,168,109771
5.705,185683,168,109774
5.710,185674,168,109767
5.715,185664,168,109757
5.720,185664,168,109760
5.725,185660,168,109767
5.730,185648,168,109762
5.735,185657,168,109766
5.740,185653,168,109759
5.745,185649,168,109755
5.750,185654,168,109767
5.755,185646,168,109759
5.760,185631,168,109759
5.765,185639,168,109757
5.770,185631,168,109750
5.775,185633,168,109754
5.780,185634,168,109751
5.785,185625,168,109740
5.790,185625,168,109746
5.795,185614,168,109744
5.800,185608,168,109743
5.804,185602,168,109748
5.809,185603,168,109745
5.814,185583,168,109750
5.819,185604,168,109749
5.824,185594,168,109736
5.829,185604,168,109743
5.834,185611,168,109732
5.839,185608,168,109745
5.844,185609,168,109742
5.849,185609,168,109742
5.854,185606,168,109754
5.859,185606,168,109736
5.864,185614,168,109761
5.869,185615,168,109753
5.874,185604,168,109754
5.879,185606,168,109752
5.884,185607,168,109742
5.889,185592,168,109737
5.894,185606,168,109748
5.899,185598,168,109742
5.904,185607,168,109748
5.909,185604,168,109738
5.914,185606,168,109744
5.919,185590,168,109737
5.924,185589,168,109733
5.929,185592,168,109733
5.934,185595,168,109732
5.938,185603,168,109703
5.943,185586,168,109744
5.948,185596,168,109737
5.953,185563,168,109726
5.958,185595,168,109721
5.963,185571,168,109711
5.968,185580,168,109713
5.973,185582,168,109725
5.978,185583,168,109716
5.983,185574,168,109712
5.988,185593,168,109711
5.993,185572,168,109707
5.998,185567,168,109717
6.003,185576,168,109724
6.008,185592,168,109712
6.013,185592,168,109722
6.018,185596,168,109721
6.023,185600,168,109722
6.028,185605,168,109729
6.033,185610,168,109724
6.038,185596,168,109734
6.043,185608,168,109729
6.048,185621,168,109727
6.053,185625,168,109746
6.058,185645,168,109739
6.063,185619,168,109742
6.068,185629,168,109739
6.072,185638,168,109739
6.077,185652,168,109746
6.082,185647,168,109748
6.087,185672,168,109758
6.092,185664,168,109763
6.097,185692,168,109756
6.102,185688,168,109758
6.107,185684,168,109755
6.112,185674,168,109759
6.117,185697,168,109768
6.122,185692,168,109762
6.127,185710,168,109770
6.132,185698,168,109771
6.137,185697,168,109778
6.142,185716,168,109768
6.147,185729,168,109775
6.152,185740,168,109776
6.157,185742,168,109783
6.162,185725,168,109784
6.167,185748,168,109795
6.172,185740,168,109785
6.177,185752,168,109793
6.182,185779,168,109795
6.187,185791,168,109789
6.192,185790,168,109795
6.197,185792,168,109810
6.202,185783,168,109802
6.206,185790,168,109805
6.211,185800,168,109815
6.216,185818,168,109810
6.221,185818,168,109810
6.226,185815,168,109805
6.231,185837,168,109839
6.236,185837,168,109829
6.241,185843,168,109823
6.246,185881,168,109826
6.251,185859,168,109838
6.256,185876,168,109830
6.261,185849,168,109833
6.266,185852,168,109831
6.271,185855,168,109848
6.276,185850,168,109845
6.281,185861,168,109829
6.286,185833,168,109828
6.291,185820,168,109807
6.296,185793,168,109817
6.301,185794,168,109811
6.306,185753,168,109801
6.311,185758,168,109790
6.316,185727,168,109792
6.321,185690,168,109778
6.326,185690,168,109776
6.331,185669,168,109771
6.336,185667,168,109763
6.341,185639,168,109772
6.345,185640,168,109764
6.350,185633,168,109752
6.355,185613,168,109753
6.360,185607,168,109750
6.365,185608,168,109747
6.370,185605,168,109740
6.375,185589,168,109754
6.380,185587,168,109749
6.385,185593,168,109737
6.390,185599,168,109735
6.395,185576,168,109736
6.400,185583,168,109742
6.405,185565,168,109741
6.410,185565,168,109726
6.415,185570,168,109736
6.420,185564,168,109746
6.425,185556,168,109743
6.430,185552,168,109727
6.435,185558,168,109736
6.440,185540,168,109719
6.445,185548,168,109732
6.450,185526,168,109723
6.455,185523,168,109721
6.460,185524,168,109732
6.465,185536,168,109703
6.470,185516,168,109703
6.475,185517,168,109716
6.479,185531,168,109717
6.484,185519,168,109708
6.489,185506,168,109712
6.494,185520,168,109730
6.499,185523,168,109718
6.504,185521,168,109724
6.509,185525,168,109714
6.514,185530,168,109713
6.519,185503,168,109714
6.524,185527,171,109712
6.529,185516,168,109701
6.534,185512,168,109706
6.539,185516,168,109698
6.544,185521,168,109696
6.549,185504,168,109701
6.554,185501,168,109709
6.559,185499,168,109699
6.564,185499,168,109700
6.569,185485,168,109695
6.574,185494,168,109727
6.579,185492,168,109690
6.584,185471,168,109686
6.589,185487,168,109683
6.594,185490,168,109688
6.599,185494,168,109688
6.604,185482,168,109693
6.609,185471,168,109693
6.613,185472,168,109687
6.618,185492,168,109685
6.623,185509,168,109685
6.628,185497,168,109689
6.633,185488,168,109690
6.638,185486,168,109689
