df_hash,22ZHK4.JN5XDQ
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.Z542
person_label,V150
date_time_start,2026-06-08_18-01-19.110000_+03
date_time_start_unix,1780923679.11
date_time_end,2026-06-08_18-21-11.009000_+03
length_difference_noticed,no

time,ppg_quality
57.822,68
59.842,69
62.872,62
64.892,67
66.912,65
68.922,60
69.932,60
70.942,59
71.952,59
73.972,57
75.992,54
78.012,51
80.032,51
82.052,52
85.082,51
87.102,51
88.112,52
89.122,53
91.142,54
93.162,53
95.182,56
96.192,57
98.212,54
100.232,44
102.242,26
103.252,15
104.262,22
107.292,30
108.302,37
109.312,44
111.332,62
113.352,82
115.372,72
116.382,70
117.392,70
118.402,67
120.422,62
122.442,62
124.462,65
126.482,66
128.502,66
129.512,63
131.532,63
132.542,65
133.542,62
135.562,63
137.582,64
140.612,62
142.632,63
144.652,69
146.672,71
147.682,69
148.692,71
149.702,71
151.722,72
153.742,68
155.762,58
157.782,60
159.802,56
162.832,57
163.842,61
164.852,63
165.862,64
166.872,63
168.892,65
170.912,66
172.932,65
173.942,64
175.962,63
177.982,62
180.002,62
181.012,61
183.032,60
185.052,59
187.072,61
189.092,61
191.112,62
192.122,63
194.142,64
195.152,65
196.162,64
198.182,62
200.202,62
202.222,60
204.242,60
205.252,58
206.262,57
207.272,58
209.292,57
211.312,57
212.322,56
213.332,55
214.342,55
215.352,55
216.362,56
217.372,54
218.382,55
220.402,54
222.422,55
224.442,55
226.462,57
227.472,58
228.482,58
229.492,58
231.512,33
233.532,54
235.552,41
238.582,44
239.592,33
240.602,86
242.622,48
244.642,60
246.662,54
247.672,51
249.692,61
250.702,54
251.712,64
253.732,63
255.752,59
257.772,63
259.792,64
261.812,62
262.822,60
264.842,58
265.852,57
266.862,53
268.882,52
270.902,56
272.922,58
274.942,45
275.952,62
277.972,62
278.982,60
279.992,60
281.002,47
282.012,42
283.022,38
284.032,21
287.062,17
288.072,15
289.082,12
290.092,8
291.102,28
292.112,32
293.122,30
294.132,42
296.152,40
298.172,52
300.192,48
302.212,29
304.232,34
306.252,11
308.272,7
309.282,7
311.302,24
312.312,29
313.322,34
315.342,51
317.362,64
319.382,63
320.392,62
322.412,57
324.432,38
326.452,34
327.462,35
328.472,38
330.492,41
331.502,42
333.522,52
335.542,62
337.562,63
339.582,65
340.592,64
341.602,65
342.612,65
343.622,66
344.632,66
346.652,66
348.672,64
350.692,64
352.712,62
353.722,62
354.732,60
355.742,59
357.762,58
359.782,58
361.802,58
363.822,56
364.832,58
366.852,61
368.872,57
370.892,55
371.902,54
373.922,54
374.932,54
375.942,55
376.952,54
377.962,56
379.982,57
382.002,58
384.022,59
386.042,59
387.052,55
388.062,56
389.072,55
391.092,56
393.112,58
395.132,60
397.152,62
400.182,61
402.202,52
404.222,39
405.232,33
407.252,29
408.262,30
409.272,32
411.292,40
412.302,44
413.312,50
415.332,60
417.352,64
418.362,63
419.372,61
421.392,59
422.402,61
424.422,61
426.442,62
428.462,64
430.482,62
432.502,57
433.512,56
435.532,57
437.552,57
439.572,57
441.592,59
444.622,67
445.632,67
446.642,69
448.662,71
450.682,76
452.702,81
453.712,85
455.732,84
457.752,83
459.772,77
461.792,78
463.812,64
464.822,61
465.832,55
466.842,40
468.862,43
469.872,42
470.882,41
472.902,42
474.922,45
476.942,68
477.952,65
478.962,63
479.972,65
481.992,64
484.012,62
485.022,61
486.032,60
488.052,61
489.062,62
491.082,60
493.102,48
495.122,35
496.132,29
497.142,27
499.162,29
500.172,31
502.192,37
504.212,52
506.232,65
508.252,68
509.262,67
511.282,62
513.302,60
515.322,55
517.342,47
519.362,64
521.382,58
522.392,70
524.412,51
525.422,50
526.432,54
528.452,47
530.472,43
533.502,31
535.522,48
537.542,35
539.562,36
540.572,37
541.582,41
542.592,40
543.602,42
545.622,42
546.632,52
548.652,79
550.672,76
551.682,76
552.692,78
554.712,84
556.732,79
557.742,67
559.762,26
561.782,32
562.792,34
563.802,29
564.812,23
565.822,11
567.842,8
568.852,9
570.872,24
572.892,31
574.912,46
576.932,53
577.942,49
578.952,50
580.972,56
581.982,56
584.002,59
586.022,38
588.042,44
590.062,27
592.082,17
593.092,6
595.112,14
597.132,22
599.152,35
601.172,43
603.192,40
605.212,33
606.222,39
608.242,35
609.252,36
610.262,32
612.282,14
614.302,18
616.322,10
617.332,2
619.352,4
620.362,25
621.372,51
622.382,67
623.392,65
624.402,62
625.412,55
627.432,59
628.442,69
630.462,38
631.472,28
632.482,24
634.502,16
636.522,21
637.532,25
639.552,32
641.572,11
643.592,11
645.612,27
647.632,22
648.642,17
649.652,12
650.662,13
651.672,19
652.682,22
654.702,21
656.722,19
657.732,17
659.752,20
660.762,16
661.772,13
663.792,7
667.832,4
668.842,9
669.852,17
670.862,5
671.872,5
672.882,5
673.892,18
674.902,23
676.922,23
678.942,25
679.952,25
681.972,32
682.982,49
683.992,40
686.012,35
687.022,32
688.032,29
690.052,19
692.072,16
697.122,20
700.152,12
701.162,15
703.182,40
704.192,41
705.202,36
706.212,28
707.222,32
708.232,36
710.252,51
712.272,59
714.292,72
716.312,75
718.332,85
719.342,87
721.362,47
723.382,45
725.402,23
726.412,39
727.422,45
729.442,36
731.462,35
732.472,44
733.482,43
734.492,54
