df_hash,22ZHK4.C8ZX7D
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.LYCG
person_label,V151
date_time_start,2026-06-08_18-21-38.649000_+03
date_time_start_unix,1780924898.649
date_time_end,2026-06-08_18-32-21.394000_+03
length_difference_noticed,no

time,ble_sample_counter_acc,ble_sample_amount_acc,ble_packet_counter_acc
5.407,75,75,0
6.041,150,75,1
6.919,225,75,2
7.503,300,75,3
8.429,375,75,4
9.035,450,75,5
9.892,525,75,6
10.574,600,75,7
11.411,675,75,8
11.992,750,75,9
12.889,825,75,10
13.470,900,75,11
14.377,975,75,12
14.962,1050,75,13
15.839,1125,75,14
16.424,1200,75,15
17.546,1275,75,16
17.938,1350,75,17
18.839,1425,75,18
19.450,1500,75,19
20.324,1575,75,20
20.909,1650,75,21
21.931,1725,75,22
22.421,1800,75,23
23.319,1875,75,24
23.883,1950,75,25
24.811,2025,75,26
25.394,2100,75,27
26.561,2175,75,28
26.879,2250,75,29
27.786,2325,75,30
28.368,2400,75,31
29.535,2475,75,32
29.956,2550,75,33
30.757,2625,75,34
31.342,2700,75,35
32.268,2775,75,36
32.853,2850,75,37
33.730,2925,75,38
34.335,3000,75,39
35.196,3075,75,40
35.922,3150,75,41
36.801,3225,75,42
37.289,3300,75,43
38.215,3375,75,44
38.821,3450,75,45
39.730,3525,75,46
40.263,3600,75,47
41.209,3675,75,48
41.784,3750,75,49
42.700,3825,75,50
43.239,3900,75,51
44.212,3975,75,52
44.748,4050,75,53
45.674,4125,75,54
46.259,4200,75,55
47.283,4275,75,56
47.721,4350,75,57
48.889,4425,75,58
49.281,4500,75,59
50.122,4575,75,60
50.703,4650,75,61
51.964,4725,75,62
52.206,4800,75,63
53.104,4875,75,64
53.669,4950,75,65
54.836,5025,75,66
55.200,5100,75,67
56.058,5175,75,68
56.665,5250,75,69
57.618,5325,75,70
58.158,5400,75,71
59.175,5475,75,72
59.714,5550,75,73
60.591,5625,75,74
61.176,5700,75,75
62.054,5775,75,76
62.590,5850,75,77
63.566,5925,75,78
64.122,6000,75,79
64.980,6075,75,80
65.613,6150,75,81
66.554,6225,75,82
67.178,6300,75,83
68.103,6375,75,84
68.586,6450,75,85
69.511,6525,75,86
70.052,6600,75,87
70.926,6675,75,88
71.560,6750,75,89
72.438,6825,75,90
73.216,6900,75,91
73.958,6975,75,92
74.539,7050,75,93
75.481,7125,75,94
76.144,7200,75,95
76.923,7275,75,96
77.508,7350,75,97
78.482,7425,75,98
79.018,7500,75,99
79.920,7575,75,100
80.481,7650,75,101
81.359,7725,75,102
81.992,7800,75,103
82.935,7875,75,104
83.535,7950,75,105
84.353,8025,75,106
84.969,8100,75,107
85.989,8175,75,108
86.429,8250,75,109
87.547,8325,75,110
87.986,8400,75,111
88.821,8475,75,112
89.402,8550,75,113
90.281,8625,75,114
90.914,8700,75,115
91.853,8775,75,116
92.396,8850,75,117
93.253,8925,75,118
93.889,9000,75,119
94.775,9075,75,120
95.399,9150,75,121
96.374,9225,75,122
96.871,9300,75,123
97.742,9375,75,124
98.372,9450,75,125
99.253,9525,75,126
99.884,9600,75,127
100.712,9675,75,128
101.318,9750,75,129
102.223,9825,75,130
102.910,9900,75,131
103.695,9975,75,132
104.271,10050,75,133
105.538,10125,75,134
105.782,10200,75,135
106.804,10275,75,136
107.245,10350,75,137
108.171,10425,75,138
108.805,10500,75,139
109.633,10575,75,140
110.222,10650,75,141
111.147,10725,75,142
111.732,10800,75,143
112.611,10875,75,144
113.241,10950,75,145
114.238,11025,75,146
114.710,11100,75,147
115.581,11175,75,148
116.263,11250,75,149
117.625,11325,75,150
118.015,11400,75,151
118.652,11475,75,152
119.209,11550,75,153
120.067,11625,75,154
120.651,11700,75,155
121.626,11775,75,156
122.162,11850,75,157
123.040,11925,75,158
123.625,12000,75,159
124.574,12075,75,160
125.186,12150,75,161
126.014,12225,75,162
126.697,12300,75,163
127.695,12375,75,164
128.138,12450,75,165
129.037,12525,75,166
129.621,12600,75,167
130.547,12675,75,168
131.083,12750,75,169
131.982,12825,75,170
132.599,12900,75,171
133.476,12975,75,172
134.057,13050,75,173
134.935,13125,75,174
135.568,13200,75,175
136.447,13275,75,176
137.033,13350,75,177
137.957,13425,75,178
138.550,13500,75,179
139.538,13575,75,180
140.080,13650,75,181
140.940,13725,75,182
141.518,13800,75,183
142.514,13875,75,184
143.049,13950,75,185
143.910,14025,75,186
144.538,14100,75,187
145.367,14175,75,188
145.952,14250,75,189
146.878,14325,75,190
147.463,14400,75,191
148.493,14475,75,192
148.951,14550,75,193
149.852,14625,75,194
150.495,14700,75,195
151.314,14775,75,196
151.926,14850,75,197
152.923,14925,75,198
153.421,15000,75,199
154.288,15075,75,200
154.926,15150,75,201
155.799,15225,75,202
156.391,15300,75,203
157.284,15375,75,204
157.896,15450,75,205
158.810,15525,75,206
159.456,15600,75,207
160.333,15675,75,208
160.869,15750,75,209
161.747,15825,75,210
162.332,15900,75,211
163.274,15975,75,212
163.899,16050,75,213
164.726,16125,75,214
165.316,16200,75,215
166.232,16275,75,216
166.816,16350,75,217
167.695,16425,75,218
168.290,16500,75,219
169.259,16575,75,220
169.793,16650,75,221
170.786,16725,75,222
171.322,16800,75,223
172.185,16875,75,224
172.764,16950,75,225
173.819,17025,75,226
174.324,17100,75,227
175.158,17175,75,228
175.983,17250,75,229
176.664,17325,75,230
177.301,17400,75,231
178.130,17475,75,232
178.712,17550,75,233
179.642,17625,75,234
180.227,17700,75,235
181.154,17775,75,236
181.734,17850,75,237
182.679,17925,75,238
183.260,18000,75,239
184.099,18075,75,240
184.659,18150,75,241
185.596,18225,75,242
186.176,18300,75,243
187.099,18375,75,244
187.682,18450,75,245
188.850,18525,75,246
189.148,18600,75,247
190.092,18675,75,248
190.655,18750,75,249
191.533,18825,75,250
192.121,18900,75,251
193.097,18975,75,252
193.688,19050,75,253
194.562,19125,75,254
195.095,19200,75,255
196.116,19275,75,256
196.657,19350,75,257
197.480,19425,75,258
198.065,19500,75,259
198.992,19575,75,260
199.577,19650,75,261
200.749,19725,75,262
201.280,19800,75,263
201.971,19875,75,264
202.670,19950,75,265
203.428,20025,75,266
204.017,20100,75,267
204.942,20175,75,268
205.524,20250,75,269
206.402,20325,75,270
206.991,20400,75,271
207.961,20475,75,272
208.545,20550,75,273
209.527,20625,75,274
210.009,20700,75,275
210.965,20775,75,276
211.472,20850,75,277
212.398,20925,75,278
212.983,21000,75,279
213.910,21075,75,280
214.445,21150,75,281
215.466,21225,75,282
215.957,21300,75,283
216.834,21375,75,284
217.449,21450,75,285
218.392,21525,75,286
218.979,21600,75,287
219.856,21675,75,288
220.393,21750,75,289
221.325,21825,75,290
222.001,21900,75,291
222.785,21975,75,292
223.510,22050,75,293
224.341,22125,75,294
224.878,22200,75,295
225.805,22275,75,296
226.784,22350,75,297
227.315,22425,75,298
227.852,22500,75,299
228.729,22575,75,300
229.314,22650,75,301
230.240,22725,75,302
230.874,22800,75,303
231.709,22875,75,304
232.529,22950,75,305
233.266,23025,75,306
233.848,23100,75,307
234.676,23175,75,308
235.262,23250,75,309
236.338,23325,75,310
236.801,23400,75,311
237.650,23475,75,312
238.287,23550,75,313
239.161,23625,75,314
239.746,23700,75,315
240.647,23775,75,316
241.268,23850,75,317
242.158,23925,75,318
242.777,24000,75,319
243.598,24075,75,320
244.231,24150,75,321
245.109,24225,75,322
245.793,24300,75,323
246.689,24375,75,324
247.209,24450,75,325
248.271,24525,75,326
248.716,24600,75,327
249.598,24675,75,328
250.228,24750,75,329
251.067,24825,75,330
251.690,24900,75,331
252.629,24975,75,332
253.203,25050,75,333
254.042,25125,75,334
254.663,25200,75,335
255.542,25275,75,336
256.175,25350,75,337
257.004,25425,75,338
257.692,25500,75,339
258.518,25575,75,340
259.100,25650,75,341
260.075,25725,75,342
260.563,25800,75,343
261.540,25875,75,344
262.123,25950,75,345
263.046,26025,75,346
263.536,26100,75,347
264.463,26175,75,348
265.096,26250,75,349
265.925,26325,75,350
266.511,26400,75,351
267.488,26475,75,352
268.021,26550,75,353
268.948,26625,75,354
269.533,26700,75,355
270.459,26775,75,356
270.999,26850,75,357
271.945,26925,75,358
272.506,27000,75,359
273.459,27075,75,360
274.066,27150,75,361
274.846,27225,75,362
275.490,27300,75,363
276.451,27375,75,364
277.018,27450,75,365
277.869,27525,75,366
278.454,27600,75,367
279.332,27675,75,368
280.011,27750,75,369
280.849,27825,75,370
281.433,27900,75,371
282.408,27975,75,372
283.023,28050,75,373
283.867,28125,75,374
284.498,28200,75,375
285.571,28275,75,376
286.099,28350,75,377
286.839,28425,75,378
287.378,28500,75,379
288.353,28575,75,380
288.886,28650,75,381
289.835,28725,75,382
290.599,28800,75,383
291.422,28875,75,384
291.962,28950,75,385
292.738,29025,75,386
293.420,29100,75,387
294.349,29175,75,388
294.838,29250,75,389
295.714,29325,75,390
296.298,29400,75,391
297.321,29475,75,392
297.807,29550,75,393
