df_hash,22ZHK4.C8ZX7D
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.LYCG
person_label,V151
date_time_start,2026-06-08_18-21-38.649000_+03
date_time_start_unix,1780924898.649
date_time_end,2026-06-08_18-32-21.394000_+03
length_difference_noticed,no

time,spo2
40.610,98
40.994,98
41.676,98
42.846,98
47.820,98
54.989,98
58.057,98
58.596,98
66.441,98
66.934,98
67.416,98
67.951,98
72.097,98
74.339,97
75.414,97
75.997,97
77.165,98
77.654,98
79.365,98
79.848,98
80.141,98
85.454,98
93.754,98
95.695,97
96.276,98
102.252,98
102.813,98
103.493,99
105.197,99
106.318,99
107.439,98
108.610,98
109.147,99
109.780,99
110.316,98
110.563,98
117.235,98
117.679,98
119.458,98
122.844,98
123.186,98
124.454,98
125.431,98
128.110,98
128.647,98
129.816,98
137.080,98
141.126,98
142.052,98
146.589,98
147.806,98
148.386,98
149.024,98
149.610,98
150.198,98
159.306,98
159.751,98
163.997,98
167.014,98
168.087,98
171.156,98
173.568,98
175.741,98
176.370,98
176.862,98
179.793,99
180.324,98
181.036,98
181.588,98
182.711,98
187.046,98
189.194,98
194.065,98
194.508,98
197.383,98
198.409,99
199.724,99
203.673,99
204.302,99
214.981,98
215.812,98
217.149,99
217.855,99
220.734,98
221.271,98
221.904,97
222.437,97
222.979,98
224.255,98
225.271,98
226.345,98
232.096,98
233.311,98
234.922,98
237.747,98
240.039,98
243.205,98
244.622,98
245.252,98
245.822,98
246.282,98
247.642,98
248.180,98
249.741,98
252.570,98
253.641,98
254.281,98
255.884,98
256.465,98
257.635,97
260.855,97
261.295,97
266.265,97
272.020,97
276.991,97
277.579,97
278.996,97
279.478,97
280.157,97
281.185,97
282.936,97
283.427,97
285.036,97
287.470,97
289.326,97
290.460,97
292.654,97
293.274,98
294.297,98
295.952,98
296.492,98
297.077,98
297.613,98
299.955,98
300.681,98
301.025,98
302.582,98
304.243,98
304.635,98
305.312,98
305.898,98
307.450,98
308.191,98
308.680,98
309.215,98
310.337,98
310.967,98
313.751,98
314.290,98
314.820,98
315.407,98
316.674,98
317.695,98
318.720,99
323.548,99
324.084,99
326.329,99
327.594,99
328.593,99
329.106,99
330.227,99
330.956,99
331.300,100
331.931,100
333.592,100
334.809,100
335.785,100
339.291,100
340.951,100
344.273,100
345.360,100
349.821,100
350.946,100
351.481,100
352.314,100
352.697,100
353.676,100
354.799,100
355.386,100
356.743,100
363.815,100
364.400,100
364.941,99
365.570,99
366.204,100
367.207,99
372.590,100
376.881,99
377.467,99
378.441,99
384.000,98
385.021,99
385.576,99
387.996,99
393.165,99
394.040,99
395.403,99
397.011,99
409.401,98
409.544,98
410.956,97
412.953,98
431.970,98
433.632,98
436.648,97
448.108,97
547.847,94
548.188,94
554.477,93
556.521,94
573.100,95
573.274,96
574.659,96
575.645,96
575.881,96
576.170,96
579.635,94
585.287,94
591.040,96
591.535,96
592.091,97
592.596,97
602.400,98
602.981,98
604.199,98
604.790,97
608.785,97
