df_hash,22ZHK4.KA6GFR
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.L5GC
person_label,V154
date_time_start,2026-06-08_19-14-06.709000_+03
date_time_start_unix,1780928046.709
date_time_end,2026-06-08_19-27-56.057000_+03
length_difference_noticed,no

time,acc_mag
4.365,1.009
4.395,1.010
4.425,1.011
4.455,1.013
4.485,1.010
4.515,1.013
4.545,1.014
4.575,1.008
4.605,1.009
4.635,1.010
4.665,1.008
4.695,1.009
4.725,1.008
4.755,1.005
4.785,1.006
4.815,0.999
4.845,1.006
4.875,1.007
4.905,1.022
4.935,1.006
4.965,1.006
4.995,1.012
5.025,1.010
5.055,1.009
5.085,1.012
5.115,1.013
5.145,1.012
5.175,1.014
5.205,1.003
5.235,1.002
5.265,1.004
5.295,1.007
5.325,1.009
5.355,1.012
5.385,1.013
5.415,1.013
5.445,1.001
5.475,1.008
5.505,1.012
5.535,1.018
5.565,1.010
5.595,1.004
5.625,1.001
5.655,1.014
5.685,1.024
5.715,1.021
5.745,1.005
5.775,1.001
5.805,1.001
5.835,1.005
5.865,1.013
5.895,1.009
5.925,1.011
5.955,1.006
5.985,1.008
6.015,1.001
6.045,1.002
6.075,1.002
6.105,1.009
6.135,1.012
6.165,1.022
6.195,1.009
6.225,1.007
6.255,1.009
6.285,1.010
6.315,1.006
6.345,1.003
6.375,1.005
6.405,1.007
6.435,1.005
6.465,1.014
6.495,1.016
6.525,1.001
6.555,1.005
6.585,1.004
6.615,1.012
6.645,1.013
6.675,1.005
6.705,1.000
6.735,1.019
6.765,1.018
6.795,1.017
6.825,1.029
6.855,1.004
6.885,0.991
6.915,1.007
6.945,1.015
6.975,1.010
7.005,0.988
7.035,1.007
7.065,1.016
7.095,1.050
7.125,1.039
7.155,1.016
7.185,0.961
7.215,1.011
7.245,1.019
7.275,1.016
7.305,0.997
7.335,1.019
7.365,1.020
7.395,1.016
7.425,1.030
7.455,1.020
7.485,1.026
7.515,1.011
7.545,1.010
7.575,1.021
7.605,1.002
7.635,0.985
7.665,0.989
7.695,0.996
7.725,1.004
7.755,0.996
7.785,0.985
7.815,1.005
7.845,1.003
7.875,1.019
7.905,1.023
7.935,1.031
7.965,1.045
7.995,1.052
8.025,0.979
8.055,0.957
8.085,0.974
8.115,1.020
8.145,1.034
8.175,1.035
8.205,1.017
8.235,1.008
8.265,0.986
8.295,0.998
8.325,0.997
8.355,0.994
8.385,1.010
8.415,1.024
8.445,1.019
8.475,1.012
8.505,1.010
8.535,1.016
8.565,1.017
8.595,1.010
8.625,1.006
8.655,1.016
8.685,1.012
8.715,1.007
8.745,1.010
8.775,1.021
8.805,1.014
8.835,1.010
8.865,1.021
8.895,1.018
8.925,1.005
8.955,1.002
8.985,1.003
9.015,1.012
9.045,1.007
9.075,1.012
9.105,1.021
9.135,1.011
9.165,1.006
9.195,1.012
9.225,1.006
9.255,1.016
9.285,1.015
9.315,1.009
9.345,1.013
9.375,1.010
9.405,1.003
9.435,1.017
9.465,1.019
9.495,1.013
9.525,1.013
9.555,1.006
9.585,1.000
9.615,0.996
9.645,1.007
9.675,1.018
9.705,1.017
9.735,1.010
9.765,1.014
9.795,1.013
9.825,1.005
9.855,1.016
9.885,1.011
9.915,1.007
9.945,1.011
9.975,1.018
10.005,1.010
10.035,1.004
10.065,1.008
10.095,1.003
10.125,1.012
10.155,1.006
10.185,1.009
10.215,1.016
10.245,1.013
10.275,1.012
10.305,1.007
10.335,1.010
10.365,1.010
10.395,1.013
10.425,1.011
10.455,1.009
10.485,1.015
10.515,1.012
10.545,1.004
10.575,1.012
10.605,1.016
10.635,1.016
10.665,1.012
10.695,1.010
10.725,1.016
10.755,1.011
10.785,1.006
10.815,0.997
10.845,1.029
10.875,1.029
10.905,1.057
10.935,1.012
10.965,0.982
10.995,0.978
11.025,0.959
11.055,0.979
11.085,1.005
11.115,1.028
11.145,1.029
11.175,1.020
11.205,0.987
11.235,0.986
11.265,1.004
11.295,1.033
11.325,1.031
11.355,1.023
11.385,1.013
11.415,0.995
11.445,0.982
11.475,0.995
11.505,1.010
11.535,1.023
11.565,1.025
11.595,1.020
11.625,1.009
11.655,0.987
11.685,0.993
11.715,1.017
11.745,1.018
11.775,1.016
11.805,1.010
11.835,1.009
11.865,1.004
11.895,1.002
11.925,1.010
11.955,1.012
11.985,1.010
12.015,1.023
12.045,1.021
12.075,1.022
12.105,1.006
12.135,0.957
12.165,1.000
12.195,1.071
12.225,1.043
12.255,1.012
12.285,0.998
12.315,1.007
12.345,0.987
12.375,0.999
12.405,1.006
12.435,1.009
12.465,1.015
12.495,1.023
12.525,1.021
12.555,1.005
12.585,0.989
12.615,0.986
12.645,1.002
12.675,1.021
12.705,1.016
12.735,1.015
12.765,1.016
12.795,1.013
12.825,1.002
12.855,0.999
12.885,0.998
12.915,1.003
12.945,1.009
12.975,1.019
13.005,1.022
13.035,1.021
13.065,1.007
13.095,1.008
13.125,1.013
13.155,1.006
13.185,1.006
13.215,1.012
13.245,1.012
13.275,1.010
13.305,1.002
13.335,1.007
13.365,1.005
13.395,1.014
13.425,1.013
13.455,1.013
13.485,1.011
13.515,1.009
13.545,1.003
13.575,1.001
13.605,1.005
13.635,1.017
13.665,1.019
13.695,1.021
13.725,1.004
