df_hash,22ZHK4.KA6GFR
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.L5GC
person_label,V154
date_time_start,2026-06-08_19-14-06.709000_+03
date_time_start_unix,1780928046.709
date_time_end,2026-06-08_19-27-56.057000_+03
length_difference_noticed,no

time,ble_sample_counter,ble_sample_amount,ble_packet_counter
5.592,210,74,2
6.079,281,71,3
6.323,353,72,4
6.762,425,72,5
7.054,496,71,6
7.444,570,74,7
7.688,644,74,8
8.175,713,69,9
8.668,785,72,10
8.860,856,71,11
9.199,928,72,12
9.491,1002,74,13
9.980,1070,68,14
10.240,1144,74,15
10.661,1216,72,16
10.954,1287,71,17
11.295,1357,70,18
11.832,1429,72,19
12.075,1499,70,20
12.561,1573,74,21
12.771,1643,70,22
13.050,1717,74,23
13.394,1791,74,24
13.879,1859,68,25
14.270,1932,73,26
14.530,2006,74,27
14.859,2078,72,28
15.146,2152,74,29
15.591,2226,74,30
16.073,2297,71,31
16.319,2369,72,32
16.808,2441,72,33
16.954,2514,73,34
17.437,2585,71,35
17.925,2656,71,36
18.120,2729,73,37
18.608,2801,72,38
18.900,2873,72,39
19.290,2943,70,40
19.583,3013,70,41
19.924,3085,72,42
20.265,3156,71,43
20.704,3226,70,44
20.850,3300,74,45
21.289,3371,71,46
21.679,3442,71,47
22.119,3513,71,48
22.510,3584,71,49
22.800,3655,71,50
23.190,3725,70,51
23.434,3797,72,52
23.872,3868,71,53
24.132,3939,71,54
24.511,4013,74,55
24.896,4084,71,56
25.335,4152,68,57
25.531,4226,74,58
25.872,4297,71,59
26.310,4371,74,60
26.703,4445,74,61
27.090,4516,71,62
27.337,4586,70,63
27.701,4657,71,64
27.967,4729,72,65
28.455,4800,71,66
28.747,4874,74,67
29.138,4945,71,68
29.479,5019,74,69
29.778,5093,74,70
30.307,5164,71,71
30.653,5238,74,72
30.952,5311,73,73
31.380,5382,71,74
31.669,5456,74,75
32.214,5524,68,76
32.449,5598,74,77
32.745,5672,74,78
33.281,5743,71,79
33.474,5817,74,80
33.964,5890,73,81
34.072,5964,74,82
34.501,6038,74,83
35.044,6108,70,84
35.280,6179,71,85
35.718,6253,74,86
36.023,6326,73,87
36.306,6398,72,88
37.080,6472,74,89
37.278,6543,71,90
37.473,6617,74,91
37.816,6685,68,92
38.107,6756,71,93
38.407,6830,74,94
38.894,6901,71,95
39.288,6973,72,96
39.573,7047,74,97
39.911,7118,71,98
40.215,7189,71,99
40.984,7263,74,100
41.016,7335,72,101
41.419,7409,74,102
41.812,7483,74,103
41.960,7557,74,104
42.503,7630,73,105
42.889,7701,71,106
43.182,7773,72,107
43.628,7845,72,108
43.909,7917,72,109
44.298,7988,71,110
44.737,8062,74,111
44.932,8133,71,112
45.330,8207,74,113
45.712,8281,74,114
46.154,8350,69,115
46.315,8424,74,116
46.736,8494,70,117
47.044,8568,74,118
47.423,8642,74,119
47.973,8712,70,120
48.442,8783,71,121
48.539,8857,74,122
48.841,8931,74,123
49.320,9002,71,124
49.809,9072,70,125
49.904,9146,74,126
50.394,9218,72,127
50.636,9290,72,128
51.123,9361,71,129
51.379,9435,74,130
51.810,9506,71,131
52.244,9579,73,132
52.439,9653,74,133
52.986,9724,71,134
53.219,9796,72,135
53.609,9870,74,136
54.049,9941,71,137
54.314,10013,72,138
54.779,10085,72,139
55.091,10157,72,140
55.364,10231,74,141
55.904,10305,74,142
56.146,10375,70,143
56.690,10449,74,144
56.852,10523,74,145
57.168,10594,71,146
57.470,10668,74,147
57.853,10740,72,148
58.289,10813,73,149
58.641,10885,72,150
58.977,10956,71,151
59.264,11027,71,152
59.752,11098,71,153
60.044,11172,74,154
60.442,11246,74,155
61.021,11320,74,156
61.054,11392,72,157
61.554,11466,74,158
61.945,11537,71,159
62.239,11611,74,160
62.677,11685,74,161
62.928,11759,74,162
63.310,11833,74,163
63.707,11907,74,164
64.049,11979,72,165
64.437,12050,71,166
64.830,12122,72,167
65.163,12192,70,168
65.511,12266,74,169
65.748,12340,74,170
66.289,12409,69,171
67.016,12482,73,172
67.062,12552,70,173
67.260,12624,72,174
67.600,12698,74,175
68.088,12771,73,176
68.426,12845,74,177
68.773,12916,71,178
69.063,12989,73,179
69.408,13063,74,180
70.022,13135,72,181
70.193,13207,72,182
70.574,13281,74,183
70.866,13352,71,184
71.252,13424,72,185
71.889,13498,74,186
71.990,13568,70,187
72.333,13642,74,188
72.670,13716,74,189
73.110,13787,71,190
73.304,13858,71,191
73.792,13929,71,192
74.141,14003,74,193
74.474,14077,74,194
74.962,14148,71,195
75.205,14222,74,196
75.750,14295,73,197
75.990,14369,74,198
76.234,14443,74,199
76.768,14514,71,200
77.021,14585,71,201
77.362,14659,74,202
77.743,14733,74,203
78.081,14804,71,204
78.424,14876,72,205
78.772,14950,74,206
79.280,15024,74,207
79.544,15098,74,208
79.890,15172,74,209
80.349,15243,71,210
80.743,15316,73,211
81.014,15390,74,212
81.399,15461,71,213
81.643,15535,74,214
82.178,15607,72,215
82.521,15681,74,216
82.810,15753,72,217
83.346,15823,70,218
83.571,15897,74,219
83.982,15969,72,220
84.287,16043,74,221
84.570,16117,74,222
85.101,16188,71,223
85.380,16262,74,224
85.783,16334,72,225
86.076,16406,72,226
86.462,16480,74,227
86.764,16551,71,228
87.202,16622,71,229
87.591,16696,74,230
87.880,16767,71,231
88.172,16841,74,232
88.719,16913,72,233
88.952,16985,72,234
89.294,17057,72,235
89.643,17131,74,236
89.976,17200,69,237
90.323,17274,74,238
90.805,17348,74,239
91.147,17419,71,240
91.443,17493,74,241
91.877,17562,69,242
92.078,17636,74,243
92.611,17710,74,244
92.999,17782,72,245
93.259,17853,71,246
93.737,17925,72,247
93.973,17998,73,248
94.315,18070,72,249
94.715,18144,74,250
94.997,18215,71,251
95.436,18289,74,252
95.777,18363,74,253
96.223,18432,69,254
96.460,18506,74,255
96.808,18577,71,256
97.246,18651,74,257
97.582,18722,71,258
97.971,18796,74,259
98.312,18866,70,260
98.605,18940,74,261
98.901,19012,72,262
99.336,19086,74,263
99.775,19158,72,264
100.082,19232,74,265
100.416,19303,71,266
100.652,19374,71,267
101.266,19445,71,268
101.578,19519,74,269
101.876,19593,74,270
102.312,19665,72,271
102.508,19739,74,272
103.059,19810,71,273
103.284,19882,72,274
103.725,19956,74,275
104.120,20029,73,276
104.554,20103,74,277
104.844,20177,74,278
105.137,20251,74,279
105.429,20325,74,280
105.917,20395,70,281
106.285,20467,72,282
106.648,20540,73,283
106.941,20612,72,284
107.233,20684,72,285
107.629,20758,74,286
108.159,20830,72,287
108.305,20901,71,288
108.744,20973,72,289
109.039,21046,73,290
109.428,21117,71,291
109.876,21191,74,292
110.207,21262,71,293
110.450,21336,74,294
110.840,21408,72,295
111.279,21479,71,296
111.622,21553,74,297
112.011,21625,72,298
112.357,21699,74,299
112.742,21770,71,300
113.037,21844,74,301
113.429,21918,74,302
113.774,21992,74,303
114.058,22063,71,304
114.502,22137,74,305
115.044,22211,74,306
115.228,22281,70,307
115.569,22355,74,308
116.154,22429,74,309
116.363,22501,72,310
116.803,22575,74,311
117.108,22647,72,312
117.389,22721,74,313
117.910,22792,71,314
118.158,22862,70,315
118.543,22936,74,316
