df_hash,22ZHK4.KA6GFR
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.L5GC
person_label,V154
date_time_start,2026-06-08_19-14-06.709000_+03
date_time_start_unix,1780928046.709
date_time_end,2026-06-08_19-27-56.057000_+03
length_difference_noticed,no

time,ppg_ir,ppg_ambient,ppg_red
5.040,215591,168,204377
5.045,215634,168,204385
5.050,215592,168,204375
5.055,215609,168,204387
5.060,215616,168,204401
5.065,215634,168,204378
5.070,215630,168,204395
5.075,215646,168,204415
5.080,215644,168,204415
5.085,215665,168,204413
5.090,215660,168,204433
5.095,215659,169,204417
5.100,215670,168,204438
5.105,215664,168,204437
5.110,215667,168,204439
5.115,215664,168,204419
5.120,215660,168,204452
5.125,215656,168,204451
5.130,215653,168,204431
5.135,215671,168,204436
5.140,215653,168,204443
5.145,215662,168,204439
5.150,215638,168,204447
5.155,215652,168,204449
5.159,215654,168,204441
5.164,215642,168,204453
5.169,215659,168,204443
5.174,215641,168,204454
5.179,215639,168,204453
5.184,215621,168,204450
5.189,215629,168,204471
5.194,215625,168,204456
5.199,215624,168,204476
5.204,215630,168,204460
5.209,215621,168,204474
5.214,215616,168,204467
5.219,215617,168,204496
5.224,215629,168,204484
5.229,215628,168,204484
5.234,215647,168,204498
5.239,215646,168,204487
5.244,215645,168,204488
5.249,215627,168,204507
5.254,215645,168,204510
5.259,215661,168,204515
5.264,215670,168,204499
5.269,215658,168,204570
5.274,215681,168,204540
5.279,215672,168,204542
5.284,215673,168,204547
5.289,215678,168,204544
5.294,215685,168,204548
5.299,215678,168,204555
5.304,215694,168,204565
5.308,215715,168,204577
5.313,215696,168,204603
5.318,215719,168,204582
5.323,215727,168,204592
5.328,215719,168,204596
5.333,215745,168,204616
5.338,215752,168,204617
5.343,215756,168,204625
5.348,215770,168,204634
5.353,215790,168,204637
5.358,215786,168,204636
5.363,215798,168,204680
5.368,215844,168,204669
5.373,215826,168,204692
5.378,215836,168,204694
5.383,215853,168,204697
5.388,215865,168,204712
5.393,215866,168,204729
5.398,215884,168,204721
5.403,215892,168,204721
5.408,215913,168,204737
5.413,215928,168,204743
5.418,215929,169,204759
5.423,215933,168,204773
5.428,215968,168,204793
5.433,215955,168,204792
5.438,215988,168,204790
5.443,215998,168,204776
5.448,215995,168,204799
5.453,215984,168,204815
5.457,216000,168,204815
5.462,216015,168,204812
5.467,216006,168,204805
5.472,215987,168,204800
5.477,215390,168,204466
5.482,215384,168,204473
5.487,215363,168,204459
5.492,215359,168,204475
5.497,215381,168,204468
5.502,215359,168,204685
5.507,215795,168,204668
5.512,215743,168,204650
5.517,215711,168,204626
5.522,215688,168,204601
5.527,215654,168,204584
5.532,215621,168,204565
5.537,215606,168,204567
5.542,215563,168,204554
5.547,215569,168,204543
5.552,215534,168,204533
5.557,215528,169,204520
5.562,215496,168,204495
5.567,215485,168,204509
5.572,215468,168,204493
5.577,215461,168,204493
5.582,215441,168,204497
5.587,215430,168,204489
5.592,215422,168,204467
5.597,215399,168,204463
5.602,215399,168,204492
5.606,215383,168,204461
5.611,215375,168,204488
5.616,215390,168,204466
5.621,215384,168,204473
5.626,215363,168,204459
5.631,215359,168,204475
5.636,215381,168,204475
5.641,215359,169,204470
5.646,215378,168,204482
5.651,215366,168,204461
5.656,215358,168,204468
5.661,215360,168,204479
5.666,215379,168,204493
5.671,215378,169,204487
5.676,215389,169,204510
5.681,215388,168,204518
5.686,215382,168,204541
5.691,215436,168,204540
5.696,215427,168,204550
5.701,215423,168,204560
5.706,215451,168,204531
5.711,215453,168,204574
5.716,215479,168,204557
5.721,215468,168,204583
5.726,215473,168,204570
5.731,215487,168,204576
5.736,215507,169,204591
5.741,215487,168,204593
5.746,215504,168,204595
5.751,215505,168,204618
5.755,215610,168,204729
5.760,215599,168,204735
5.765,215614,168,204759
5.770,215609,168,204759
5.775,215641,168,204617
5.780,215658,168,204620
5.785,215495,168,204617
5.790,215499,168,204634
5.795,215509,168,204619
5.800,215489,168,204627
5.805,215510,168,204642
5.810,215492,168,204648
5.815,215507,168,204640
5.820,215509,168,204627
5.825,215513,168,204643
5.830,215524,168,204647
5.835,215519,168,204654
5.840,215536,168,204668
5.845,215534,168,204670
5.850,215547,168,204665
5.855,215556,168,204673
5.860,215549,168,204668
5.865,215539,168,204689
5.870,215565,168,204701
5.875,215555,168,204695
5.880,215588,168,204699
5.885,215587,168,204711
5.890,215604,168,204720
5.895,215610,168,204729
5.900,215599,168,204735
5.904,215614,168,204759
5.909,215609,168,204759
5.914,215641,168,204780
5.919,215658,168,204773
5.924,215646,168,204794
5.929,215684,168,204793
5.934,215685,168,204820
5.939,215689,168,204811
5.944,215698,168,204835
5.949,215724,168,204839
5.954,215728,168,204833
5.959,215729,168,204837
5.964,215755,168,204853
5.969,215746,168,204867
5.974,215771,168,204854
5.979,215757,168,204876
5.984,215786,168,204881
5.989,215785,168,204901
5.994,215813,168,204895
5.999,215812,168,204903
6.004,215830,168,204907
6.009,215832,168,204922
6.014,215848,168,204927
6.019,215843,168,204937
6.024,215862,168,204945
6.029,215880,168,204955
6.034,215889,168,204965
6.039,215896,168,204972
6.044,215916,168,204962
6.049,215914,168,204996
6.053,215928,168,204987
6.058,215958,169,204991
6.063,215943,168,205008
6.068,215982,168,205010
6.073,215985,168,205028
6.078,215988,168,205020
6.083,216027,168,205040
6.088,216013,168,205037
6.093,216021,168,205050
6.098,216038,170,205057
6.103,216032,168,205057
6.108,216031,168,205045
6.113,216049,168,205060
6.118,216015,168,205028
6.123,216002,168,205019
6.128,215979,168,205000
6.133,215938,168,204999
6.138,215902,168,204961
6.143,215881,168,204951
6.148,215855,168,204945
6.153,215841,168,204940
6.158,215809,168,204939
6.163,215788,168,204932
6.168,215770,168,204910
6.173,215759,168,204922
6.178,215730,168,204924
6.183,215708,168,204942
6.188,215719,168,204940
6.193,215713,168,204929
6.198,215695,168,204933
6.203,215678,168,204948
6.207,215670,168,204947
6.212,215651,168,204939
6.217,215654,168,204954
6.222,215639,169,204940
6.227,215645,168,204946
6.232,215618,168,204949
6.237,215630,168,204953
6.242,215619,168,204946
6.247,215605,168,204976
6.252,215621,168,204956
6.257,215606,168,204969
6.262,215600,168,204964
6.267,215607,168,204974
6.272,215621,168,204986
6.277,215602,168,204974
6.282,215596,168,204973
6.287,215576,168,204966
6.292,215587,168,204987
6.297,215566,168,204975
6.302,215575,168,204980
6.307,215569,168,204979
6.312,215561,168,204976
6.317,215558,168,204977
6.322,215560,168,204988
6.327,215557,168,204993
6.332,215566,168,204977
6.337,215574,168,204987
6.342,215582,168,205026
6.347,215584,168,204982
6.352,215575,168,204983
6.356,215558,168,204995
6.361,215580,168,204986
6.366,215604,168,204990
6.371,215564,168,204994
6.376,215572,168,204993
6.381,215571,168,204985
6.386,215575,168,204969
6.391,215562,168,204981
6.396,215546,168,204966
6.401,215545,168,204959
6.406,215537,168,204973
6.411,215519,168,204967
6.416,215520,168,204941
6.421,215513,168,204948
6.426,215496,168,204939
6.431,215490,168,204934
6.436,215487,168,204927
6.441,215471,168,204929
6.446,215494,168,204921
6.451,215389,168,204754
6.456,215402,168,204782
6.461,215396,168,204755
6.466,215385,168,204754
6.471,215393,168,204637
