df_hash,22ZHK4.JVF6GR
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.2LVU
person_label,V157
date_time_start,2026-06-08_20-04-04.390000_+03
date_time_start_unix,1780931044.39
date_time_end,2026-06-08_20-13-20.835000_+03
length_difference_noticed,no

time,quality
20.783,67
21.787,75
22.857,79
23.880,77
24.901,80
25.929,75
26.809,73
27.732,67
28.855,43
29.974,39
30.610,39
32.019,35
32.754,31
33.727,30
35.044,48
35.679,47
36.604,57
38.018,72
38.844,74
39.821,73
40.797,75
41.915,74
42.601,70
43.722,31
44.697,18
45.526,22
46.890,24
47.620,30
48.548,37
49.669,44
50.596,35
51.473,23
52.741,24
53.545,27
54.414,26
55.667,31
56.496,39
57.621,34
58.685,33
59.517,51
60.417,58
61.617,63
62.491,74
63.563,71
64.681,68
65.707,66
66.387,70
67.584,82
68.444,81
69.364,76
70.486,75
71.386,75
72.530,74
73.557,71
74.529,71
75.407,74
76.484,72
77.420,77
78.286,76
79.430,73
80.479,74
81.357,76
82.478,74
83.307,73
84.282,65
85.449,75
86.521,75
87.253,77
88.570,76
89.310,73
90.279,76
91.591,73
92.326,78
93.301,77
94.373,77
95.251,73
96.080,74
97.399,75
98.228,78
99.296,83
100.272,84
101.247,77
102.221,79
103.299,80
104.272,84
105.344,74
106.225,70
107.195,51
108.023,36
109.293,59
110.170,76
111.095,68
112.216,61
113.045,67
114.280,76
115.384,83
116.116,82
117.185,82
118.208,78
118.992,81
119.968,83
121.234,79
122.208,79
122.892,76
124.159,80
124.988,27
125.963,0
127.233,0
128.059,35
128.890,40
130.156,0
131.079,36
131.959,0
133.032,0
134.198,36
134.881,28
136.105,36
136.943,25
137.909,30
139.030,28
139.857,22
140.832,21
142.245,19
142.977,38
143.760,32
144.997,39
145.950,28
146.830,25
147.902,23
148.877,23
149.802,26
150.973,26
151.802,23
152.777,28
153.897,35
154.922,31
155.702,32
156.970,58
157.842,74
158.772,76
159.846,82
160.972,72
161.648,73
162.769,72
163.938,77
164.715,73
165.743,77
166.669,74
167.595,68
168.765,58
169.885,53
170.563,56
171.933,63
172.665,63
173.639,61
174.715,61
175.689,59
176.517,65
177.932,72
178.609,74
179.441,58
180.857,12
181.831,0
182.561,35
183.779,32
184.612,0
185.439,28
186.701,29
187.679,0
188.460,24
189.896,29
190.558,29
191.385,32
192.654,66
193.482,69
194.407,64
195.577,67
196.555,67
197.381,72
198.599,68
199.499,66
200.377,68
201.524,65
202.448,57
203.330,42
204.451,41
205.422,39
206.347,38
207.518,41
208.351,33
209.336,23
210.445,59
211.372,67
212.251,63
213.471,61
214.346,51
215.272,56
216.344,42
217.368,26
218.197,37
219.614,46
220.292,34
221.122,25
222.487,0
223.242,0
224.195,0
225.314,16
226.290,29
227.118,20
228.385,0
229.308,11
230.186,22
231.356,40
232.239,44
233.065,38
234.235,41
235.212,39
236.136,37
237.258,38
238.232,45
239.062,63
240.281,72
241.260,64
241.986,68
243.206,68
244.076,17
245.152,0
246.276,0
247.105,22
248.081,0
249.201,0
250.175,0
251.024,41
252.126,42
253.057,65
253.932,74
255.148,68
255.980,34
256.952,22
258.074,10
259.049,14
259.877,0
261.290,0
261.993,0
263.094,0
264.022,42
264.997,40
265.874,25
266.946,0
267.966,16
268.823,22
270.032,34
271.144,34
271.823,0
272.946,0
274.111,26
274.746,31
275.967,25
276.843,20
277.819,19
278.889,18
279.864,35
280.841,34
281.962,28
282.932,0
283.764,36
284.886,40
285.739,35
286.688,30
287.810,0
288.785,0
289.763,12
290.832,25
291.741,14
292.933,2
293.806,0
294.740,0
295.662,0
296.831,0
297.660,0
298.634,0
299.753,19
300.728,0
301.564,0
302.824,0
303.900,0
304.533,42
305.942,11
306.821,2
307.480,0
308.921,0
309.553,6
310.430,18
311.697,0
312.525,17
313.452,21
314.719,27
315.470,31
316.521,25
317.646,32
318.519,24
319.438,0
320.815,0
321.495,0
322.324,0
323.640,25
324.469,41
325.309,40
326.516,28
327.394,29
328.466,35
329.585,32
330.514,6
331.245,30
332.510,0
333.342,34
334.316,26
335.581,22
336.364,0
337.242,0
338.506,0
339.495,0
340.313,22
341.386,23
342.360,23
343.432,25
344.599,0
345.285,1
346.360,2
347.332,10
348.369,14
349.187,17
350.546,7
351.281,0
352.204,0
353.331,4
354.312,0
355.280,2
356.255,4
357.230,7
358.073,0
359.324,37
360.154,29
361.038,0
362.249,0
363.375,10
364.053,12
365.415,6
366.164,2
366.979,0
368.437,0
369.076,0
370.000,25
371.272,23
372.097,0
373.068,68
374.193,73
375.021,0
376.142,4
377.068,8
378.043,0
378.923,0
380.140,0
380.969,16
382.138,16
383.067,0
384.042,0
384.914,0
386.136,33
387.159,0
387.793,0
389.012,0
389.938,0
390.877,0
392.252,0
393.055,23
394.053,0
395.056,0
395.837,0
396.812,38
397.935,23
399.053,23
399.737,30
401.006,0
401.978,22
402.954,21
403.881,34
404.998,26
405.733,23
406.951,31
407.782,0
408.610,0
409.885,0
410.705,37
411.874,0
412.999,0
413.776,0
414.751,0
415.882,0
416.993,0
417.919,0
419.043,0
419.875,22
420.553,27
422.304,33
422.648,38
423.769,0
424.899,0
425.765,0
426.546,0
427.816,0
428.645,0
429.522,17
430.692,23
431.665,26
432.492,0
433.763,0
434.589,27
