df_hash,22ZHK4.JVF6GR
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.2LVU
person_label,V157
date_time_start,2026-06-08_20-04-04.390000_+03
date_time_start_unix,1780931044.39
date_time_end,2026-06-08_20-13-20.835000_+03
length_difference_noticed,no

time,rr_int
10.377,3990
10.828,1575
10.912,230
10.916,40
11.205,240
12.137,545
12.323,560
12.372,210
12.762,20
12.860,325
13.837,245
14.176,850
14.816,495
15.348,560
15.931,525
16.272,530
16.857,510
17.451,555
18.076,595
18.661,580
19.246,565
19.784,575
20.367,570
20.860,580
21.348,595
21.928,535
22.707,585
23.293,575
23.778,590
24.316,575
24.907,580
25.534,560
26.071,760
27.192,345
27.390,1175
27.598,295
28.801,260
29.386,1075
31.044,605
31.512,1625
32.024,535
32.555,535
33.146,530
33.743,545
34.115,560
34.759,575
35.334,550
35.920,580
36.508,615
37.137,595
37.722,580
38.356,570
38.848,545
39.478,600
40.134,615
40.651,590
41.282,565
41.923,635
42.500,620
43.286,650
43.670,795
44.262,390
44.840,605
45.376,585
46.059,630
46.595,580
46.741,645
48.155,365
49.325,1120
49.770,1245
50.787,435
51.909,950
52.407,1125
53.179,530
54.104,535
54.692,1150
55.809,520
56.053,1205
56.350,520
57.373,555
57.954,595
58.691,560
59.172,590
59.790,610
60.345,570
60.933,630
61.539,575
62.146,610
62.731,565
63.365,615
63.901,625
64.686,645
65.120,605
65.949,605
66.392,635
67.070,615
67.752,610
68.191,580
68.971,615
69.507,645
70.092,645
70.775,600
71.360,615
71.904,615
72.535,590
73.165,630
73.606,580
74.285,580
74.288,565
74.929,10
75.504,645
76.089,595
76.726,565
77.311,610
77.892,620
78.380,620
79.111,550
79.699,650
80.282,590
80.867,620
81.361,570
82.037,610
82.526,575
83.158,595
83.840,555
84.376,600
84.961,595
85.503,565
85.985,580
86.526,555
87.155,560
87.740,540
88.325,565
88.861,585
89.349,565
89.983,550
90.421,570
91.007,585
91.595,560
92.198,570
92.761,545
93.311,555
93.885,540
94.516,595
95.102,580
95.687,580
96.272,585
96.667,580
97.197,610
97.883,570
98.475,570
99.050,570
99.641,595
100.220,555
100.805,540
101.345,560
101.926,570
102.367,585
102.974,570
103.486,550
104.022,535
104.510,500
105.055,535
105.826,610
106.367,615
107.045,610
107.559,660
108.264,630
108.853,635
109.385,595
110.078,580
110.669,600
111.238,580
111.773,580
112.361,555
112.905,560
113.385,550
113.921,555
114.504,550
115.137,560
115.674,565
116.210,540
116.795,560
117.191,550
117.770,555
118.216,550
118.894,535
119.281,570
119.915,535
120.500,565
120.997,570
121.670,565
122.213,560
122.791,545
123.327,570
123.766,545
124.351,535
124.839,500
125.131,510
125.521,275
125.570,590
127.033,1400
127.910,300
128.543,540
129.129,680
129.519,490
130.006,495
130.299,530
130.591,220
131.084,325
131.225,370
131.810,200
132.346,530
132.883,650
133.863,470
134.207,1010
134.978,490
135.371,655
136.588,460
136.831,1220
137.371,295
137.590,565
137.757,185
137.761,10
138.342,350
138.349,325
138.589,190
139.707,615
140.439,515
140.682,1025
140.685,10
141.268,290
141.805,290
142.391,520
142.827,525
143.120,620
143.364,275
143.997,215
144.312,520
145.119,455
145.709,695
146.093,580
146.678,375
147.217,680
147.361,500
148.777,250
149.073,1395
149.311,385
150.237,665
150.825,390
151.114,575
151.120,185
151.164,20
151.169,25
151.174,10
151.215,10
151.220,15
151.225,190
152.383,345
152.919,830
153.553,580
154.186,580
154.725,560
155.161,570
155.844,540
156.395,595
157.062,560
157.067,590
157.574,10
158.184,575
158.782,575
159.207,575
159.987,590
160.572,635
160.998,620
161.794,595
162.376,615
162.914,590
163.557,615
164.180,595
164.721,570
165.156,610
166.080,590
166.084,645
166.471,155
166.475,430
167.105,10
167.543,550
168.129,555
168.713,550
169.298,525
169.891,555
170.371,585
170.858,570
171.394,585
171.687,540
171.980,330
172.565,220
173.052,555
173.490,500
174.076,540
174.661,570
174.957,545
175.246,185
175.879,350
176.273,555
176.952,560
177.493,550
177.945,560
178.560,555
178.902,520
178.905,520
179.145,10
179.149,10
179.152,15
179.155,115
180.315,895
180.608,260
180.870,280
182.363,245
184.215,1445
184.221,2055
184.801,10
184.995,560
185.001,135
185.483,10
186.507,425
186.707,1030
186.848,265
186.851,10
186.855,190
187.484,290
187.921,235
188.603,390
188.944,770
188.947,320
189.188,10
189.358,255
189.383,275
189.386,10
189.901,350
190.455,10
191.041,645
191.333,655
191.837,230
192.479,435
193.088,625
193.527,605
194.162,585
194.773,600
194.940,605
194.944,230
195.135,15
195.140,10
195.235,15
195.379,10
195.964,310
196.403,570
196.406,585
196.699,10
197.232,185
197.625,455
198.355,520
198.791,615
199.376,595
199.379,595
200.162,10
200.606,585
201.180,590
201.792,575
202.121,570
202.452,275
203.764,365
204.154,1265
204.740,455
205.203,570
205.209,520
205.860,10
205.866,610
206.354,10
207.080,535
207.084,665
207.664,10
207.713,660
207.860,10
208.298,250
208.932,405
209.712,660
210.297,680
210.593,640
210.835,325
210.838,10
210.979,265
212.100,615
212.103,595
212.197,10
212.343,155
212.347,15
212.493,15
212.496,10
212.839,10
213.075,660
213.080,10
213.907,350
214.592,570
215.171,545
215.174,760
215.464,10
216.634,400
217.221,1065
217.804,520
218.349,630
218.925,550
219.900,515
220.246,1150
