df_hash,22ZHK4.S1D4X7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.9PZP
person_label,v23
date_time_start,2025-08-05_11-22-20.353000_+03
date_time_start_unix,1754374940.353
date_time_end,2025-08-05_11-31-34.378000_+03
length_difference_noticed,no

time,acc_mag
4.925,1.036
4.955,1.038
4.985,1.023
5.015,1.020
5.045,1.029
5.075,1.029
5.105,1.029
5.135,1.030
5.165,1.045
5.195,1.042
5.225,1.055
5.255,1.060
5.285,1.049
5.315,1.035
5.345,1.034
5.375,1.038
5.405,1.048
5.435,1.042
5.465,1.044
5.495,1.047
5.525,1.039
5.555,1.032
5.585,1.019
5.615,1.019
5.645,1.028
5.675,1.044
5.705,1.027
5.735,1.032
5.765,1.021
5.795,1.033
5.825,1.018
5.855,1.016
5.885,1.014
5.915,1.025
5.945,1.033
5.975,1.050
6.005,1.046
6.035,1.046
6.065,1.053
6.095,1.059
6.125,1.061
6.155,1.042
6.185,1.053
6.215,1.055
6.245,1.046
6.275,1.037
6.305,1.012
6.335,1.025
6.365,1.021
6.395,1.021
6.425,1.035
6.455,1.040
6.485,1.033
6.515,1.039
6.545,1.040
6.575,1.034
6.605,1.026
6.635,1.021
6.665,1.023
6.695,1.030
6.725,1.046
6.755,1.050
6.785,1.047
6.815,1.044
6.845,1.033
6.875,1.030
6.905,1.034
6.935,1.039
6.965,1.043
6.995,1.037
7.025,1.023
7.055,1.014
7.085,1.023
7.115,1.031
7.145,1.034
7.175,1.036
7.205,1.042
7.235,1.043
7.265,1.039
7.295,1.033
7.325,1.039
7.355,1.041
7.385,1.043
7.415,1.042
7.445,1.044
7.475,1.033
7.505,1.028
7.535,1.032
7.565,1.031
7.595,1.029
7.625,1.035
7.655,1.039
7.685,1.035
7.715,1.034
7.745,1.028
7.775,1.018
7.805,1.023
7.835,1.018
7.865,1.032
7.895,1.058
7.925,1.045
7.955,1.045
7.985,1.020
8.015,1.037
8.045,1.026
8.075,1.034
8.105,1.022
8.135,1.017
8.165,1.024
8.195,1.034
8.225,1.038
8.255,1.032
8.285,1.023
8.315,1.042
8.345,1.036
8.375,1.049
8.405,1.049
8.435,1.042
8.465,1.049
8.495,1.040
8.525,1.037
8.555,1.034
8.585,1.031
8.615,1.027
8.645,1.029
8.675,1.021
8.705,1.012
8.735,1.036
8.765,1.015
8.795,1.013
8.825,1.027
8.855,1.025
8.885,1.028
8.915,1.022
8.945,1.008
8.975,0.998
9.005,1.019
9.035,1.053
9.065,1.063
9.095,1.045
9.125,1.040
9.155,1.018
9.185,1.029
9.215,1.049
9.245,1.044
9.275,1.061
9.305,1.047
9.335,1.040
9.365,1.017
9.395,1.013
9.425,1.032
9.455,1.029
9.485,1.022
9.515,1.030
9.545,1.043
9.575,1.054
9.605,1.045
9.635,1.026
9.665,1.019
9.695,1.028
9.725,1.019
9.755,1.043
9.785,1.052
9.815,1.034
9.845,1.013
9.875,1.018
9.905,1.029
9.935,1.057
9.965,1.042
9.995,1.031
10.025,1.034
10.055,1.039
10.085,1.019
10.115,1.004
10.145,1.020
10.175,1.046
10.205,1.057
10.235,1.038
10.265,1.038
10.295,1.030
10.325,1.028
10.355,1.030
10.385,1.025
10.415,1.036
10.445,1.039
10.475,1.038
10.505,1.032
10.535,1.027
10.565,1.036
10.595,1.032
10.625,1.033
10.655,1.037
10.685,1.037
10.715,1.036
10.745,1.037
10.775,1.033
10.805,1.036
10.835,1.026
10.865,1.029
10.895,1.033
10.925,1.026
10.955,1.034
10.985,1.041
11.015,1.039
11.045,1.032
11.075,1.046
11.105,1.046
11.135,1.021
11.165,1.027
11.195,1.030
11.225,1.026
11.255,1.022
11.285,1.027
11.315,1.030
11.345,1.029
11.375,1.036
11.405,1.050
11.435,1.051
11.465,1.037
11.495,1.036
11.525,1.030
11.555,1.032
11.585,1.033
11.615,1.025
11.645,1.024
11.675,1.042
11.705,1.041
11.735,1.036
11.765,1.038
11.795,1.044
11.825,1.031
11.855,1.031
11.885,1.025
11.915,1.026
11.945,1.039
11.975,1.041
12.005,1.027
12.035,1.034
12.065,1.039
12.095,1.027
12.125,1.030
12.155,1.033
12.185,1.061
12.215,1.040
12.245,1.015
12.275,1.033
12.305,1.020
12.335,1.026
12.365,1.021
12.395,1.028
12.425,1.032
12.455,1.027
12.485,1.039
12.515,1.030
12.545,1.022
12.575,1.022
12.605,1.031
12.635,1.024
12.665,1.027
12.695,1.034
12.725,1.035
12.755,1.046
12.785,1.032
12.815,1.038
12.845,1.044
12.875,1.042
12.905,1.035
12.935,1.035
12.965,1.033
12.995,1.028
13.025,1.034
13.055,1.035
13.085,1.030
13.115,1.038
13.145,1.041
13.175,1.029
13.205,1.023
13.235,1.030
13.265,1.038
13.295,1.036
13.325,1.031
13.355,1.035
13.385,1.036
13.415,1.038
13.445,1.040
13.475,1.029
13.505,1.034
13.535,1.044
13.565,1.044
13.595,1.034
13.625,1.033
13.655,1.043
13.685,1.041
13.715,1.032
13.745,1.039
13.775,1.030
13.805,1.029
13.835,1.032
13.865,1.040
13.895,1.047
13.925,1.048
13.955,1.028
13.985,1.038
14.015,1.041
14.045,1.028
14.075,1.034
14.105,1.037
14.135,1.044
14.165,1.039
14.195,1.033
14.225,1.032
14.255,1.036
14.285,1.034
