df_hash,22ZHK4.S1D4X7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.9PZP
person_label,v23
date_time_start,2025-08-05_11-22-20.353000_+03
date_time_start_unix,1754374940.353
date_time_end,2025-08-05_11-31-34.378000_+03
length_difference_noticed,no

time,ppg_med
5.940,209
5.965,241
5.990,291
6.015,317
6.040,307
6.065,296
6.090,325
6.115,378
6.140,398
6.165,366
6.190,331
6.215,350
6.240,399
6.265,402
6.290,332
6.315,258
6.340,254
6.365,291
6.390,265
6.415,141
6.440,11
6.465,-25
6.490,-8
6.515,-74
6.540,-267
6.565,-465
6.590,-541
6.615,-544
6.640,-651
6.665,-920
6.690,-1192
6.715,-1300
6.740,-1311
6.765,-1450
6.790,-1788
6.815,-2124
6.840,-2244
6.865,-2232
6.890,-2374
6.915,-2760
6.940,-3133
6.965,-3224
6.990,-3140
7.015,-3239
7.040,-3634
7.065,-4001
7.090,-4002
7.115,-3769
7.140,-3756
7.165,-4107
7.190,-4415
7.215,-4257
7.240,-3798
7.265,-3606
7.290,-3859
7.315,-4053
7.340,-3659
7.365,-2884
7.390,-2438
7.415,-2549
7.440,-2585
7.465,-1881
7.490,-700
7.515,63
7.540,114
7.565,251
7.590,1322
7.615,2997
7.640,4123
7.665,4308
7.690,4583
7.715,6063
7.740,8328
7.765,9839
7.790,10051
7.815,10345
7.840,12272
7.865,15279
7.890,17189
7.915,17158
7.940,17178
7.965,19647
7.990,23830
8.015,26212
8.040,25130
8.065,23922
8.090,27521
8.115,32767
8.140,32767
8.165,28949
8.190,5243
8.215,-21299
8.240,-32768
8.265,-32768
8.290,-30997
8.315,-25206
8.340,-24901
8.365,-26608
8.390,-25669
8.415,-21850
8.440,-18495
8.465,-17711
8.490,-18058
8.515,-17005
8.540,-14276
8.565,-11818
8.590,-10978
8.615,-10880
8.640,-9871
8.665,-7762
8.690,-5879
8.715,-5148
8.740,-4941
8.765,-4088
8.790,-2475
8.815,-1065
8.840,-504
8.865,-311
8.890,354
8.915,1539
8.940,2531
8.965,2901
8.990,3038
9.015,3530
9.040,4350
9.065,4977
9.090,5175
9.115,5282
9.140,5667
9.165,6214
9.190,6561
9.215,6667
9.240,6842
9.265,7227
9.290,7567
9.315,7640
9.340,7661
9.365,7974
9.390,8439
9.415,8537
9.440,8208
9.465,8195
9.490,9105
9.515,10148
9.540,9364
9.565,5551
9.590,-120
9.615,-4786
9.640,-6389
9.665,-5397
9.690,-3988
9.715,-3735
9.740,-4361
9.765,-4646
9.790,-4082
9.815,-3308
9.840,-3091
9.865,-3351
9.890,-3410
9.915,-2943
9.940,-2338
9.965,-2104
9.990,-2202
10.015,-2175
10.040,-1790
10.065,-1318
10.090,-1119
10.115,-1164
10.140,-1118
10.165,-806
10.190,-430
10.215,-259
10.240,-275
10.265,-219
10.290,40
10.315,345
10.340,474
10.365,437
10.390,433
10.415,577
10.440,752
10.465,786
10.490,681
10.515,597
10.540,639
10.565,743
10.590,791
10.615,783
10.640,815
10.665,922
10.690,1018
10.715,1000
10.740,896
10.765,817
10.790,811
10.815,834
10.840,807
10.865,721
10.890,640
10.915,607
10.940,585
10.965,519
10.990,410
11.015,320
11.040,288
11.065,287
11.090,262
11.115,204
11.140,155
11.165,145
11.190,154
11.215,138
11.240,90
11.265,45
11.290,34
11.315,43
11.340,39
11.365,10
11.390,-18
11.415,-24
11.440,-9
11.465,0
11.490,-10
11.515,-29
11.540,-38
11.565,-33
11.590,-24
11.615,-19
11.640,-15
11.665,-5
11.690,11
11.715,31
11.740,49
11.765,66
11.790,82
11.815,98
11.840,114
11.865,133
11.890,159
11.915,188
11.940,211
11.965,224
11.990,225
12.015,218
12.040,202
12.065,176
12.090,142
12.115,108
12.140,88
12.165,80
12.190,77
12.215,68
12.240,45
12.265,14
12.290,-13
12.315,-27
12.340,-27
12.365,-22
12.390,-19
12.415,-17
12.440,-10
12.465,7
12.490,32
12.515,56
12.540,75
12.565,91
12.590,107
12.615,118
12.640,120
12.665,108
12.690,92
12.715,83
12.740,88
12.765,103
12.790,117
12.815,122
12.840,120
12.865,117
12.890,114
12.915,107
12.940,95
12.965,80
12.990,67
13.015,61
13.040,63
13.065,72
13.090,83
13.115,95
13.140,106
13.165,114
13.190,121
13.215,127
13.240,130
13.265,129
13.290,123
13.315,116
13.340,114
13.365,122
13.390,132
13.415,139
13.440,137
13.465,129
13.490,123
13.515,120
13.540,118
13.565,111
13.590,98
13.615,85
13.640,80
13.665,83
13.690,92
13.715,102
13.740,109
13.765,112
13.790,111
13.815,106
13.840,101
13.865,96
13.890,96
13.915,101
13.940,111
13.965,122
13.990,131
14.015,134
14.040,131
14.065,124
14.090,116
14.115,108
14.140,100
14.165,91
14.190,79
14.215,64
14.240,52
14.265,47
14.290,48
14.315,54
14.340,62
14.365,73
14.390,85
14.415,97
14.440,107
14.465,113
14.490,117
14.515,122
14.540,128
14.565,130
14.590,125
14.615,112
14.640,98
14.665,87
14.690,78
14.715,69
14.740,58
14.765,55
14.790,65
14.815,85
14.840,103
14.865,107
14.890,97
14.915,81
14.940,64
14.965,42
14.990,10
15.015,-23
15.040,-42
15.065,-35
15.090,-7
15.115,22
15.140,47
15.165,73
15.190,110
15.215,152
15.240,174
15.265,162
15.290,127
15.315,104
