df_hash,22ZHK4.S1D4X7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.9PZP
person_label,v23
date_time_start,2025-08-05_11-22-20.353000_+03
date_time_start_unix,1754374940.353
date_time_end,2025-08-05_11-31-34.378000_+03
length_difference_noticed,no

time,quality
48.709,58
49.930,60
50.954,52
51.975,54
52.901,51
53.786,47
54.706,46
55.875,54
56.753,48
57.725,46
58.995,62
59.758,64
60.653,67
61.923,66
62.700,56
63.721,60
64.846,62
65.723,64
66.600,61
67.919,66
68.696,67
69.574,64
70.744,56
71.702,48
72.611,49
73.790,55
74.693,59
75.567,68
76.786,49
77.670,52
78.495,36
79.714,41
80.591,43
81.469,30
82.786,28
83.614,0
84.635,28
85.708,0
86.539,0
87.466,0
88.882,30
89.513,23
90.456,30
91.609,0
92.776,0
93.461,0
94.752,15
95.558,0
96.389,28
97.556,52
98.529,66
99.361,62
100.576,58
101.560,54
102.529,52
103.504,56
104.446,50
105.410,60
106.622,57
107.404,58
108.282,55
109.600,57
110.378,65
111.566,71
112.572,60
113.593,57
114.278,60
115.547,50
116.431,53
117.251,57
118.421,53
119.342,54
120.316,53
121.392,59
122.363,54
123.195,60
124.364,69
125.241,68
126.166,63
127.485,71
128.502,71
129.139,72
130.454,71
131.283,64
132.257,69
133.379,54
134.450,58
135.376,66
136.399,72
137.273,64
138.105,67
139.228,69
140.197,60
141.129,65
142.247,59
143.130,60
144.001,59
145.363,70
146.099,74
147.272,60
148.242,62
149.167,60
150.141,61
151.281,62
152.094,56
153.036,52
154.188,63
155.161,75
156.035,66
157.359,65
157.990,67
158.914,66
160.129,70
160.961,66
161.839,63
163.112,69
163.934,76
164.865,78
166.276,73
167.101,75
167.834,82
169.048,76
169.983,70
170.854,71
172.044,69
173.018,63
173.780,60
174.949,70
175.942,65
176.752,53
177.923,25
178.847,29
179.725,0
180.994,0
181.825,0
182.698,0
183.867,0
185.037,47
185.671,52
186.890,50
187.961,58
188.645,27
190.008,20
190.760,24
191.666,46
192.857,65
193.713,23
194.893,21
195.811,8
196.686,1
197.613,30
198.784,53
199.661,72
200.587,70
201.855,73
202.827,72
203.672,73
204.728,71
205.752,71
206.577,72
207.701,75
208.628,73
209.605,74
210.675,68
211.698,65
212.478,71
213.800,61
214.577,57
215.546,53
216.674,56
217.690,57
218.531,54
219.643,62
220.567,64
221.399,64
222.668,61
223.494,57
224.466,60
225.599,62
226.566,63
227.345,61
228.647,61
229.441,66
230.373,68
231.595,67
232.559,58
233.340,53
234.607,57
235.388,61
236.411,68
237.535,59
238.372,61
239.333,68
240.457,74
241.335,71
242.260,78
243.430,62
244.502,44
245.233,39
246.403,44
247.331,40
248.208,32
249.475,57
250.348,67
251.198,64
252.351,60
253.276,41
254.199,43
255.341,55
256.251,61
257.129,49
258.394,40
259.378,39
260.198,38
261.476,43
262.196,40
263.075,46
264.294,0
265.219,30
266.067,32
267.458,33
268.144,30
269.070,35
270.480,26
271.120,25
272.287,29
273.261,28
274.106,24
275.017,33
276.187,29
277.066,0
277.990,20
279.160,33
280.086,28
280.963,47
282.428,34
283.105,0
283.938,25
285.107,0
286.035,0
286.911,0
288.138,33
289.101,23
289.885,33
291.105,25
291.980,39
293.147,40
294.078,27
295.051,31
295.831,33
297.147,0
297.927,22
298.957,20
300.073,21
301.044,20
301.875,62
303.111,62
304.117,62
304.800,65
305.970,72
306.906,59
307.775,61
308.947,50
309.919,56
310.747,52
311.967,58
312.890,56
314.016,56
314.940,62
315.982,66
316.740,75
318.154,71
318.792,71
319.811,69
320.886,71
322.056,69
322.690,67
324.006,66
324.738,69
325.809,69
326.937,61
327.779,67
328.734,70
329.858,65
330.930,57
331.659,47
333.175,40
333.707,41
334.584,43
336.095,36
336.682,37
337.607,42
338.753,38
339.654,28
340.821,33
341.767,37
342.775,58
343.505,47
344.967,41
345.698,55
346.524,59
347.697,55
348.577,52
349.513,59
350.671,61
351.646,67
352.474,72
353.648,74
354.713,69
355.542,67
356.714,63
357.495,63
358.421,60
359.982,59
360.470,60
361.539,0
362.664,0
363.537,0
364.466,0
365.768,0
366.512,0
367.437,62
368.563,67
369.535,72
370.391,75
371.545,73
372.469,72
373.484,69
374.554,64
375.431,58
376.510,67
377.527,69
378.457,65
379.333,65
380.456,67
381.332,71
382.358,71
383.483,71
384.552,69
385.183,62
386.424,61
387.285,59
388.206,50
389.390,58
390.255,59
391.333,70
392.349,66
393.329,57
394.198,48
395.515,48
396.200,52
397.131,12
398.298,0
399.271,0
400.104,0
401.271,0
402.247,0
403.363,5
404.339,0
405.316,34
406.148,45
407.361,52
408.144,43
409.165,53
410.243,44
411.118,33
412.099,39
413.217,32
414.186,38
414.971,34
416.188,31
417.260,0
417.994,44
419.535,45
420.186,47
420.966,52
422.380,64
423.063,65
423.986,51
425.112,50
426.183,53
427.207,52
428.235,45
429.011,53
430.181,52
431.302,47
432.278,48
432.864,45
434.237,48
434.961,41
435.844,63
437.152,66
437.933,67
438.960,69
440.029,74
441.059,70
441.885,75
443.128,68
443.982,70
445.138,67
446.025,65
446.903,68
447.830,61
449.094,67
449.925,68
451.053,75
452.073,72
452.997,77
453.972,75
454.899,69
455.973,66
456.919,69
457.967,71
458.844,64
459.917,68
460.941,67
461.773,67
462.652,68
