df_hash,22ZHK4.YPQ43H
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.8438
person_label,V24
date_time_start,2025-08-05_11-36-03.957000_+03
date_time_start_unix,1754375763.957
date_time_end,2025-08-05_11-44-20.112000_+03
length_difference_noticed,no

time,acc_x,acc_y,acc_z
4.322,0.094,-0.984,-0.180
4.332,0.090,-0.986,-0.186
4.342,0.084,-0.984,-0.186
4.352,0.074,-0.992,-0.184
4.362,0.074,-0.998,-0.191
4.372,0.066,-0.979,-0.186
4.382,0.070,-0.977,-0.170
4.392,0.072,-0.975,-0.184
4.402,0.072,-0.965,-0.186
4.412,0.068,-0.967,-0.180
4.422,0.066,-0.967,-0.186
4.431,0.070,-0.963,-0.186
4.441,0.066,-0.971,-0.188
4.451,0.057,-0.975,-0.195
4.461,0.049,-0.979,-0.201
4.471,0.041,-0.979,-0.199
4.481,0.041,-0.980,-0.197
4.491,0.039,-0.980,-0.203
4.501,0.039,-0.982,-0.209
4.511,0.035,-0.986,-0.201
4.521,0.035,-0.982,-0.201
4.531,0.027,-0.984,-0.199
4.541,0.016,-0.986,-0.201
4.551,0.014,-0.982,-0.199
4.560,0.004,-0.984,-0.201
4.570,0.004,-0.982,-0.207
4.580,0.000,-0.984,-0.209
4.590,-0.002,-0.982,-0.205
4.600,-0.006,-0.977,-0.211
4.610,-0.006,-0.977,-0.211
4.620,-0.012,-0.980,-0.201
4.630,-0.010,-0.975,-0.197
4.640,-0.010,-0.973,-0.203
4.650,-0.012,-0.977,-0.205
4.660,-0.010,-0.975,-0.205
4.670,-0.010,-0.977,-0.209
4.680,-0.016,-0.977,-0.207
4.689,-0.021,-0.975,-0.213
4.699,-0.025,-0.979,-0.205
4.709,-0.029,-0.973,-0.211
4.719,-0.023,-0.980,-0.211
4.729,-0.018,-0.980,-0.215
4.739,-0.016,-0.971,-0.207
4.749,-0.016,-0.975,-0.209
4.759,-0.023,-0.971,-0.207
4.769,-0.031,-0.975,-0.203
4.779,-0.023,-0.969,-0.201
4.789,-0.018,-0.965,-0.199
4.799,-0.014,-0.975,-0.201
4.809,-0.018,-0.980,-0.207
4.819,-0.027,-0.982,-0.213
4.828,-0.029,-0.994,-0.209
4.838,-0.029,-0.984,-0.215
4.848,-0.025,-0.980,-0.213
4.858,-0.025,-0.979,-0.203
4.868,-0.031,-0.984,-0.203
4.878,-0.031,-0.984,-0.211
4.888,-0.029,-0.988,-0.205
4.898,-0.020,-0.986,-0.199
4.908,-0.025,-0.977,-0.211
4.918,-0.045,-0.984,-0.199
4.928,-0.045,-0.998,-0.199
4.938,-0.033,-0.992,-0.213
4.948,-0.033,-0.986,-0.213
4.957,-0.045,-0.990,-0.207
4.967,-0.049,-0.992,-0.201
4.977,-0.035,-0.992,-0.209
4.987,-0.031,-0.990,-0.211
4.997,-0.039,-0.992,-0.207
5.007,-0.041,-0.988,-0.197
5.017,-0.039,-0.992,-0.203
5.027,-0.043,-0.990,-0.207
5.037,-0.039,-0.986,-0.201
5.047,-0.047,-0.992,-0.205
5.057,-0.039,-0.990,-0.205
5.067,-0.039,-0.984,-0.211
5.077,-0.043,-0.988,-0.203
5.087,-0.049,-0.992,-0.205
5.096,-0.047,-0.986,-0.201
5.106,-0.045,-0.982,-0.201
5.116,-0.053,-0.980,-0.199
5.126,-0.059,-0.984,-0.205
5.136,-0.062,-0.990,-0.211
5.146,-0.064,-0.982,-0.211
5.156,-0.066,-0.980,-0.205
5.166,-0.068,-0.982,-0.203
5.176,-0.061,-0.979,-0.205
5.186,-0.061,-0.975,-0.207
5.196,-0.059,-0.977,-0.201
5.206,-0.059,-0.982,-0.207
5.216,-0.055,-0.988,-0.215
5.225,-0.057,-0.986,-0.217
5.235,-0.059,-0.984,-0.207
5.245,-0.062,-0.980,-0.203
5.255,-0.066,-0.977,-0.203
5.265,-0.066,-0.979,-0.205
5.275,-0.064,-0.977,-0.201
5.285,-0.062,-0.982,-0.203
5.295,-0.062,-0.988,-0.209
5.305,-0.061,-0.988,-0.213
5.315,-0.064,-0.986,-0.207
5.325,-0.070,-0.990,-0.203
5.335,-0.072,-0.992,-0.207
5.345,-0.072,-0.992,-0.211
5.354,-0.068,-0.988,-0.213
5.364,-0.066,-0.982,-0.207
5.374,-0.072,-0.982,-0.211
5.384,-0.068,-0.982,-0.213
5.394,-0.072,-0.979,-0.207
