df_hash,22ZHK4.YPQ43H
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.8438
person_label,V24
date_time_start,2025-08-05_11-36-03.957000_+03
date_time_start_unix,1754375763.957
date_time_end,2025-08-05_11-44-20.112000_+03
length_difference_noticed,no

time,ble_sample_counter_acc,ble_sample_amount_acc,ble_packet_counter_acc
5.207,75,75,0
5.792,150,75,1
6.718,225,75,2
7.303,300,75,3
8.181,375,75,4
8.815,450,75,5
9.692,525,75,6
10.277,600,75,7
11.154,675,75,8
11.788,750,75,9
12.666,825,75,10
13.276,900,75,11
14.128,975,75,12
14.762,1050,75,13
15.639,1125,75,14
16.273,1200,75,15
17.103,1275,75,16
17.736,1350,75,17
18.613,1425,75,18
19.200,1500,75,19
20.079,1575,75,20
20.709,1650,75,21
21.587,1725,75,22
22.172,1800,75,23
23.098,1875,75,24
23.683,1950,75,25
24.560,2025,75,26
25.145,2100,75,27
26.025,2175,75,28
26.656,2250,75,29
27.558,2325,75,30
28.119,2400,75,31
29.045,2475,75,32
29.630,2550,75,33
30.518,2625,75,34
31.094,2700,75,35
32.019,2775,75,36
32.604,2850,75,37
33.482,2925,75,38
34.099,3000,75,39
34.995,3075,75,40
35.870,3150,75,41
36.455,3225,75,42
37.060,3300,75,43
37.966,3375,75,44
38.573,3450,75,45
39.429,3525,75,46
40.044,3600,75,47
40.939,3675,75,48
41.524,3750,75,49
42.402,3825,75,50
43.036,3900,75,51
43.917,3975,75,52
44.498,4050,75,53
45.390,4125,75,54
46.015,4200,75,55
46.889,4275,75,56
47.473,4350,75,57
48.367,4425,75,58
48.983,4500,75,59
49.861,4575,75,60
50.448,4650,75,61
51.323,4725,75,62
51.957,4800,75,63
52.834,4875,75,64
53.419,4950,75,65
54.297,5025,75,66
54.930,5100,75,67
55.857,5175,75,68
56.444,5250,75,69
57.270,5325,75,70
57.959,5400,75,71
58.782,5475,75,72
59.367,5550,75,73
60.295,5625,75,74
60.880,5700,75,75
61.755,5775,75,76
62.340,5850,75,77
63.266,5925,75,78
63.854,6000,75,79
64.729,6075,75,80
65.338,6150,75,81
66.240,6225,75,82
66.825,6300,75,83
67.702,6375,75,84
68.287,6450,75,85
69.214,6525,75,86
69.799,6600,75,87
70.676,6675,75,88
71.313,6750,75,89
72.191,6825,75,90
72.772,6900,75,91
73.698,6975,75,92
74.284,7050,75,93
75.183,7125,75,94
75.746,7200,75,95
76.624,7275,75,96
77.262,7350,75,97
78.135,7425,75,98
78.719,7500,75,99
79.628,7575,75,100
80.231,7650,75,101
81.134,7725,75,102
81.693,7800,75,103
82.571,7875,75,104
83.204,7950,75,105
84.082,8025,75,106
84.667,8100,75,107
85.593,8175,75,108
86.179,8250,75,109
87.056,8325,75,110
87.665,8400,75,111
88.567,8475,75,112
89.152,8550,75,113
90.030,8625,75,114
90.614,8700,75,115
91.540,8775,75,116
92.366,8850,75,117
93.003,8925,75,118
93.588,9000,75,119
94.514,9075,75,120
95.099,9150,75,121
95.976,9225,75,122
96.561,9300,75,123
97.539,9375,75,124
98.073,9450,75,125
98.950,9525,75,126
99.584,9600,75,127
100.461,9675,75,128
101.051,9750,75,129
101.924,9825,75,130
102.558,9900,75,131
103.435,9975,75,132
104.020,10050,75,133
104.923,10125,75,134
105.536,10200,75,135
106.433,10275,75,136
106.994,10350,75,137
107.872,10425,75,138
108.843,10500,75,139
109.382,10575,75,140
109.974,10650,75,141
110.893,10725,75,142
111.478,10800,75,143
112.356,10875,75,144
112.994,10950,75,145
113.867,11025,75,146
114.452,11100,75,147
115.330,11175,75,148
115.919,11250,75,149
116.860,11325,75,150
117.426,11400,75,151
118.303,11475,75,152
118.889,11550,75,153
119.847,11625,75,154
120.399,11700,75,155
121.277,11775,75,156
121.865,11850,75,157
122.840,11925,75,158
123.373,12000,75,159
124.250,12075,75,160
124.837,12150,75,161
125.764,12225,75,162
126.347,12300,75,163
127.249,12375,75,164
127.809,12450,75,165
128.735,12525,75,166
129.322,12600,75,167
130.207,12675,75,168
130.783,12750,75,169
131.712,12825,75,170
132.294,12900,75,171
133.171,12975,75,172
133.851,13050,75,173
134.682,13125,75,174
135.267,13200,75,175
136.166,13275,75,176
136.779,13350,75,177
137.656,13425,75,178
138.241,13500,75,179
139.119,13575,75,180
139.778,13650,75,181
140.630,13725,75,182
141.215,13800,75,183
142.092,13875,75,184
142.726,13950,75,185
143.604,14025,75,186
144.209,14100,75,187
145.066,14175,75,188
145.699,14250,75,189
146.577,14325,75,190
147.165,14400,75,191
148.089,14475,75,192
148.673,14550,75,193
149.553,14625,75,194
150.136,14700,75,195
151.065,14775,75,196
151.649,14850,75,197
152.525,14925,75,198
153.109,15000,75,199
154.035,15075,75,200
154.718,15150,75,201
155.498,15225,75,202
156.086,15300,75,203
157.035,15375,75,204
157.594,15450,75,205
158.497,15525,75,206
159.105,15600,75,207
159.983,15675,75,208
160.619,15750,75,209
161.445,15825,75,210
162.085,15900,75,211
162.975,15975,75,212
163.541,16050,75,213
164.419,16125,75,214
165.053,16200,75,215
165.979,16275,75,216
166.515,16350,75,217
167.441,16425,75,218
168.026,16500,75,219
168.904,16575,75,220
169.827,16650,75,221
170.414,16725,75,222
171.026,16800,75,223
171.879,16875,75,224
172.462,16950,75,225
173.389,17025,75,226
173.974,17100,75,227
174.852,17175,75,228
175.436,17250,75,229
176.362,17325,75,230
176.950,17400,75,231
177.825,17475,75,232
178.410,17550,75,233
179.728,17625,75,234
179.924,17700,75,235
180.798,17775,75,236
181.432,17850,75,237
182.310,17925,75,238
182.894,18000,75,239
183.798,18075,75,240
184.406,18150,75,241
185.283,18225,75,242
185.868,18300,75,243
186.745,18375,75,244
187.379,18450,75,245
188.281,18525,75,246
188.843,18600,75,247
189.768,18675,75,248
190.353,18750,75,249
191.231,18825,75,250
191.816,18900,75,251
192.693,18975,75,252
193.327,19050,75,253
194.224,19125,75,254
194.789,19200,75,255
195.715,19275,75,256
196.310,19350,75,257
197.178,19425,75,258
197.763,19500,75,259
198.692,19575,75,260
199.274,19650,75,261
200.152,19725,75,262
200.832,19800,75,263
