df_hash,22ZHK4.YQ10CM
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.9FSC
person_label,V25
date_time_start,2025-08-05_11-47-51.382000_+03
date_time_start_unix,1754376471.382
date_time_end,2025-08-05_12-00-13.165000_+03
length_difference_noticed,no

time,acc_x,acc_y,acc_z
4.558,-0.695,-0.697,-0.289
4.568,-0.703,-0.703,-0.289
4.578,-0.703,-0.697,-0.287
4.588,-0.701,-0.695,-0.289
4.598,-0.701,-0.701,-0.287
4.607,-0.701,-0.695,-0.289
4.617,-0.701,-0.701,-0.289
4.627,-0.705,-0.703,-0.293
4.637,-0.703,-0.703,-0.295
4.647,-0.699,-0.699,-0.291
4.657,-0.701,-0.695,-0.289
4.667,-0.699,-0.697,-0.287
4.677,-0.699,-0.695,-0.289
4.687,-0.701,-0.697,-0.289
4.697,-0.703,-0.701,-0.289
4.707,-0.701,-0.697,-0.291
4.717,-0.699,-0.697,-0.289
4.727,-0.701,-0.699,-0.293
4.736,-0.701,-0.701,-0.289
4.746,-0.701,-0.697,-0.289
4.756,-0.697,-0.699,-0.291
4.766,-0.697,-0.699,-0.289
4.776,-0.701,-0.699,-0.291
4.786,-0.701,-0.699,-0.285
4.796,-0.701,-0.697,-0.285
4.806,-0.701,-0.701,-0.291
4.816,-0.703,-0.701,-0.291
4.826,-0.703,-0.699,-0.293
4.836,-0.703,-0.699,-0.293
4.846,-0.703,-0.699,-0.293
4.856,-0.705,-0.701,-0.287
4.865,-0.705,-0.697,-0.289
4.875,-0.699,-0.697,-0.289
4.885,-0.699,-0.697,-0.291
4.895,-0.703,-0.697,-0.289
4.905,-0.705,-0.699,-0.293
4.915,-0.701,-0.695,-0.291
4.925,-0.701,-0.699,-0.291
4.935,-0.701,-0.697,-0.291
4.945,-0.701,-0.697,-0.289
4.955,-0.701,-0.697,-0.289
4.965,-0.699,-0.697,-0.289
4.975,-0.699,-0.697,-0.289
4.985,-0.701,-0.699,-0.289
4.994,-0.701,-0.701,-0.289
5.004,-0.699,-0.703,-0.291
5.014,-0.699,-0.703,-0.293
5.024,-0.701,-0.699,-0.287
5.034,-0.701,-0.701,-0.289
5.044,-0.701,-0.699,-0.291
5.054,-0.701,-0.697,-0.287
5.064,-0.701,-0.703,-0.285
5.074,-0.703,-0.705,-0.291
5.084,-0.699,-0.703,-0.291
5.094,-0.695,-0.701,-0.291
5.104,-0.699,-0.699,-0.291
5.114,-0.697,-0.699,-0.287
5.123,-0.699,-0.701,-0.289
5.133,-0.697,-0.697,-0.289
5.143,-0.697,-0.699,-0.287
5.153,-0.703,-0.699,-0.289
5.163,-0.703,-0.703,-0.293
5.173,-0.701,-0.703,-0.293
5.183,-0.701,-0.699,-0.291
5.193,-0.703,-0.695,-0.285
5.203,-0.705,-0.695,-0.283
5.213,-0.707,-0.699,-0.287
5.223,-0.707,-0.695,-0.287
5.233,-0.713,-0.697,-0.285
5.243,-0.709,-0.695,-0.285
5.252,-0.707,-0.701,-0.289
5.262,-0.703,-0.701,-0.293
5.272,-0.693,-0.699,-0.289
5.282,-0.695,-0.699,-0.289
5.292,-0.695,-0.701,-0.291
5.302,-0.697,-0.697,-0.291
5.312,-0.701,-0.699,-0.293
5.322,-0.699,-0.699,-0.289
5.332,-0.701,-0.699,-0.287
5.342,-0.705,-0.699,-0.289
5.352,-0.703,-0.699,-0.291
5.362,-0.711,-0.697,-0.289
5.372,-0.711,-0.699,-0.291
5.382,-0.709,-0.699,-0.289
5.391,-0.707,-0.693,-0.287
5.401,-0.705,-0.697,-0.285
5.411,-0.709,-0.693,-0.289
5.421,-0.707,-0.699,-0.285
5.431,-0.699,-0.701,-0.291
5.441,-0.697,-0.701,-0.293
5.451,-0.691,-0.703,-0.291
5.461,-0.689,-0.701,-0.293
5.471,-0.688,-0.705,-0.297
5.481,-0.688,-0.703,-0.291
5.491,-0.688,-0.703,-0.289
5.501,-0.686,-0.701,-0.291
5.511,-0.689,-0.701,-0.293
5.520,-0.695,-0.701,-0.289
5.530,-0.697,-0.699,-0.291
5.540,-0.703,-0.703,-0.293
5.550,-0.699,-0.701,-0.293
5.560,-0.703,-0.697,-0.293
5.570,-0.705,-0.699,-0.285
5.580,-0.705,-0.699,-0.289
5.590,-0.705,-0.697,-0.289
5.600,-0.705,-0.695,-0.289
5.610,-0.707,-0.699,-0.287
5.620,-0.705,-0.701,-0.287
5.630,-0.707,-0.697,-0.287
5.640,-0.705,-0.697,-0.287
5.649,-0.705,-0.697,-0.289
5.659,-0.699,-0.699,-0.285
5.669,-0.701,-0.701,-0.287
5.679,-0.697,-0.697,-0.287
5.689,-0.699,-0.703,-0.287
5.699,-0.701,-0.701,-0.291
5.709,-0.699,-0.699,-0.291
5.719,-0.699,-0.703,-0.289
5.729,-0.699,-0.701,-0.289
5.739,-0.699,-0.701,-0.289
5.749,-0.699,-0.703,-0.291
5.759,-0.697,-0.701,-0.287
5.769,-0.699,-0.701,-0.287
5.778,-0.699,-0.699,-0.291
5.788,-0.701,-0.695,-0.289
5.798,-0.697,-0.697,-0.291
5.808,-0.703,-0.695,-0.287
5.818,-0.705,-0.695,-0.287
5.828,-0.705,-0.695,-0.289
5.838,-0.707,-0.695,-0.289
5.848,-0.707,-0.697,-0.287
5.858,-0.705,-0.697,-0.291
5.868,-0.703,-0.699,-0.291
5.878,-0.703,-0.697,-0.285
5.888,-0.701,-0.697,-0.287
5.898,-0.701,-0.699,-0.289
5.907,-0.701,-0.695,-0.285
5.917,-0.701,-0.699,-0.285
5.927,-0.701,-0.697,-0.287
5.937,-0.703,-0.695,-0.287
5.947,-0.705,-0.699,-0.287
5.957,-0.707,-0.701,-0.287
5.967,-0.701,-0.701,-0.289
5.977,-0.703,-0.699,-0.285
5.987,-0.699,-0.701,-0.283
5.997,-0.701,-0.697,-0.285
6.007,-0.705,-0.703,-0.287
6.017,-0.705,-0.705,-0.289
6.027,-0.699,-0.705,-0.293
6.036,-0.699,-0.703,-0.289
6.046,-0.697,-0.707,-0.291
6.056,-0.697,-0.703,-0.293
6.066,-0.695,-0.705,-0.291
6.076,-0.691,-0.701,-0.291
6.086,-0.695,-0.699,-0.287
