df_hash,22ZHK4.YQ10CM
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.9FSC
person_label,V25
date_time_start,2025-08-05_11-47-51.382000_+03
date_time_start_unix,1754376471.382
date_time_end,2025-08-05_12-00-13.165000_+03
length_difference_noticed,no

time,ble_sample_counter,ble_sample_amount,ble_packet_counter
5.723,216,73,2
6.135,290,74,3
6.405,364,74,4
6.843,437,73,5
7.234,511,74,6
7.526,585,74,7
7.916,659,74,8
8.355,733,74,9
8.647,807,74,10
9.037,881,74,11
9.479,955,74,12
9.768,1029,74,13
10.159,1103,74,14
10.597,1177,74,15
10.841,1251,74,16
11.280,1325,74,17
11.572,1399,74,18
11.965,1473,74,19
12.401,1547,74,20
12.644,1621,74,21
13.083,1695,74,22
13.522,1769,74,23
13.766,1843,74,24
14.205,1917,74,25
14.594,1991,74,26
14.887,2065,74,27
15.326,2139,74,28
15.716,2213,74,29
16.008,2287,74,30
16.398,2361,74,31
16.691,2435,74,32
17.137,2509,74,33
17.519,2583,74,34
17.816,2657,74,35
18.251,2731,74,36
18.648,2805,74,37
18.933,2879,74,38
19.323,2953,74,39
19.762,3027,74,40
20.057,3101,74,41
20.445,3175,74,42
20.883,3249,74,43
21.130,3323,74,44
21.566,3397,74,45
21.858,3471,74,46
22.248,3545,74,47
22.687,3619,74,48
22.991,3693,74,49
23.369,3767,74,50
23.815,3841,74,51
24.052,3915,74,52
24.490,3989,74,53
24.906,4063,74,54
25.174,4137,74,55
25.612,4211,74,56
26.002,4285,74,57
26.296,4359,74,58
26.685,4433,74,59
26.981,4507,74,60
27.421,4581,74,61
27.808,4655,74,62
28.098,4729,74,63
28.537,4803,74,64
28.928,4877,74,65
29.219,4951,74,66
29.609,5025,74,67
30.050,5099,74,68
30.341,5173,74,69
30.731,5247,74,70
31.172,5321,74,71
31.435,5395,74,72
31.902,5469,74,73
32.145,5543,74,74
32.561,5617,74,75
32.978,5691,74,76
33.217,5765,74,77
33.669,5839,74,78
34.101,5913,74,79
34.338,5987,74,80
34.778,6061,74,81
35.167,6135,74,82
35.459,6209,74,83
35.957,6283,74,84
36.333,6357,74,85
36.580,6431,74,86
36.974,6505,74,87
37.263,6579,74,88
37.702,6653,74,89
38.092,6727,74,90
38.384,6801,74,91
38.827,6875,74,92
39.213,6949,74,93
39.521,7023,74,94
39.896,7097,74,95
40.340,7171,74,96
40.652,7245,74,97
41.019,7319,74,98
41.504,7393,74,99
41.703,7467,74,100
42.145,7541,74,101
42.430,7615,74,102
42.822,7689,74,103
43.259,7763,74,104
43.557,7837,74,105
43.942,7911,74,106
44.331,7985,74,107
44.628,8059,74,108
45.121,8133,74,109
45.453,8207,74,110
45.770,8281,74,111
46.190,8355,74,112
46.574,8429,74,113
46.866,8503,74,114
47.256,8577,74,115
47.796,8651,74,116
47.991,8725,74,117
48.379,8799,74,118
48.679,8873,74,119
49.060,8947,74,120
49.548,9021,74,121
49.791,9095,74,122
50.471,9169,74,123
50.625,9243,74,124
50.920,9317,74,125
51.303,9391,74,126
51.795,9465,74,127
51.989,9539,74,128
52.473,9613,74,129
52.726,9687,74,130
53.106,9761,74,131
53.545,9835,74,132
53.800,9909,74,133
54.233,9983,74,134
54.671,10057,74,135
54.965,10131,74,136
55.349,10205,74,137
55.739,10279,74,138
56.041,10353,74,139
56.481,10427,74,140
56.861,10501,74,141
57.153,10575,74,142
57.543,10649,74,143
57.835,10723,74,144
58.274,10797,74,145
58.665,10871,74,146
58.957,10945,74,147
59.403,11019,74,148
59.813,11093,74,149
60.082,11167,74,150
60.469,11241,74,151
60.906,11315,74,152
61.199,11389,74,153
61.589,11463,74,154
62.032,11537,74,155
62.271,11611,74,156
62.806,11685,74,157
63.002,11759,74,158
63.392,11833,74,159
63.831,11907,74,160
64.075,11981,74,161
64.519,12055,74,162
64.904,12129,74,163
65.196,12203,74,164
65.635,12277,74,165
66.026,12351,74,166
66.317,12425,74,167
66.708,12499,74,168
67.146,12573,74,169
67.439,12647,74,170
67.882,12721,74,171
68.121,12795,74,172
68.559,12869,74,173
68.964,12943,74,174
69.242,13017,74,175
69.661,13091,74,176
70.073,13165,74,177
70.364,13239,74,178
70.758,13313,74,179
71.248,13387,74,180
71.442,13461,74,181
71.875,13535,74,182
72.313,13609,74,183
72.557,13683,74,184
73.055,13757,74,185
73.240,13831,74,186
73.785,13905,74,187
74.117,13979,74,188
74.361,14053,74,189
74.800,14127,74,190
75.199,14201,74,191
75.487,14275,74,192
75.921,14349,74,193
76.361,14423,74,194
76.628,14497,74,195
76.993,14571,74,196
77.440,14645,74,197
77.725,14719,74,198
78.178,14793,74,199
78.465,14867,74,200
78.940,14941,74,201
79.236,15015,74,202
79.528,15089,74,203
79.975,15163,74,204
80.363,15237,74,205
80.601,15311,74,206
81.041,15385,74,207
81.494,15459,74,208
81.735,15533,74,209
82.161,15607,74,210
82.555,15681,74,211
82.943,15755,74,212
83.336,15829,74,213
83.554,15903,74,214
83.967,15977,74,215
84.360,16051,74,216
84.647,16125,74,217
85.086,16199,74,218
85.476,16273,74,219
85.768,16347,74,220
86.158,16421,74,221
86.597,16495,74,222
86.889,16569,74,223
87.279,16643,74,224
87.718,16717,74,225
88.011,16791,74,226
88.454,16865,74,227
88.694,16939,74,228
89.083,17013,74,229
89.526,17087,74,230
89.814,17161,74,231
90.211,17235,74,232
90.643,17309,74,233
90.887,17383,74,234
91.327,17457,74,235
91.716,17531,74,236
92.009,17605,74,237
92.452,17679,74,238
93.029,17753,74,239
93.207,17827,74,240
93.568,17901,74,241
93.958,17975,74,242
94.251,18049,74,243
94.646,18123,74,244
94.934,18197,74,245
95.377,18271,74,246
95.762,18345,74,247
96.054,18419,74,248
96.444,18493,74,249
96.883,18567,74,250
97.188,18641,74,251
97.565,18715,74,252
98.095,18789,74,253
