df_hash,22ZHK4.JCYLLW
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.AJFP
person_label,V26
date_time_start,2025-08-05_12-01-44.304000_+03
date_time_start_unix,1754377304.304
date_time_end,2025-08-05_12-09-59.263000_+03
length_difference_noticed,no

time,ppg_ir,ppg_ambient,ppg_red
5.534,142882,191,110329
5.539,142877,178,110337
5.544,142903,196,110340
5.549,142935,178,110348
5.554,142913,194,110353
5.559,142942,179,110356
5.564,142935,191,110350
5.569,142974,176,110360
5.574,142976,195,110367
5.579,142980,181,110375
5.584,142973,193,110377
5.589,142985,177,110382
5.594,142997,192,110374
5.599,143012,178,110390
5.604,143012,192,110384
5.609,143036,176,110388
5.614,143043,198,110393
5.619,143037,181,110409
5.624,143039,195,110398
5.629,143065,179,110405
5.634,143061,193,110405
5.639,143075,182,110409
5.644,143071,196,110410
5.649,143093,183,110410
5.653,143100,197,110418
5.658,143120,180,110427
5.663,143129,195,110428
5.668,143153,178,110439
5.673,143162,193,110438
5.678,143167,182,110443
5.683,143160,197,110449
5.688,143193,180,110459
5.693,143199,196,110451
5.698,143206,180,110469
5.703,143225,195,110477
5.708,143237,177,110468
5.713,143239,192,110472
5.718,143261,183,110482
5.723,143260,196,110485
5.728,143282,179,110490
5.733,143299,194,110492
5.738,143304,177,110490
5.743,143311,198,110484
5.748,143326,182,110514
5.753,143320,194,110500
5.758,143348,179,110497
5.763,143344,192,110508
5.768,143366,177,110512
5.773,143368,196,110515
5.778,143385,182,110532
5.782,143387,194,110526
5.787,143382,180,110527
5.792,143362,193,110528
5.797,143363,182,110507
5.802,143326,192,110493
5.807,143291,180,110482
5.812,143252,196,132123
5.817,143219,185,131756
5.822,143181,192,131735
5.827,143140,181,131727
5.832,143098,189,131703
5.837,143053,180,131697
5.842,143046,189,131691
5.847,143020,181,131676
5.852,142974,187,131663
5.857,142941,186,131654
5.862,142929,191,131643
5.867,142904,184,131635
5.872,142878,188,131617
5.877,142874,182,131611
5.882,142854,192,131595
5.887,142829,187,131596
5.892,142802,191,131587
5.897,142801,188,131582
5.902,142770,188,131578
5.907,142763,185,131572
5.911,142737,185,131554
5.916,142729,184,131543
5.921,142699,190,131542
5.926,142694,189,131529
5.931,142676,187,131537
5.936,142657,187,131527
5.941,142633,187,131508
5.946,142621,187,131508
5.951,142615,184,131501
5.956,142590,185,131487
5.961,142572,187,131479
5.966,142544,190,131490
5.971,142540,183,131471
5.976,142513,187,131468
5.981,142519,187,131461
5.986,142483,190,131454
5.991,142488,181,131446
5.996,142452,190,131437
6.001,142442,182,131422
6.006,142436,187,131425
6.011,142416,185,131422
6.016,142396,191,131412
6.021,142389,182,131413
6.026,142375,188,131412
6.031,142373,185,131417
6.036,142380,193,131402
6.040,142377,178,131419
6.045,142388,194,131411
6.050,142383,181,131408
6.055,142392,190,131427
6.060,142414,184,131437
6.065,142418,194,131437
6.070,142433,181,131441
6.075,142432,192,131450
6.080,142451,178,131442
6.085,142428,197,131435
6.090,142439,179,131426
6.095,142427,191,131438
6.100,142432,176,131429
6.105,142423,195,131432
6.110,142432,181,131440
6.115,142432,194,131446
6.120,142436,178,131446
6.125,142439,192,131444
6.130,142451,177,131448
6.135,142438,194,131451
6.140,142439,178,131451
6.145,142440,192,131461
6.150,142459,183,131446
6.155,142456,196,131447
6.160,142450,180,131459
6.165,142463,194,131444
6.169,142457,177,131455
6.174,142460,193,131459
6.179,142466,176,131468
6.184,142481,194,131456
6.189,142482,177,131469
6.194,142476,193,131470
6.199,142493,182,131471
6.204,142491,196,131466
6.209,142493,180,131478
6.214,142525,195,131483
6.219,142534,177,131493
6.224,142530,193,131482
6.229,142542,176,131502
6.234,142537,195,131483
6.239,142556,177,131508
6.244,142558,193,131496
6.249,142570,182,131507
6.254,142580,196,131517
6.259,142590,181,131522
6.264,142597,195,131519
6.269,142596,179,131527
6.274,142616,193,131532
6.279,142608,177,131537
6.284,142647,193,131544
6.289,142640,178,131562
6.294,142650,191,131549
6.298,142654,184,131555
6.303,142685,196,131563
6.308,142685,181,131564
6.313,142700,192,131566
6.318,142693,179,131577
6.323,142703,190,131578
6.328,142727,184,131545
6.333,142724,189,131580
6.338,142748,184,131594
6.343,142743,193,131592
6.348,142768,182,131605
6.353,142769,191,131609
6.358,142784,180,131606
6.363,142802,195,131605
6.368,142810,185,131605
6.373,142810,191,131623
6.378,142815,186,131633
6.383,142845,193,131635
6.388,142834,184,131636
6.393,142851,190,131636
6.398,142846,182,131645
6.403,142867,187,131636
6.408,142882,187,131659
6.413,142879,190,131644
6.418,142896,184,131655
6.423,142919,187,131672
6.427,142912,186,131683
6.432,142938,188,131671
6.437,142941,185,131675
6.442,142934,185,131682
6.447,142943,190,131685
6.452,142964,189,131684
6.457,142971,188,131690
6.462,142987,186,131683
6.467,142984,186,131700
6.472,142996,183,131702
6.477,143008,188,131694
6.482,143030,185,131701
6.487,143023,186,131705
6.492,143053,189,131717
6.497,143040,191,131733
6.502,143060,186,131728
6.507,143067,189,131712
6.512,143072,183,131728
6.517,143084,186,131735
6.522,143097,186,131739
6.527,143116,188,131744
6.532,143123,187,131751
6.537,143131,192,131755
6.542,143136,184,131759
6.547,143158,191,131762
6.551,143167,181,131778
6.556,143166,190,131775
6.561,143184,180,131779
6.566,143197,189,131788
6.571,143213,179,131789
6.576,143215,191,131784
6.581,143237,180,131786
6.586,143224,190,131788
6.591,143226,185,131799
6.596,143245,195,131792
6.601,143260,182,131810
6.606,143259,193,131811
6.611,143273,180,131814
6.616,143278,191,131821
6.621,143300,182,131825
6.626,143314,193,131843
6.631,143313,179,131840
6.636,143325,191,131837
6.641,143351,178,131851
6.646,143343,191,131833
6.651,143355,183,131848
6.656,143386,197,131861
6.661,143379,182,131852
6.666,143398,195,131857
6.671,143416,178,131867
6.676,143424,194,131879
6.680,143439,178,131884
6.685,143429,193,131876
6.690,143451,176,131902
6.695,143466,197,131894
6.700,143480,180,131908
6.705,143490,195,131906
6.710,143500,178,131910
6.715,143501,193,131911
6.720,143519,179,131930
6.725,143538,193,131923
6.730,143550,183,131930
6.735,143552,197,131936
6.740,143548,179,131949
6.745,143555,194,131937
6.750,143560,183,131949
6.755,143531,196,131928
6.760,143518,179,131910
6.765,143491,195,131897
6.770,143445,180,131888
6.775,143409,195,131843
6.780,143361,178,131838
6.785,143337,193,131800
6.790,143270,183,131794
6.795,143237,197,131780
6.800,143198,181,131771
6.805,143169,195,131751
6.809,143135,178,131735
6.814,143112,193,131729
6.819,143084,180,131723
6.824,143063,193,131698
6.829,143041,178,131695
6.834,143027,191,131667
6.839,143006,184,131683
6.844,142991,196,131657
6.849,142961,182,131651
6.854,142934,194,131654
6.859,142912,179,131635
6.864,142902,192,131623
6.869,142889,182,131605
6.874,142866,192,131607
6.879,142858,180,131615
6.884,142834,190,131604
6.889,142808,179,131583
6.894,142809,194,131585
6.899,142782,184,131584
6.904,142763,191,131557
6.909,142753,181,131570
6.914,142734,191,131551
6.919,142721,182,131554
6.924,142713,189,131541
6.929,142685,181,131542
6.934,142666,187,131524
6.938,142657,187,131520
6.943,142640,192,131516
6.948,142616,187,131504
6.953,142603,189,131492
6.958,142599,184,131501
