df_hash,22ZHK4.02YP5X
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.LGCH
person_label,V27
date_time_start,2025-08-06_10-40-12.534000_+03
date_time_start_unix,1754458812.534
date_time_end,2025-08-06_10-48-57.375000_+03
length_difference_noticed,no

time,acc_x,acc_y,acc_z
4.303,-0.629,-0.701,-0.391
4.313,-0.631,-0.703,-0.389
4.323,-0.629,-0.701,-0.389
4.333,-0.631,-0.699,-0.389
4.343,-0.629,-0.705,-0.391
4.353,-0.627,-0.701,-0.389
4.363,-0.631,-0.701,-0.387
4.373,-0.629,-0.699,-0.389
4.382,-0.629,-0.697,-0.389
4.392,-0.631,-0.699,-0.389
4.402,-0.629,-0.697,-0.391
4.412,-0.631,-0.699,-0.391
4.422,-0.627,-0.699,-0.389
4.432,-0.629,-0.697,-0.391
4.442,-0.633,-0.701,-0.391
4.452,-0.633,-0.701,-0.391
4.462,-0.633,-0.701,-0.387
4.472,-0.635,-0.699,-0.389
4.482,-0.631,-0.701,-0.389
4.492,-0.629,-0.703,-0.389
4.502,-0.629,-0.701,-0.391
4.511,-0.629,-0.703,-0.389
4.521,-0.629,-0.703,-0.389
4.531,-0.633,-0.705,-0.387
4.541,-0.627,-0.703,-0.389
4.551,-0.625,-0.703,-0.385
4.561,-0.629,-0.705,-0.387
4.571,-0.629,-0.705,-0.387
4.581,-0.631,-0.703,-0.391
4.591,-0.631,-0.703,-0.391
4.601,-0.629,-0.703,-0.389
4.611,-0.631,-0.705,-0.389
4.621,-0.631,-0.707,-0.389
4.631,-0.629,-0.703,-0.387
4.640,-0.631,-0.705,-0.387
4.650,-0.629,-0.703,-0.391
4.660,-0.629,-0.705,-0.391
4.670,-0.627,-0.705,-0.389
4.680,-0.629,-0.699,-0.393
4.690,-0.629,-0.699,-0.389
4.700,-0.625,-0.703,-0.389
4.710,-0.615,-0.705,-0.393
4.720,-0.623,-0.707,-0.393
4.730,-0.627,-0.711,-0.396
4.740,-0.629,-0.709,-0.391
4.750,-0.631,-0.703,-0.391
4.760,-0.633,-0.699,-0.389
4.769,-0.633,-0.699,-0.389
4.779,-0.631,-0.699,-0.391
4.789,-0.631,-0.705,-0.395
4.799,-0.633,-0.705,-0.391
4.809,-0.631,-0.701,-0.391
4.819,-0.627,-0.697,-0.391
4.829,-0.625,-0.697,-0.387
4.839,-0.625,-0.699,-0.391
4.849,-0.625,-0.703,-0.389
4.859,-0.617,-0.699,-0.389
4.869,-0.623,-0.701,-0.387
4.879,-0.621,-0.705,-0.391
4.889,-0.623,-0.703,-0.391
4.898,-0.623,-0.705,-0.396
4.908,-0.625,-0.707,-0.391
4.918,-0.627,-0.705,-0.389
4.928,-0.625,-0.709,-0.391
4.938,-0.625,-0.709,-0.389
4.948,-0.625,-0.703,-0.387
4.958,-0.627,-0.707,-0.389
4.968,-0.621,-0.711,-0.391
4.978,-0.623,-0.713,-0.393
4.988,-0.625,-0.711,-0.393
4.998,-0.619,-0.709,-0.389
5.008,-0.619,-0.709,-0.389
5.018,-0.617,-0.705,-0.389
5.027,-0.621,-0.713,-0.391
5.037,-0.619,-0.713,-0.393
5.047,-0.623,-0.717,-0.396
5.057,-0.619,-0.715,-0.393
5.067,-0.621,-0.711,-0.393
5.077,-0.621,-0.709,-0.387
5.087,-0.621,-0.707,-0.391
5.097,-0.619,-0.709,-0.389
5.107,-0.615,-0.709,-0.393
5.117,-0.615,-0.713,-0.391
5.127,-0.615,-0.707,-0.391
5.137,-0.617,-0.707,-0.395
5.147,-0.615,-0.711,-0.391
5.156,-0.613,-0.713,-0.395
5.166,-0.613,-0.711,-0.398
5.176,-0.613,-0.711,-0.393
5.186,-0.613,-0.711,-0.393
5.196,-0.613,-0.709,-0.395
5.206,-0.615,-0.713,-0.395
5.216,-0.615,-0.713,-0.395
5.226,-0.613,-0.709,-0.393
5.236,-0.617,-0.711,-0.393
5.246,-0.615,-0.709,-0.395
5.256,-0.615,-0.711,-0.393
5.266,-0.615,-0.713,-0.396
5.275,-0.619,-0.711,-0.393
5.285,-0.617,-0.707,-0.396
5.295,-0.623,-0.709,-0.395
5.305,-0.621,-0.709,-0.396
5.315,-0.619,-0.707,-0.396
5.325,-0.619,-0.709,-0.396
5.335,-0.615,-0.711,-0.398
5.345,-0.619,-0.707,-0.398
5.355,-0.613,-0.707,-0.398
5.365,-0.613,-0.709,-0.396
5.375,-0.615,-0.709,-0.398
5.385,-0.615,-0.715,-0.398
5.395,-0.613,-0.715,-0.400
5.404,-0.613,-0.715,-0.402
5.414,-0.615,-0.709,-0.396
5.424,-0.611,-0.707,-0.395
5.434,-0.615,-0.707,-0.396
5.444,-0.615,-0.707,-0.396
5.454,-0.611,-0.713,-0.404
5.464,-0.615,-0.709,-0.398
5.474,-0.609,-0.713,-0.400
5.484,-0.609,-0.711,-0.395
5.494,-0.605,-0.709,-0.398
5.504,-0.607,-0.707,-0.395
5.514,-0.602,-0.707,-0.393
5.524,-0.602,-0.711,-0.393
5.533,-0.602,-0.715,-0.393
5.543,-0.600,-0.715,-0.400
5.553,-0.596,-0.719,-0.400
5.563,-0.600,-0.719,-0.398
5.573,-0.600,-0.719,-0.398
5.583,-0.598,-0.721,-0.396
5.593,-0.598,-0.721,-0.396
5.603,-0.604,-0.719,-0.400
5.613,-0.604,-0.719,-0.396
5.623,-0.605,-0.717,-0.393
5.633,-0.607,-0.717,-0.393
5.643,-0.605,-0.717,-0.391
5.653,-0.607,-0.719,-0.396
5.662,-0.609,-0.721,-0.400
5.672,-0.607,-0.721,-0.398
5.682,-0.605,-0.719,-0.400
5.692,-0.604,-0.715,-0.396
5.702,-0.604,-0.717,-0.398
5.712,-0.605,-0.715,-0.396
5.722,-0.604,-0.719,-0.400
5.732,-0.605,-0.721,-0.395
5.742,-0.607,-0.723,-0.398
5.752,-0.611,-0.723,-0.396
5.762,-0.611,-0.723,-0.398
5.772,-0.613,-0.721,-0.396
5.782,-0.609,-0.723,-0.395
5.791,-0.613,-0.721,-0.395
5.801,-0.609,-0.723,-0.395
5.811,-0.607,-0.723,-0.395
5.821,-0.605,-0.721,-0.400
5.831,-0.604,-0.719,-0.396
5.841,-0.605,-0.719,-0.395
5.851,-0.602,-0.721,-0.395
5.861,-0.605,-0.721,-0.398
5.871,-0.604,-0.721,-0.398
5.881,-0.609,-0.719,-0.400
5.891,-0.609,-0.721,-0.398
5.901,-0.611,-0.719,-0.396
5.911,-0.607,-0.717,-0.395
5.920,-0.607,-0.715,-0.395
5.930,-0.607,-0.713,-0.393
5.940,-0.607,-0.715,-0.400
5.950,-0.604,-0.713,-0.395
5.960,-0.602,-0.713,-0.395
5.970,-0.602,-0.713,-0.400
5.980,-0.602,-0.713,-0.400
5.990,-0.600,-0.711,-0.400
6.000,-0.602,-0.711,-0.400
6.010,-0.600,-0.715,-0.400
6.020,-0.598,-0.711,-0.400
6.030,-0.604,-0.713,-0.402
6.040,-0.604,-0.713,-0.402
6.049,-0.602,-0.715,-0.404
6.059,-0.602,-0.715,-0.406
6.069,-0.602,-0.715,-0.408
6.079,-0.600,-0.711,-0.410
6.089,-0.596,-0.707,-0.406
6.099,-0.594,-0.705,-0.406
6.109,-0.602,-0.709,-0.404
6.119,-0.604,-0.709,-0.404
6.129,-0.607,-0.709,-0.414
6.139,-0.613,-0.709,-0.414
6.149,-0.613,-0.705,-0.412
6.159,-0.615,-0.707,-0.414
6.169,-0.615,-0.701,-0.410
6.178,-0.617,-0.701,-0.408
6.188,-0.613,-0.699,-0.410
6.198,-0.613,-0.701,-0.408
6.208,-0.613,-0.701,-0.410
6.218,-0.615,-0.699,-0.412
6.228,-0.615,-0.699,-0.414
6.238,-0.613,-0.701,-0.414
6.248,-0.613,-0.703,-0.414
6.258,-0.613,-0.705,-0.420
