df_hash,22ZHK4.02YP5X
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.LGCH
person_label,V27
date_time_start,2025-08-06_10-40-12.534000_+03
date_time_start_unix,1754458812.534
date_time_end,2025-08-06_10-48-57.375000_+03
length_difference_noticed,no

time,battery
4.312,34
14.351,34
24.345,33
34.340,33
44.355,33
54.465,33
64.323,33
74.316,33
84.423,33
94.397,33
104.341,33
114.333,33
124.424,33
134.318,33
144.312,33
154.305,32
164.298,32
174.292,32
184.285,32
194.284,32
204.274,32
214.314,32
224.308,32
234.302,32
244.295,32
254.289,32
264.283,32
274.379,32
284.271,32
294.264,32
304.290,32
314.322,32
324.343,31
334.288,31
344.282,31
354.276,31
364.270,31
374.263,31
384.258,31
394.280,31
404.294,31
414.288,31
424.282,31
434.275,31
444.269,31
454.263,31
464.354,31
474.250,31
484.243,30
494.286,30
504.280,30
514.273,31
