df_hash,22ZHK4.02YP5X
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.LGCH
person_label,V27
date_time_start,2025-08-06_10-40-12.534000_+03
date_time_start_unix,1754458812.534
date_time_end,2025-08-06_10-48-57.375000_+03
length_difference_noticed,no

time,ble_sample_counter,ble_sample_amount,ble_packet_counter
5.431,216,72,2
6.112,290,74,3
6.163,364,74,4
6.553,438,74,5
6.992,512,74,6
7.235,586,74,7
7.626,660,74,8
8.064,734,74,9
8.357,808,74,10
8.747,882,74,11
9.186,956,74,12
9.432,1030,74,13
9.869,1104,74,14
10.307,1178,74,15
10.551,1252,74,16
11.136,1326,74,17
11.233,1400,74,18
11.682,1474,74,19
12.111,1548,74,20
12.450,1622,74,21
12.793,1696,74,22
13.183,1770,74,23
13.476,1844,74,24
13.915,1918,74,25
14.308,1992,74,26
14.602,2066,74,27
14.992,2140,74,28
15.426,2214,74,29
15.723,2288,74,30
16.112,2362,74,31
16.402,2436,74,32
16.798,2510,74,33
17.230,2584,74,34
17.528,2658,74,35
18.304,2732,74,36
18.355,2806,74,37
18.618,2880,74,38
19.036,2954,74,39
19.472,3028,74,40
19.716,3102,74,41
20.158,3175,73,42
20.553,3249,74,43
20.845,3323,74,44
21.276,3397,74,45
21.521,3471,74,46
21.959,3545,74,47
22.349,3619,74,48
22.642,3693,74,49
23.081,3767,74,50
23.470,3841,74,51
23.763,3915,74,52
24.155,3989,74,53
24.592,4063,74,54
24.888,4137,74,55
25.278,4211,74,56
25.726,4285,74,57
25.957,4359,74,58
26.396,4433,74,59
26.688,4507,74,60
27.127,4581,74,61
27.517,4655,74,62
27.811,4729,74,63
28.200,4803,74,64
28.641,4877,74,65
28.885,4951,74,66
29.333,5025,74,67
29.710,5099,74,68
30.199,5173,74,69
30.449,5247,74,70
30.832,5321,74,71
31.129,5395,74,72
31.523,5469,74,73
31.808,5543,74,74
32.438,5617,74,75
32.640,5691,74,76
32.928,5765,74,77
33.319,5839,74,78
33.766,5913,74,79
34.051,5987,74,80
34.441,6061,74,81
34.879,6135,74,82
35.122,6209,74,83
35.708,6283,74,84
36.000,6357,74,85
36.387,6431,74,86
36.682,6505,74,87
36.975,6579,74,88
37.369,6653,74,89
37.804,6727,74,90
38.047,6801,74,91
38.486,6875,74,92
38.876,6949,74,93
39.169,7023,74,94
39.747,7097,74,95
40.012,7171,74,96
40.290,7245,74,97
40.680,7319,74,98
41.119,7393,74,99
41.411,7467,74,100
41.803,7541,74,101
42.099,7615,74,102
42.581,7689,74,103
42.922,7763,74,104
43.225,7837,74,105
43.606,7911,74,106
44.057,7985,74,107
44.337,8059,74,108
44.729,8133,74,109
45.165,8207,74,110
45.430,8281,74,111
45.849,8355,74,112
46.287,8429,74,113
