df_hash,22ZHK4.QK206M
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.D6JC
person_label,V12
date_time_start,2025-05-22_10-41-54.002000_+03
date_time_start_unix,1747899714.002
date_time_end,2025-05-22_10-49-07.831000_+03
length_difference_noticed,no

time,ppg_quality
57.501,69
58.511,71
59.521,72
60.531,83
61.541,86
62.551,92
64.571,90
66.591,85
68.611,84
71.641,89
73.661,80
75.681,71
77.701,71
78.711,71
80.731,79
82.751,81
83.761,85
84.771,91
86.791,97
88.811,97
89.821,94
90.831,91
91.841,92
93.861,94
95.881,95
97.901,96
99.921,96
100.931,97
101.941,99
102.951,98
104.971,94
105.981,95
106.991,96
109.011,95
111.031,93
113.051,92
115.071,92
116.081,91
118.101,90
120.121,85
122.141,82
123.151,79
124.161,79
126.181,81
127.191,81
129.211,82
131.231,85
133.251,86
135.271,84
136.281,83
138.301,87
140.321,89
142.341,88
144.361,88
146.381,89
148.401,86
149.411,81
151.431,74
153.451,65
155.471,61
157.491,61
158.501,62
159.511,65
160.521,68
161.531,72
162.541,78
164.561,84
166.581,86
168.601,73
169.611,65
170.621,61
173.651,70
174.661,71
175.671,71
177.691,66
179.711,86
180.721,85
182.741,74
184.761,73
186.781,73
187.791,76
188.801,76
190.821,89
191.831,96
193.851,94
195.871,96
196.881,96
197.891,96
199.911,96
201.931,96
203.951,96
204.961,93
205.971,93
206.981,92
209.001,91
211.021,78
213.041,66
214.051,63
215.061,63
216.071,61
218.091,63
219.101,62
220.111,69
221.121,75
222.131,82
224.151,89
225.161,93
226.171,96
227.181,97
229.201,98
231.221,86
232.231,84
233.241,85
235.261,83
236.271,87
237.281,74
239.301,51
241.321,44
243.341,40
244.351,30
246.371,1
247.381,2
248.391,4
249.401,9
250.411,12
255.461,18
257.481,22
259.501,32
261.521,36
263.541,33
265.561,3
266.571,3
274.651,14
276.671,39
278.691,57
279.701,73
280.711,83
281.721,98
282.731,93
283.741,84
284.751,69
285.761,60
286.771,47
287.781,39
288.791,39
289.801,32
290.811,23
294.851,15
296.871,34
297.881,29
299.901,41
301.921,62
303.941,81
305.961,55
307.981,58
308.991,51
310.001,38
311.011,28
312.021,24
313.031,23
315.051,44
316.061,60
317.071,67
319.091,72
321.111,87
322.121,88
323.131,75
326.161,52
328.181,55
330.201,54
332.221,57
333.231,68
334.241,71
337.271,78
339.291,76
340.301,75
341.311,76
343.331,80
345.351,79
346.361,79
348.381,79
350.401,77
352.421,73
354.441,67
356.461,67
358.481,70
359.491,69
361.511,69
362.521,69
363.531,69
364.541,68
365.551,66
366.561,66
367.571,65
369.591,67
370.601,66
372.621,67
374.641,68
376.661,69
378.681,68
380.701,67
381.711,67
382.721,67
383.731,67
385.751,68
387.761,66
389.781,75
390.791,81
391.801,83
392.811,84
394.831,81
395.841,82
396.851,81
398.871,79
400.891,71
401.901,68
403.921,67
405.941,66
407.961,67
408.971,67
409.981,65
410.991,65
413.011,66
414.021,66
415.031,66
417.051,57
419.071,48
421.091,44
422.101,40
423.111,37
425.131,36
427.151,45
428.161,47
430.181,52
