df_hash,22ZHK4.QK206M
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.D6JC
person_label,V12
date_time_start,2025-05-22_10-41-54.002000_+03
date_time_start_unix,1747899714.002
date_time_end,2025-05-22_10-49-07.831000_+03
length_difference_noticed,no

time,quality
23.481,63
24.359,82
25.579,86
26.456,80
27.334,86
28.552,84
29.726,81
30.308,85
31.526,76
32.403,75
33.282,69
34.499,62
35.377,54
36.351,43
37.474,0
38.351,3
39.228,0
40.448,0
41.519,3
42.299,0
43.420,26
44.447,24
45.273,0
46.395,32
47.371,52
48.441,58
49.369,57
50.377,50
51.366,42
52.342,33
53.219,46
54.146,74
55.316,75
56.249,85
57.119,78
58.289,75
59.216,73
60.093,78
61.264,82
62.481,49
63.067,36
64.239,33
65.163,27
66.040,27
67.250,23
68.137,37
69.051,57
70.233,61
71.157,71
71.990,80
73.207,44
74.085,41
75.254,39
76.183,39
77.065,39
78.183,43
79.155,76
80.032,80
80.910,81
82.129,78
83.006,75
84.173,63
85.102,65
86.007,77
86.857,82
88.076,82
88.956,80
89.882,76
91.095,82
92.219,78
92.854,80
94.313,79
94.909,82
95.831,84
96.997,79
97.876,79
99.093,81
99.971,79
100.948,82
101.777,79
102.947,85
103.824,82
104.749,79
105.933,83
106.845,81
107.722,81
109.038,79
109.867,73
110.696,79
111.866,78
113.035,82
113.764,84
114.848,82
115.768,82
116.644,83
117.813,86
118.752,85
119.620,78
120.789,81
121.716,77
122.593,79
123.770,77
124.733,65
125.762,60
126.739,72
127.755,76
128.539,74
129.709,72
130.636,80
131.517,77
132.776,79
133.614,85
134.486,77
135.656,78
136.583,77
137.460,82
138.630,84
139.556,82
140.433,80
141.607,77
142.531,82
143.408,79
144.723,76
145.505,69
146.381,58
147.600,73
148.575,70
149.355,52
150.668,35
151.503,40
152.329,43
153.512,45
154.426,49
155.303,51
156.474,76
157.425,73
158.277,74
159.446,80
160.373,80
161.250,75
162.442,71
163.346,75
164.224,79
165.394,78
166.336,70
167.200,64
168.369,46
169.296,35
170.174,32
171.485,34
172.269,35
173.437,45
174.366,54
175.241,75
176.119,72
177.338,74
178.215,71
179.093,74
180.506,71
181.190,71
182.101,63
183.285,50
184.163,50
185.041,76
186.356,80
187.137,79
188.015,79
189.235,80
190.171,81
190.988,80
192.352,84
193.084,82
193.961,81
195.180,84
196.058,85
196.981,83
198.160,80
199.032,84
199.958,86
201.320,81
202.006,82
202.932,84
204.110,86
204.979,82
205.906,79
207.076,80
208.001,76
208.974,59
210.049,53
210.951,55
212.047,51
213.023,59
213.901,61
214.830,66
216.099,82
216.923,77
217.802,66
219.260,55
219.897,42
220.774,47
221.944,30
223.014,25
223.845,44
224.919,52
225.844,64
226.721,38
227.989,29
228.819,23
229.720,49
230.866,22
231.792,25
232.669,52
233.839,68
234.960,75
235.645,44
236.859,45
237.790,47
238.617,34
240.079,37
240.716,40
241.591,0
242.811,30
243.687,0
244.659,0
245.784,0
246.661,25
247.538,28
248.758,27
249.639,30
250.664,22
251.731,0
252.635,28
253.486,36
254.705,31
255.582,27
256.459,24
257.678,28
258.556,27
259.437,16
260.655,24
261.531,43
262.407,51
263.720,0
264.504,30
265.719,28
266.599,0
267.571,21
268.357,27
269.575,0
270.499,2
271.329,6
272.595,7
273.725,6
274.351,0
275.667,0
276.444,33
277.326,37
278.495,32
279.374,5
280.347,20
281.469,13
282.346,1
283.613,0
284.442,4
285.320,2
286.269,0
287.416,32
288.293,0
289.220,25
290.390,0
291.268,0
292.194,19
293.363,23
294.581,22
295.169,41
296.337,49
297.266,33
298.141,25
299.311,34
300.478,45
301.124,45
302.291,27
303.257,29
304.089,2
305.648,5
306.187,2
307.064,0
308.283,20
309.451,0
310.036,30
311.255,25
312.324,0
313.010,31
314.230,25
315.109,19
315.984,16
317.203,24
318.082,28
318.960,0
320.176,0
321.054,0
321.947,24
323.150,42
324.028,62
324.973,67
326.172,74
327.003,79
327.927,78
329.097,77
330.024,69
330.901,69
332.071,73
332.950,73
333.972,69
335.045,83
336.066,73
336.849,64
338.456,58
338.945,54
339.825,55
341.333,58
341.923,55
342.797,59
343.967,53
345.087,78
345.815,83
347.180,84
347.866,82
349.036,76
349.914,80
350.844,79
351.718,84
352.939,81
353.821,82
354.691,80
355.913,77
357.085,80
357.665,86
358.884,86
359.762,85
360.734,86
361.859,87
363.027,86
363.710,81
364.832,79
365.709,84
366.587,83
368.146,81
368.687,80
369.657,90
370.779,87
371.657,83
372.536,84
373.847,81
374.630,82
375.753,84
376.734,84
377.755,89
378.726,86
379.700,83
380.623,82
381.461,69
382.677,77
383.599,80
384.672,76
385.648,63
386.526,61
387.454,63
388.623,62
389.501,65
390.425,71
391.605,78
392.475,83
393.400,81
394.712,78
395.497,80
396.376,81
397.545,88
398.566,85
399.354,85
400.615,85
401.407,81
402.322,77
403.491,79
404.414,88
405.345,86
406.705,84
407.346,84
408.268,86
409.440,85
410.315,88
411.244,87
412.414,80
413.532,76
414.215,22
415.480,0
416.263,0
417.192,0
418.359,0
419.283,0
420.355,0
421.333,38
422.305,50
423.137,28
424.404,0
425.236,24
426.114,24
427.281,41
428.212,38
