df_hash,22ZHK4.QK206M
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.D6JC
person_label,V12
date_time_start,2025-05-22_10-41-54.002000_+03
date_time_start_unix,1747899714.002
date_time_end,2025-05-22_10-49-07.831000_+03
length_difference_noticed,no

time,rr_int
9.682,4015
10.511,1050
10.514,795
10.657,110
11.096,550
11.100,10
11.103,10
11.243,15
11.782,85
12.461,590
13.192,650
13.729,690
14.460,635
14.996,645
15.825,590
16.069,785
16.703,270
16.802,570
16.849,170
16.852,10
16.857,10
16.861,10
17.193,10
17.775,340
18.458,595
19.140,665
19.824,730
20.655,760
21.480,770
22.211,825
23.043,760
23.868,760
24.551,825
25.234,770
26.063,725
26.940,775
27.624,810
28.305,740
29.432,760
29.816,795
30.547,735
31.377,720
32.059,755
32.741,705
34.301,740
34.304,1510
34.840,10
35.813,570
35.960,1145
35.969,10
35.972,15
36.105,85
36.109,60
36.251,10
38.299,1470
39.128,765
39.859,795
39.956,690
40.053,140
41.090,40
41.663,1050
42.345,565
42.881,715
43.613,605
44.333,670
44.978,755
45.660,620
46.293,685
47.464,635
47.756,1265
47.759,200
47.805,10
47.808,10
47.812,15
48.072,10
48.731,320
49.560,665
50.291,795
50.974,700
51.802,750
52.632,825
53.460,845
54.159,765
54.974,795
55.703,830
56.531,740
57.215,745
57.897,730
58.586,730
59.407,705
60.139,740
60.822,800
61.653,685
62.645,800
62.771,1045
62.776,15
62.821,15
63.015,25
64.429,320
65.111,1375
65.114,665
65.698,10
66.379,670
67.062,640
67.890,735
68.573,795
69.304,715
70.132,730
70.867,755
71.400,705
71.644,665
71.647,180
71.650,15
71.936,10
72.619,355
73.155,585
73.740,570
74.570,650
75.422,860
76.227,830
77.237,840
77.884,870
78.761,765
79.590,800
80.419,865
81.251,870
81.930,825
82.762,735
83.442,755
84.179,770
85.002,720
85.684,735
86.518,800
87.205,775
88.024,755
88.853,810
89.584,795
90.266,725
91.103,785
91.924,830
92.607,760
93.484,785
94.317,840
94.996,780
95.836,745
96.653,820
97.482,875
98.310,765
99.143,815
99.822,820
100.653,760
101.381,775
102.231,815
102.893,775
103.722,710
104.453,775
105.282,820
105.964,740
106.793,770
107.476,790
108.158,725
108.889,685
109.718,715
110.401,775
111.083,735
111.911,745
112.643,775
113.355,745
114.008,680
114.691,740
115.422,740
116.104,700
116.933,710
117.616,730
118.152,695
118.895,645
119.568,690
120.249,700
120.833,640
121.515,650
122.344,690
123.029,745
123.709,665
124.440,725
125.269,830
125.958,735
126.634,710
127.365,730
128.052,740
128.730,670
129.562,680
130.096,690
130.684,665
131.363,635
132.046,680
132.926,700
133.460,655
134.143,710
134.860,745
135.555,685
136.385,725
137.067,760
138.045,705
138.434,690
139.163,715
139.700,705
140.382,665
141.065,680
141.796,695
142.478,650
143.164,665
143.845,700
144.574,770
145.404,735
146.235,765
146.915,800
147.743,740
148.426,830
149.157,680
149.547,770
149.840,415
150.522,255
150.814,770
150.818,155
150.866,20
150.871,15
150.912,150
150.961,15
152.034,335
152.764,730
153.447,735
154.297,770
154.959,750
155.641,695
156.372,725
157.054,740
157.739,675
158.419,700
159.150,720
159.833,750
160.702,690
161.490,775
162.173,810
163.002,775
163.685,745
164.416,745
165.098,700
165.781,690
166.464,705
166.902,735
167.048,415
167.054,85
167.877,50
167.881,815
168.028,10
168.560,10
169.242,650
169.974,725
170.659,695
171.492,775
172.167,785
172.850,715
173.678,745
174.263,740
174.970,665
175.629,700
176.360,685
177.042,655
177.578,650
178.311,655
178.992,700
179.600,605
180.211,620
180.942,655
181.625,765
182.471,705
183.136,775
183.877,765
184.551,695
185.232,690
186.080,750
186.747,765
187.475,710
188.303,745
188.986,775
189.670,725
190.358,720
191.180,740
191.937,775
192.593,700
193.422,740
194.105,760
194.837,730
195.518,715
196.347,750
197.030,760
197.712,700
198.464,735
199.126,745
199.964,705
200.641,720
201.325,750
202.051,735
202.733,685
203.416,725
204.120,725
204.830,675
205.512,690
206.239,715
206.487,730
206.491,225
206.636,20
206.878,15
207.609,395
208.145,690
208.979,615
209.558,775
210.388,625
211.070,725
211.756,765
212.435,690
213.264,760
214.093,765
214.972,795
215.506,695
216.216,705
216.928,690
217.505,705
218.142,655
218.727,610
219.288,580
219.796,555
220.531,580
221.356,695
222.185,870
223.021,885
223.989,855
224.671,905
225.356,720
226.036,680
226.621,640
227.157,620
227.892,580
227.994,660
228.132,260
228.136,10
229.400,370
230.229,885
230.911,815
231.594,750
232.325,725
233.154,760
233.983,785
234.665,760
235.499,790
236.225,840
236.228,705
237.054,10
237.888,815
238.126,750
238.419,665
239.248,835
239.394,95
240.666,710
241.197,580
241.491,570
242.319,290
242.465,975
243.733,300
244.022,1000
244.025,185
244.127,10
244.664,180
244.952,575
245.634,315
245.926,595
246.465,275
248.120,560
248.705,1725
248.952,525
249.241,255
250.509,280
250.899,1300
251.484,435
251.630,530
252.459,215
253.582,795
254.263,1160
254.507,645
255.384,360
255.920,785
256.066,525
256.069,130
256.215,10
256.896,10
257.870,820
259.089,1025
259.527,1245
260.064,425
260.210,530
261.039,180
261.332,860
261.770,295
262.307,435
262.846,480
263.817,640
264.649,900
264.939,655
264.944,490
265.401,10
265.940,380
266.337,545
267.279,430
267.576,1010
267.774,455
268.988,1175
