df_hash,22ZHK4.E4K1RV
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.2N0T
person_label,V14
date_time_start,2025-05-22_11-28-58.854000_+03
date_time_start_unix,1747902538.854
date_time_end,2025-05-22_11-34-10.018000_+03
length_difference_noticed,no

time,ble_sample_counter,ble_sample_amount,ble_packet_counter
5.354,213,74,2
5.763,287,74,3
6.037,361,74,4
6.476,435,74,5
6.898,509,74,6
7.158,583,74,7
7.548,657,74,8
7.987,731,74,9
8.279,805,74,10
8.682,879,74,11
9.108,953,74,12
9.401,1027,74,13
9.793,1101,74,14
10.083,1175,74,15
10.476,1247,72,16
10.912,1321,74,17
11.205,1395,74,18
11.595,1469,74,19
12.275,1543,74,20
12.428,1617,74,21
12.740,1691,74,22
13.106,1765,74,23
13.450,1839,74,24
13.837,1913,74,25
14.132,1987,74,26
14.520,2061,74,27
15.007,2135,74,28
15.203,2209,74,29
15.641,2283,74,30
16.031,2357,74,31
16.324,2431,74,32
16.764,2505,74,33
17.152,2579,74,34
17.444,2653,74,35
17.835,2727,74,36
18.273,2801,74,37
18.566,2875,74,38
18.961,2949,74,39
19.248,3021,72,40
19.638,3092,71,41
19.932,3162,70,42
20.418,3232,70,43
20.656,3303,71,44
21.052,3372,69,45
21.442,3446,74,46
21.735,3512,66,47
22.173,3586,74,48
22.476,3652,66,49
22.856,3726,74,50
23.168,3791,65,51
23.539,3865,74,52
23.831,3934,69,53
24.221,4006,72,54
24.513,4078,72,55
25.001,4145,67,56
25.196,4219,74,57
25.634,4287,68,58
25.975,4361,74,59
26.318,4431,70,60
26.648,4504,73,61
26.999,4572,68,62
27.292,4642,70,63
27.735,4715,73,64
28.023,4785,70,65
28.414,4859,74,66
28.804,4931,72,67
29.096,5005,74,68
29.557,5076,71,69
29.778,5150,74,70
30.221,5222,72,71
30.607,5296,74,72
30.904,5368,72,73
31.339,5441,73,74
31.729,5511,70,75
32.020,5581,70,76
32.362,5653,72,77
32.703,5723,70,78
