df_hash,22ZHK4.P6Z1T7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FNNL
person_label,V15
date_time_start,2025-05-22_11-47-26.273000_+03
date_time_start_unix,1747903646.273
date_time_end,2025-05-22_11-55-08.879000_+03
length_difference_noticed,no

time,ble_sample_counter_acc,ble_sample_amount_acc,ble_packet_counter_acc
5.762,75,75,0
6.396,150,75,1
7.273,225,75,2
7.879,300,75,3
8.736,375,75,4
9.370,450,75,5
10.258,525,75,6
10.832,600,75,7
11.709,675,75,8
12.346,750,75,9
13.221,825,75,10
13.855,900,75,11
14.732,975,75,12
15.317,1050,75,13
16.195,1125,75,14
16.829,1200,75,15
17.706,1275,75,16
18.337,1350,75,17
19.169,1425,75,18
19.753,1500,75,19
20.680,1575,75,20
21.265,1650,75,21
22.163,1725,75,22
22.776,1800,75,23
23.946,1875,75,24
24.238,1950,75,25
25.139,2025,75,26
25.756,2100,75,27
26.629,2175,75,28
27.212,2250,75,29
28.143,2325,75,30
28.730,2400,75,31
29.601,2475,75,32
30.206,2550,75,33
31.115,2625,75,34
31.746,2700,75,35
32.575,2775,75,36
33.160,2850,75,37
34.086,2925,75,38
34.671,3000,75,39
35.549,3075,75,40
36.433,3150,75,41
37.060,3225,75,42
37.645,3300,75,43
38.522,3375,75,44
39.156,3450,75,45
40.033,3525,75,46
40.618,3600,75,47
41.497,3675,75,48
42.081,3750,75,49
43.007,3825,75,50
43.593,3900,75,51
44.520,3975,75,52
45.103,4050,75,53
45.985,4125,75,54
46.687,4200,75,55
47.452,4275,75,56
48.077,4350,75,57
49.393,4425,75,58
49.539,4500,75,59
50.501,4575,75,60
51.148,4650,75,61
51.939,4725,75,62
52.514,4800,75,63
53.440,4875,75,64
54.029,4950,75,65
54.904,5025,75,66
55.487,5100,75,67
56.414,5175,75,68
57.438,5250,75,69
57.876,5325,75,70
58.461,5400,75,71
59.387,5475,75,72
59.972,5550,75,73
60.850,5625,75,74
61.460,5700,75,75
62.361,5775,75,76
62.951,5850,75,77
63.824,5925,75,78
64.457,6000,75,79
65.337,6075,75,80
65.920,6150,75,81
66.797,6225,75,82
67.433,6300,75,83
68.309,6375,75,84
68.894,6450,75,85
69.771,6525,75,86
70.405,6600,75,87
71.283,6675,75,88
71.870,6750,75,89
72.798,6825,75,90
73.379,6900,75,91
74.256,6975,75,92
74.841,7050,75,93
75.789,7125,75,94
76.353,7200,75,95
77.230,7275,75,96
77.815,7350,75,97
78.741,7425,75,98
79.326,7500,75,99
80.224,7575,75,100
80.788,7650,75,101
81.715,7725,75,102
82.395,7800,75,103
83.177,7875,75,104
83.763,7950,75,105
84.689,8025,75,106
85.274,8100,75,107
86.151,8175,75,108
87.026,8250,75,109
87.663,8325,75,110
88.268,8400,75,111
89.125,8475,75,112
89.759,8550,75,113
90.636,8625,75,114
91.221,8700,75,115
92.099,8775,75,116
92.733,8850,75,117
93.610,8925,75,118
94.195,9000,75,119
95.073,9075,75,120
95.706,9150,75,121
96.600,9225,75,122
97.187,9300,75,123
98.095,9375,75,124
98.680,9450,75,125
99.562,9525,75,126
100.143,9600,75,127
101.071,9675,75,128
101.654,9750,75,129
102.531,9825,75,130
103.116,9900,75,131
104.043,9975,75,132
104.627,10050,75,133
105.534,10125,75,134
106.139,10200,75,135
107.016,10275,75,136
107.603,10350,75,137
108.479,10425,75,138
109.113,10500,75,139
109.990,10575,75,140
110.576,10650,75,141
111.501,10725,75,142
112.086,10800,75,143
112.965,10875,75,144
114.017,10950,75,145
114.475,11025,75,146
115.060,11100,75,147
115.938,11175,75,148
116.535,11250,75,149
117.449,11325,75,150
118.035,11400,75,151
118.912,11475,75,152
119.496,11550,75,153
120.423,11625,75,154
121.008,11700,75,155
121.887,11775,75,156
122.519,11850,75,157
123.397,11925,75,158
123.982,12000,75,159
124.908,12075,75,160
