df_hash,22ZHK4.P6Z1T7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FNNL
person_label,V15
date_time_start,2025-05-22_11-47-26.273000_+03
date_time_start_unix,1747903646.273
date_time_end,2025-05-22_11-55-08.879000_+03
length_difference_noticed,no

time,heart_rate
9.074,46
9.952,46
11.145,46
12.051,46
12.925,46
14.095,46
15.022,69
15.905,51
17.071,53
17.995,54
18.873,56
20.092,53
20.969,60
21.896,61
23.066,64
24.043,67
24.844,69
26.043,70
26.917,71
27.846,71
29.013,71
30.037,69
30.768,67
31.987,67
32.864,67
33.790,67
34.961,67
35.838,67
36.764,67
37.941,67
38.812,67
39.738,67
40.908,65
41.786,65
42.712,65
43.882,66
44.822,67
45.688,68
46.856,69
47.782,70
48.684,70
49.831,69
51.048,69
51.633,69
52.852,73
53.729,71
54.607,64
55.826,63
56.703,63
57.604,64
58.799,67
59.679,70
60.554,72
61.773,71
62.651,70
63.528,68
64.747,67
65.624,67
66.502,68
67.724,70
68.598,69
69.525,73
70.694,71
71.572,70
72.463,70
73.668,70
74.546,70
75.472,62
76.645,58
77.519,64
78.446,66
79.616,69
80.519,71
81.420,73
82.590,75
83.467,76
84.393,77
85.565,76
86.476,76
87.367,76
88.541,66
89.463,61
90.341,65
91.511,66
92.437,65
93.315,68
94.486,71
95.411,73
96.288,71
97.458,70
98.385,70
99.275,70
100.433,60
101.358,70
102.236,73
103.455,74
104.332,74
105.249,74
106.429,74
107.376,72
108.183,70
109.402,70
110.280,72
111.206,73
112.376,74
113.253,74
114.185,73
115.350,76
116.227,78
117.154,76
118.324,74
119.201,73
120.127,74
121.303,74
122.233,78
123.101,80
124.348,78
125.197,78
126.102,77
127.245,77
128.172,76
129.053,77
130.268,76
131.145,79
132.028,77
133.244,77
134.119,72
134.996,70
136.215,72
137.092,72
137.975,76
139.192,78
140.066,77
140.946,77
142.162,78
143.044,79
144.015,80
145.136,81
146.023,81
146.940,82
148.110,82
148.987,82
149.950,81
151.108,81
151.961,81
152.887,81
154.107,83
154.984,81
155.898,81
157.035,74
157.958,74
158.835,72
160.009,71
160.934,72
161.809,74
162.979,74
163.905,75
164.783,74
165.953,78
166.880,76
167.760,75
168.975,69
169.877,67
170.732,66
171.949,67
172.830,67
173.704,66
174.923,66
175.800,66
176.678,73
177.897,73
178.774,78
179.651,80
180.883,72
181.748,69
182.874,69
183.844,70
184.721,72
185.651,74
186.819,72
187.695,72
188.621,72
189.792,72
190.964,72
191.595,72
192.765,70
193.643,70
194.569,70
195.742,70
196.666,70
197.558,70
198.713,70
199.672,67
200.519,69
201.688,70
202.616,70
203.491,69
204.660,69
205.610,78
206.464,83
207.634,85
208.560,85
209.438,84
210.608,87
211.550,89
212.413,91
213.631,89
214.508,91
215.385,90
216.606,90
217.482,90
218.359,90
219.578,90
220.455,90
221.333,84
222.552,87
223.429,86
224.307,86
225.525,85
226.403,85
227.296,85
228.746,85
229.392,85
230.550,84
231.481,83
232.350,80
233.234,78
234.447,76
235.367,75
236.251,75
237.420,76
238.298,78
239.224,81
240.394,82
241.272,80
242.198,80
243.368,80
244.255,80
245.172,80
246.350,80
247.268,80
248.146,80
249.316,80
250.242,80
251.121,80
252.290,80
253.216,80
254.093,81
255.294,76
256.189,76
257.067,74
258.237,75
259.168,71
260.045,72
261.268,72
262.137,80
263.018,84
264.233,84
265.116,85
266.235,86
267.207,86
268.100,86
268.962,85
270.188,85
271.058,84
272.007,84
273.159,84
274.327,84
274.958,84
276.522,85
277.012,85
277.932,85
279.102,84
279.985,84
280.906,83
282.076,83
283.002,83
283.880,83
285.052,83
285.981,83
287.000,83
288.023,83
288.950,83
289.827,83
291.095,83
291.925,83
292.801,83
294.020,83
294.985,83
295.775,83
296.994,83
297.871,83
298.749,82
299.967,82
300.845,80
301.723,80
302.941,79
304.014,79
304.696,79
305.918,79
306.792,79
307.720,79
308.889,79
309.766,79
310.693,79
311.911,79
312.740,79
313.666,79
314.836,81
316.006,81
316.640,74
317.810,77
318.687,76
319.614,76
320.784,75
321.661,75
322.587,75
323.757,67
324.684,70
325.599,70
326.766,70
327.686,69
328.535,76
329.707,81
330.632,84
331.509,80
332.701,81
333.605,80
334.508,80
335.652,81
336.582,81
337.456,80
338.675,80
339.552,80
340.479,80
341.649,80
342.526,80
343.404,78
344.622,79
345.500,78
346.377,78
347.596,78
348.474,78
349.351,78
350.570,72
351.448,64
352.325,61
353.545,61
354.421,62
355.362,62
356.520,61
357.395,61
358.344,61
359.738,61
360.369,61
361.295,61
362.465,61
363.343,59
364.269,56
365.440,55
366.316,56
367.243,56
368.413,55
369.291,55
370.229,55
371.386,55
372.630,55
373.190,55
374.360,55
375.286,55
376.168,55
377.334,55
378.260,55
379.139,55
380.603,55
381.257,55
382.111,55
383.379,55
384.208,55
385.085,58
386.255,56
387.181,62
388.065,65
389.229,62
390.155,61
391.033,61
392.255,61
393.131,61
394.007,61
395.225,61
396.136,61
397.127,61
398.211,61
399.081,61
399.954,58
401.177,59
402.050,60
402.928,58
404.147,58
405.024,59
405.950,58
407.121,58
408.001,58
408.924,58
410.099,58
410.979,58
411.918,58
413.069,57
413.974,57
414.872,58
416.042,57
416.968,57
417.903,57
419.015,57
419.951,57
420.819,57
422.090,57
422.915,57
