df_hash,22ZHK4.3NGMYT
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.VVA5
person_label,V18
date_time_start,2025-05-23_10-26-57.429000_+03
date_time_start_unix,1747985217.429
date_time_end,2025-05-23_10-35-12.468000_+03
length_difference_noticed,no

time,acc_mag
4.609,1.008
4.639,1.003
4.669,1.001
4.699,1.004
4.729,1.007
4.759,1.004
4.789,1.001
4.819,1.005
4.849,1.000
4.879,0.997
4.909,1.012
4.939,1.004
4.969,1.009
4.999,0.985
5.029,0.994
5.059,0.988
5.089,1.000
5.119,1.006
5.149,1.013
5.179,1.007
5.209,1.013
5.239,1.002
5.269,0.998
5.299,0.995
5.329,1.005
5.359,0.998
5.389,0.997
5.419,1.000
5.449,0.991
5.479,1.003
5.509,0.994
5.539,0.991
5.569,0.994
5.599,1.008
5.629,0.993
5.659,0.978
5.689,0.991
5.719,0.990
5.749,0.993
5.779,1.009
5.809,1.010
5.839,1.005
5.869,0.997
5.899,1.006
5.929,0.999
5.959,0.993
5.989,0.999
6.019,1.000
6.049,0.994
6.079,0.994
6.109,0.991
6.139,0.995
6.169,0.991
6.199,0.994
6.229,0.993
6.259,0.996
6.289,1.003
6.319,1.002
6.349,0.991
6.379,0.980
6.409,0.989
6.439,0.997
6.469,1.010
6.499,1.013
6.529,0.999
6.559,1.000
6.589,1.000
6.619,0.990
6.649,0.991
6.679,0.996
6.709,1.000
6.739,1.000
6.769,0.995
6.799,0.992
6.829,0.995
6.859,1.000
6.889,0.995
6.919,0.992
6.949,0.999
6.979,0.992
7.009,1.003
7.039,0.988
7.069,1.006
7.099,0.998
7.129,0.998
7.159,0.992
7.189,0.998
7.219,0.999
7.249,0.999
7.279,0.999
7.309,0.991
7.339,0.998
7.369,0.998
7.399,1.000
7.429,1.002
7.459,0.999
7.489,1.003
7.519,0.994
7.549,0.998
7.579,0.998
7.609,1.000
7.639,0.992
7.669,1.001
7.699,1.000
7.729,1.000
7.759,0.997
7.789,0.994
7.819,1.000
7.849,0.997
7.879,1.001
7.909,0.992
7.939,1.000
7.969,1.001
7.999,0.995
8.029,0.995
8.059,1.001
8.089,1.003
8.119,0.991
8.149,0.996
8.179,0.999
8.209,0.995
8.239,0.996
8.269,1.008
8.299,0.993
8.329,1.013
8.359,1.003
8.389,0.999
8.419,0.995
8.449,0.999
8.479,0.996
8.509,0.995
8.539,1.000
8.569,0.994
8.599,1.002
8.629,1.003
8.659,0.998
8.689,0.996
8.719,1.000
8.749,0.986
8.779,0.974
8.809,0.983
8.839,0.979
8.869,0.979
8.899,0.998
8.929,1.021
8.959,1.021
8.989,1.021
9.019,0.989
9.049,1.006
9.079,1.028
9.109,1.006
9.139,1.006
9.169,0.988
9.199,1.008
9.229,0.986
9.259,0.993
9.289,1.000
9.319,0.998
9.349,1.001
9.379,0.984
9.409,1.005
9.439,1.001
9.469,0.999
9.499,0.994
9.529,1.007
9.559,1.002
9.589,0.997
9.619,0.993
9.649,0.988
9.679,0.998
9.709,1.008
9.739,1.002
9.769,1.005
9.799,1.008
9.829,1.013
9.859,1.021
9.889,1.018
9.919,1.010
9.949,0.993
9.979,0.980
10.009,0.982
10.039,0.994
10.069,1.003
10.099,0.994
10.129,0.996
10.159,1.001
10.189,1.009
10.219,1.000
10.249,1.001
10.279,0.989
10.309,1.006
10.339,1.004
10.369,1.008
10.399,0.998
10.429,1.005
10.459,1.004
10.489,1.006
10.519,0.999
10.549,1.002
10.579,1.006
10.609,1.006
10.639,1.007
10.669,1.008
10.699,1.001
10.729,1.008
10.759,1.014
10.789,1.006
10.819,0.988
10.849,1.005
10.879,0.997
10.909,0.997
10.939,0.995
10.969,0.984
10.999,0.992
11.029,0.995
11.059,1.005
11.089,1.005
11.119,1.001
11.149,1.005
11.179,1.007
11.209,0.999
11.239,0.993
11.269,0.999
11.299,1.000
11.329,0.995
11.359,0.984
11.389,0.993
11.419,1.003
11.449,0.984
11.479,1.001
11.509,0.997
11.539,0.999
11.569,0.999
11.599,0.995
11.629,0.994
11.659,0.993
11.689,0.999
11.719,0.994
11.749,0.998
11.779,0.996
11.809,0.994
11.839,0.997
11.869,0.993
11.899,0.997
11.929,0.992
11.959,0.998
11.989,1.000
12.019,0.999
12.049,0.994
12.079,0.994
12.109,0.994
12.139,0.997
12.169,0.995
12.199,0.993
12.229,0.998
12.259,1.000
12.289,0.998
12.319,0.999
12.349,0.993
12.379,0.986
12.409,1.000
12.439,0.987
12.469,0.994
12.499,0.998
12.529,0.992
12.559,0.995
12.589,1.000
12.619,0.999
12.649,0.996
12.679,1.000
12.709,0.986
12.739,0.989
12.769,0.999
12.799,0.997
12.829,1.007
12.859,1.006
12.889,1.005
12.919,1.003
12.949,1.006
12.979,1.012
13.009,1.002
13.039,0.986
13.069,0.973
13.099,0.979
13.129,0.980
13.159,0.976
13.189,0.979
13.219,0.979
13.249,0.996
13.279,0.996
13.309,0.988
13.339,0.991
13.369,1.005
13.399,0.986
13.429,0.984
13.459,1.003
13.489,1.008
13.519,0.997
13.549,0.999
13.579,1.003
13.609,1.001
13.639,1.001
13.669,0.995
13.699,0.999
13.729,0.996
13.759,0.996
13.789,0.995
13.819,0.999
13.849,0.989
13.879,0.988
13.909,0.987
13.939,0.984
13.969,0.986
