df_hash,22ZHK4.9VZJG1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.P9YT
person_label,V19
date_time_start,2025-05-23_10-38-40.608000_+03
date_time_start_unix,1747985920.608
date_time_end,2025-05-23_10-47-26.620000_+03
length_difference_noticed,no

time,ppg_ir,ppg_ambient,ppg_red
5.511,168908,174,130134
5.516,168889,186,130142
5.521,168869,179,130152
5.526,168854,183,130171
5.531,168851,182,130152
5.536,168822,179,130160
5.541,168801,182,130153
5.546,168792,184,130166
5.551,168755,178,130152
5.556,168753,180,130166
5.561,168729,175,130155
5.566,168727,185,130159
5.571,168713,179,130151
5.576,168697,180,130154
5.581,168666,179,130140
5.586,168655,181,130129
5.591,168651,176,130136
5.596,168636,186,130132
5.601,168638,180,130140
5.606,168618,181,130146
5.611,168632,176,130157
5.615,168609,185,130147
5.620,168607,180,130168
5.625,168598,181,130167
5.630,168624,180,130180
5.635,168616,181,130183
5.640,168625,177,130199
5.645,168628,177,130206
5.650,168628,182,130214
5.655,168635,181,130226
5.660,168625,177,130244
5.665,168620,185,130252
5.670,168636,180,130248
5.675,168631,179,130248
5.680,168614,179,130249
5.685,168622,179,130264
5.690,168600,176,130268
5.695,168599,183,130271
5.700,168605,181,130271
5.705,168615,179,130268
5.710,168612,177,130269
5.715,168598,183,130274
5.720,168619,182,130294
5.725,168596,179,130282
5.730,168620,177,130280
5.735,168608,183,130286
5.740,168610,181,130287
5.745,168615,179,130280
5.750,168635,178,130296
5.754,168615,183,130301
5.759,168612,182,130292
5.764,168640,178,130290
5.769,168637,177,130301
5.774,168639,183,130271
5.779,168617,177,130303
5.784,168625,182,130293
5.789,168631,181,130301
5.794,168632,177,130301
5.799,168641,178,130312
5.804,168635,182,130308
5.809,168618,183,130314
5.814,168614,178,130306
5.819,168629,179,130317
5.824,168604,176,130311
5.829,168635,179,130318
5.834,168635,175,130319
5.839,168607,185,130303
5.844,168616,179,130303
5.849,168622,181,130320
5.854,168630,175,130318
5.859,168613,185,130322
5.864,168616,180,130319
5.869,168605,181,130314
5.874,168630,180,130327
5.879,168613,181,130313
5.884,168620,176,130310
5.888,168620,178,130315
5.893,168613,181,130315
5.898,168623,183,130315
5.903,168622,177,130308
5.908,168627,180,130316
5.913,168634,174,130312
5.918,168647,185,130309
5.923,168634,174,130326
5.928,168636,187,130318
5.933,168650,180,130326
5.938,168654,183,130326
5.943,168644,176,130323
5.948,168644,181,130327
5.953,168665,181,130314
5.958,168665,185,130322
5.963,168682,178,130323
5.968,168684,181,130324
5.973,168691,175,130322
5.978,168689,181,130315
5.983,168691,174,130317
5.988,168693,187,130325
5.993,168689,179,130322
5.998,168692,183,130327
6.003,168694,175,130330
6.008,168690,179,130325
6.013,168712,181,130318
6.018,168697,185,130318
6.023,168694,173,130306
6.027,168706,185,130298
6.032,168703,177,130309
6.037,168704,182,130305
6.042,168721,174,130305
6.047,168729,179,130311
6.052,168727,179,130320
6.057,168723,183,130311
6.062,168742,175,130304
6.067,168751,182,130257
6.072,168748,175,130304
6.077,168745,179,130314
6.082,168754,180,130306
6.087,168770,184,130307
6.092,168769,176,130311
6.097,168757,179,130314
6.102,168772,180,130330
6.107,168773,184,130323
6.112,168770,176,130307
6.117,168769,184,130323
6.122,168796,177,130313
6.127,168787,181,130327
6.132,168800,174,130319
6.137,168809,186,130304
6.142,168804,179,130307
6.147,168812,182,130321
6.152,168818,175,130312
6.157,168831,180,130317
6.161,168838,181,130322
6.166,168834,180,130320
6.171,168825,181,130320
6.176,168846,184,130319
6.181,168847,176,130317
6.186,168850,180,130315
6.191,168847,174,130312
6.196,168851,185,130312
6.201,168860,178,130298
6.206,168867,181,130303
6.211,168885,175,130287
6.216,168867,181,130295
6.221,168880,175,130289
6.226,168888,186,130296
6.231,168891,180,130302
6.236,168891,181,130285
6.241,168892,176,130292
6.246,168895,179,130291
6.251,168899,182,130277
6.256,168906,183,130271
6.261,168903,177,130276
6.266,168891,183,130256
6.271,168898,178,130247
6.276,168883,179,130221
6.281,168859,175,130199
6.286,168829,185,130200
6.291,168818,180,130174
6.296,168798,180,130157
6.300,168765,175,130141
6.305,168753,184,130124
6.310,168722,179,130116
6.315,168708,184,130090
6.320,168660,180,130072
6.325,168641,181,130066
6.330,168627,177,130058
6.335,168598,185,130038
6.340,168578,181,130029
6.345,168556,181,130002
6.350,168531,178,129995
6.355,168513,177,129989
6.360,168511,174,129983
6.365,168492,177,129977
6.370,168491,176,129958
6.375,168472,182,129947
6.380,168453,178,129951
6.385,168479,177,129951
6.390,168463,183,129940
6.395,168453,181,129938
6.400,168437,178,129940
6.405,168437,176,129924
