df_hash,22ZHK4.LYE8RS
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.XR9V
person_label,V20
date_time_start,2025-05-23_10-51-26.361000_+03
date_time_start_unix,1747986686.361
date_time_end,2025-05-23_11-00-10.433000_+03
length_difference_noticed,no

time,acc_x,acc_y,acc_z
4.858,-0.574,0.809,0.059
4.868,-0.574,0.814,0.059
4.878,-0.568,0.811,0.059
4.888,-0.568,0.807,0.057
4.898,-0.568,0.805,0.057
4.908,-0.572,0.807,0.053
4.918,-0.572,0.811,0.055
4.928,-0.572,0.812,0.057
4.938,-0.574,0.809,0.059
4.947,-0.574,0.803,0.055
4.957,-0.578,0.807,0.057
4.967,-0.578,0.809,0.059
4.977,-0.578,0.807,0.057
4.987,-0.574,0.807,0.055
4.997,-0.574,0.807,0.055
5.007,-0.572,0.803,0.053
5.017,-0.574,0.809,0.055
5.027,-0.570,0.807,0.055
5.037,-0.572,0.809,0.057
5.047,-0.576,0.811,0.059
5.057,-0.574,0.811,0.053
5.067,-0.572,0.809,0.057
5.077,-0.574,0.807,0.053
5.087,-0.574,0.803,0.051
5.096,-0.576,0.805,0.053
5.106,-0.576,0.809,0.053
5.116,-0.578,0.809,0.051
5.126,-0.578,0.809,0.051
5.136,-0.576,0.811,0.049
5.146,-0.576,0.811,0.049
5.156,-0.578,0.811,0.055
5.166,-0.578,0.807,0.051
5.176,-0.576,0.809,0.049
5.186,-0.578,0.811,0.049
5.196,-0.574,0.809,0.051
5.206,-0.580,0.807,0.049
5.216,-0.576,0.807,0.049
5.226,-0.578,0.807,0.047
5.235,-0.578,0.807,0.047
5.245,-0.580,0.811,0.043
5.255,-0.576,0.805,0.047
5.265,-0.578,0.805,0.047
5.275,-0.578,0.803,0.045
5.285,-0.578,0.805,0.049
5.295,-0.578,0.805,0.047
5.305,-0.578,0.805,0.045
5.315,-0.580,0.803,0.047
5.325,-0.578,0.805,0.047
5.335,-0.580,0.809,0.043
5.345,-0.580,0.809,0.047
5.355,-0.578,0.807,0.043
5.365,-0.578,0.807,0.045
5.375,-0.574,0.807,0.041
5.384,-0.582,0.807,0.043
5.394,-0.580,0.809,0.045
5.404,-0.578,0.805,0.047
5.414,-0.576,0.809,0.045
5.424,-0.580,0.811,0.041
5.434,-0.584,0.807,0.043
5.444,-0.576,0.803,0.047
5.454,-0.578,0.812,0.049
5.464,-0.586,0.814,0.049
5.474,-0.588,0.812,0.045
5.484,-0.580,0.807,0.041
5.494,-0.566,0.807,0.045
5.504,-0.566,0.801,0.047
5.514,-0.562,0.805,0.045
5.523,-0.564,0.824,0.051
5.533,-0.570,0.826,0.049
5.543,-0.566,0.816,0.049
5.553,-0.566,0.811,0.047
5.563,-0.574,0.803,0.045
5.573,-0.582,0.801,0.051
5.583,-0.588,0.799,0.047
5.593,-0.584,0.797,0.045
5.603,-0.592,0.797,0.051
5.613,-0.596,0.801,0.049
5.623,-0.602,0.797,0.051
5.633,-0.600,0.793,0.053
5.643,-0.594,0.793,0.055
5.653,-0.594,0.795,0.055
5.663,-0.590,0.797,0.053
5.672,-0.584,0.793,0.055
5.682,-0.584,0.793,0.057
5.692,-0.580,0.789,0.057
5.702,-0.576,0.797,0.057
5.712,-0.574,0.801,0.061
5.722,-0.574,0.809,0.061
5.732,-0.572,0.803,0.062
5.742,-0.572,0.803,0.059
5.752,-0.578,0.809,0.062
5.762,-0.574,0.809,0.064
5.772,-0.574,0.811,0.059
5.782,-0.570,0.801,0.076
5.792,-0.576,0.809,0.057
5.802,-0.586,0.820,0.049
5.811,-0.582,0.816,0.051
5.821,-0.580,0.807,0.041
5.831,-0.578,0.805,0.053
5.841,-0.578,0.803,0.045
5.851,-0.578,0.803,0.047
5.861,-0.580,0.805,0.041
5.871,-0.582,0.807,0.047
5.881,-0.578,0.805,0.049
5.891,-0.582,0.807,0.047
5.901,-0.576,0.807,0.043
5.911,-0.576,0.805,0.045
5.921,-0.578,0.805,0.053
5.931,-0.576,0.807,0.043
