df_hash,22ZHK4.LYE8RS
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.XR9V
person_label,V20
date_time_start,2025-05-23_10-51-26.361000_+03
date_time_start_unix,1747986686.361
date_time_end,2025-05-23_11-00-10.433000_+03
length_difference_noticed,no

time,battery
8.003,21
18.097,21
27.991,21
37.987,21
47.978,21
57.972,21
68.112,21
78.031,21
88.005,21
97.996,21
107.990,21
117.984,21
127.982,21
137.971,21
147.976,21
157.959,21
168.001,20
178.006,20
187.989,20
197.983,20
207.977,20
217.999,20
228.001,20
237.958,20
247.952,20
257.946,20
267.988,20
277.982,20
287.976,20
298.019,20
307.972,20
317.963,20
327.951,20
337.945,20
347.939,20
358.081,20
368.072,20
377.969,20
387.966,20
397.959,20
408.048,20
417.977,20
427.938,20
437.986,19
447.929,19
457.925,19
467.962,19
477.956,19
487.950,19
497.944,19
507.958,19
517.931,19
