df_hash,22ZHK4.LDJS1X
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.K7SC
person_label,V9
date_time_start,2025-05-22_11-15-08.285000_+03
date_time_start_unix,1747901708.285
date_time_end,2025-05-22_11-23-57.022000_+03
length_difference_noticed,no

time,acc_mag
4.530,0.983
4.560,0.985
4.590,0.983
4.620,0.991
4.650,0.984
4.680,0.989
4.710,0.990
4.740,0.989
4.770,0.984
4.800,0.984
4.830,0.984
4.860,0.986
4.890,0.994
4.920,0.992
4.950,0.980
4.980,0.986
5.010,0.991
5.040,0.988
5.070,0.989
5.100,0.988
5.130,0.988
5.160,0.988
5.190,0.984
5.220,0.985
5.250,0.991
5.280,0.989
5.310,0.988
5.340,0.988
5.370,0.985
5.400,0.988
5.430,0.985
5.460,0.983
5.490,0.986
5.520,0.989
5.550,0.990
5.580,0.988
5.610,0.987
5.640,0.995
5.670,0.990
5.700,0.989
5.730,0.985
5.760,0.979
5.790,0.986
5.820,0.988
5.850,0.988
5.880,0.984
5.910,0.986
5.940,0.989
5.970,0.987
6.000,0.989
6.030,0.996
6.060,0.986
6.090,0.988
6.120,0.989
6.150,0.986
6.180,0.987
6.210,0.987
6.240,0.985
6.270,0.986
6.300,0.986
6.330,0.986
6.360,0.988
6.390,0.993
6.420,0.985
6.450,0.986
6.480,0.987
6.510,0.989
6.540,0.989
6.570,0.990
6.600,0.990
6.630,0.983
6.660,0.993
6.690,0.992
6.720,0.990
6.750,0.989
6.780,0.990
6.810,0.991
6.840,0.990
6.870,0.993
6.900,0.991
6.930,0.981
6.960,0.973
6.990,0.983
7.020,0.983
7.050,0.997
7.080,0.998
7.110,0.998
7.140,0.998
7.170,0.980
7.200,0.955
7.230,0.966
7.260,0.996
7.290,0.994
7.320,1.004
7.350,1.008
7.380,1.009
7.410,0.994
7.440,0.995
7.470,0.985
7.500,0.980
7.530,0.979
7.560,0.968
7.590,0.972
7.620,0.976
7.650,0.988
7.680,0.991
7.710,0.993
7.740,0.996
7.770,0.987
7.800,0.988
7.830,0.987
7.860,0.988
7.890,0.987
7.920,0.992
7.950,0.987
7.980,0.987
8.010,0.983
8.040,0.983
8.070,0.987
8.100,0.993
8.130,0.979
8.160,0.989
8.190,0.995
8.220,0.992
8.250,0.984
8.280,0.985
8.310,1.003
8.340,0.992
8.370,0.990
8.400,0.989
8.430,0.991
8.460,0.995
8.490,1.009
8.520,1.001
8.550,1.021
8.580,0.983
8.610,0.966
8.640,0.976
8.670,0.981
8.700,1.004
8.730,1.002
8.760,1.050
8.790,1.025
8.820,0.973
8.850,0.947
8.880,0.960
8.910,0.976
8.940,0.980
8.970,0.988
9.000,0.993
9.030,1.009
9.060,1.001
9.090,0.993
9.120,0.985
9.150,0.996
9.180,0.999
9.210,1.003
9.240,0.986
9.270,0.988
9.300,0.992
9.330,0.994
9.360,0.994
9.390,0.979
9.420,0.976
9.450,0.979
9.480,0.994
9.510,0.995
9.540,0.993
9.570,0.994
9.600,0.992
9.630,0.979
9.660,0.984
9.690,0.995
9.720,0.991
9.750,0.994
9.780,0.988
9.810,0.987
9.840,0.993
9.870,0.993
9.900,1.004
9.930,0.999
9.960,0.980
9.990,1.000
10.020,0.989
10.050,0.982
10.080,0.978
10.110,0.982
10.140,0.991
10.170,0.987
10.200,1.002
10.230,1.006
10.260,1.007
10.290,0.993
10.320,0.955
10.350,0.963
10.380,0.941
10.410,0.965
10.440,0.998
10.470,0.963
10.500,0.979
10.530,0.950
10.560,1.021
10.590,0.958
10.620,1.001
10.650,1.010
10.680,0.988
10.710,1.007
10.740,0.957
10.770,0.985
10.800,0.984
10.830,0.993
10.860,1.013
10.890,0.988
10.920,1.000
10.950,0.970
10.980,0.994
11.010,0.953
11.040,0.980
11.070,1.009
11.100,0.959
11.130,1.006
11.160,0.985
11.190,0.976
11.220,0.992
11.250,0.981
11.280,0.991
11.310,0.990
11.340,0.982
11.370,1.016
11.400,0.989
11.430,0.987
11.460,0.992
11.490,0.980
11.520,1.064
11.550,0.947
11.580,0.942
11.610,0.971
11.640,0.976
11.670,0.992
11.700,1.027
11.730,0.977
11.760,0.934
11.790,0.958
11.820,0.983
11.850,0.992
11.880,0.972
11.910,0.991
11.940,1.000
11.970,0.997
12.000,0.987
12.030,0.987
12.060,0.996
12.090,1.005
12.120,0.996
12.150,1.003
12.180,0.999
12.210,0.993
12.240,0.990
12.270,0.974
12.300,0.967
12.330,0.978
12.360,1.000
12.390,0.998
12.420,0.997
12.450,1.005
12.480,0.994
12.510,0.986
12.540,0.991
12.570,0.999
12.600,0.988
12.630,0.986
12.660,0.982
12.690,0.983
12.720,0.991
12.750,0.991
12.780,0.978
12.810,0.985
12.840,0.998
12.870,0.994
12.900,0.985
12.930,0.996
12.960,0.993
12.990,0.980
13.020,0.983
13.050,0.982
13.080,0.989
13.110,0.996
13.140,0.999
13.170,0.991
13.200,0.992
13.230,0.993
13.260,0.986
13.290,0.985
13.320,0.990
13.350,0.993
13.380,0.989
13.410,0.992
13.440,0.993
13.470,0.993
13.500,0.988
13.530,0.987
13.560,0.988
13.590,0.988
13.620,0.986
13.650,0.981
13.680,0.987
13.710,0.991
13.740,0.990
13.770,0.990
13.800,0.994
13.830,0.996
13.860,0.993
13.890,0.990
