df_hash,22ZHK4.LDJS1X
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.K7SC
person_label,V9
date_time_start,2025-05-22_11-15-08.285000_+03
date_time_start_unix,1747901708.285
date_time_end,2025-05-22_11-23-57.022000_+03
length_difference_noticed,no

time,heart_rate
8.725,46
9.624,46
10.830,46
11.698,46
12.576,46
13.746,75
14.672,75
15.550,76
16.745,77
17.646,78
18.523,80
19.742,78
20.620,78
21.497,78
22.716,77
23.593,76
24.471,76
25.690,75
26.592,75
27.445,74
28.664,74
29.836,73
30.419,72
31.995,72
32.515,72
33.392,72
34.616,72
35.488,72
36.431,73
37.585,74
38.462,75
39.389,75
40.560,74
41.436,73
42.364,72
43.532,70
44.410,69
45.336,69
46.803,69
47.441,69
48.370,69
49.480,68
50.504,68
51.284,68
52.602,68
53.380,69
54.261,69
55.476,69
56.354,69
57.231,69
58.450,69
59.327,69
60.205,70
61.424,70
62.301,71
63.204,71
64.411,72
65.619,73
66.299,73
67.371,72
68.349,72
69.164,71
70.345,71
71.518,71
72.106,70
73.711,70
74.196,70
75.074,70
76.544,70
77.179,71
78.243,71
79.270,72
80.242,73
81.021,72
82.240,71
83.117,70
84.239,70
85.263,71
86.171,72
86.974,73
88.191,74
89.073,74
90.040,74
91.161,74
92.039,74
92.919,74
94.193,74
95.257,75
95.890,75
97.127,74
97.986,73
98.913,71
100.083,70
100.962,69
101.886,68
103.072,68
103.934,68
104.861,68
106.030,69
106.909,70
107.835,72
109.005,73
109.881,73
110.808,72
111.978,71
112.904,70
113.867,69
114.952,69
115.862,69
116.755,70
117.925,70
118.852,72
119.735,73
120.899,73
121.825,74
122.703,74
123.873,74
124.822,74
125.676,74
126.867,74
127.773,75
128.650,75
129.871,76
130.747,77
131.624,77
132.843,77
133.746,76
134.598,75
136.110,74
136.698,74
137.588,74
138.792,75
139.668,75
140.545,76
141.764,77
142.642,78
143.519,79
144.740,79
145.615,79
146.837,78
147.712,78
148.638,77
149.520,77
150.762,78
151.565,78
152.787,79
153.659,79
154.586,78
155.463,77
156.644,77
157.511,76
158.437,76
159.607,76
160.495,75
161.706,74
162.584,74
163.507,74
164.384,74
165.560,74
166.482,73
167.358,72
168.528,72
169.458,73
170.419,74
171.502,74
172.428,74
173.364,75
174.524,76
175.402,78
176.279,80
177.524,79
178.376,79
179.253,78
180.477,77
181.349,76
182.231,76
183.495,75
184.324,74
185.201,74
186.419,72
187.297,71
188.229,70
189.393,69
190.517,69
191.148,69
192.760,70
193.293,71
194.191,72
195.341,73
196.368,74
197.242,74
198.340,74
199.192,74
200.119,74
201.672,74
202.170,73
203.092,72
204.262,71
205.162,71
206.066,71
207.240,71
208.113,71
209.040,72
210.210,73
211.141,74
212.013,75
213.183,75
214.110,75
215.045,75
216.184,75
217.083,75
217.961,75
219.180,76
220.062,76
220.935,75
222.153,74
223.031,73
223.909,72
225.127,73
226.007,73
226.882,74
228.101,75
228.978,75
229.856,75
231.076,75
231.952,75
232.832,74
234.048,74
234.927,74
235.854,74
237.027,74
237.902,74
238.827,73
240.240,72
240.874,71
241.800,70
243.024,70
243.855,70
244.774,71
245.946,72
246.821,72
247.747,71
248.923,70
249.848,69
250.721,69
251.892,70
253.061,70
253.747,70
255.207,70
255.840,70
256.966,70
257.839,71
259.064,72
259.642,73
260.885,75
261.739,76
262.665,77
263.835,77
264.717,77
265.628,77
266.809,77
267.686,76
268.567,74
269.782,72
270.661,71
271.537,70
272.756,70
273.685,71
274.511,72
275.730,74
276.608,72
277.583,77
278.708,75
279.591,74
280.510,75
281.770,75
282.563,76
283.481,78
284.656,80
285.529,80
286.460,80
287.625,79
288.551,78
289.429,77
290.599,76
291.528,76
292.403,75
293.573,74
294.499,72
295.376,71
296.546,70
297.473,69
298.353,68
299.520,67
300.446,67
301.324,68
302.545,69
303.447,70
304.299,70
305.518,71
306.394,71
307.274,71
308.493,71
309.368,71
310.245,71
311.561,72
312.342,72
313.310,72
314.438,72
315.315,72
316.199,72
317.411,71
318.295,71
319.215,70
320.385,69
321.263,69
322.147,69
323.370,69
324.236,69
325.114,69
326.384,69
327.214,69
328.142,69
329.307,69
330.184,69
331.110,69
332.282,69
333.158,69
334.100,69
335.254,69
336.229,70
337.058,70
338.346,70
339.105,70
340.241,70
341.399,70
342.128,70
343.005,70
344.238,70
345.200,71
345.996,72
347.149,73
348.075,74
348.954,74
350.123,74
351.064,74
351.927,74
353.097,75
354.023,76
354.904,76
356.070,76
356.999,75
357.874,74
359.093,73
359.971,72
360.902,71
362.067,71
362.946,71
363.822,71
365.041,71
365.918,71
366.796,71
368.017,71
368.892,71
369.792,71
370.988,71
371.887,71
372.761,71
373.967,72
374.839,73
375.871,72
376.936,72
377.813,72
378.739,71
379.909,70
380.787,70
381.723,69
382.883,69
383.809,69
384.687,69
385.860,69
386.832,69
387.661,69
388.833,69
389.762,70
390.634,72
391.853,73
392.731,73
393.608,72
394.827,71
395.709,70
396.582,69
397.801,68
398.678,68
399.579,68
400.774,68
401.656,68
402.587,68
403.748,68
404.626,69
405.519,70
407.020,71
407.601,71
408.526,70
409.701,69
410.573,68
411.500,68
412.671,68
413.794,69
414.475,70
415.643,72
416.521,73
417.447,74
418.632,74
419.535,73
420.421,73
421.645,73
422.468,81
