df_hash,22ZHK4.LDJS1X
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.K7SC
person_label,V9
date_time_start,2025-05-22_11-15-08.285000_+03
date_time_start_unix,1747901708.285
date_time_end,2025-05-22_11-23-57.022000_+03
length_difference_noticed,no

time,rr_int
9.553,4055
10.626,820
10.631,845
11.214,265
12.040,560
12.917,825
13.698,795
14.381,775
15.111,750
15.947,785
16.626,755
17.451,770
18.280,790
19.011,790
19.791,765
20.522,760
21.351,795
22.180,815
23.042,815
23.691,805
24.666,820
25.398,850
26.226,815
27.055,825
28.033,855
28.859,870
29.012,835
29.545,265
30.370,540
31.200,815
32.045,850
33.002,870
33.735,865
34.562,795
35.245,780
36.074,790
36.902,810
37.750,810
38.561,800
39.437,845
40.266,885
41.195,885
42.087,865
42.996,900
43.874,905
44.751,860
45.532,870
46.506,895
47.335,905
48.310,910
49.139,895
49.971,880
50.796,855
51.625,880
52.611,865
53.429,865
54.315,865
55.236,890
56.089,900
56.939,865
57.768,825
58.617,845
59.425,860
60.257,870
61.082,825
61.914,810
62.740,835
63.422,830
64.303,800
65.129,825
66.055,860
66.932,875
67.761,835
68.590,825
69.420,860
70.251,875
71.223,885
72.051,895
72.880,860
73.724,845
74.538,870
75.366,850
76.195,820
77.024,810
77.901,815
78.584,845
79.559,820
80.388,855
81.216,890
82.045,890
82.874,835
83.703,810
84.531,815
85.315,805
86.092,795
86.920,825
87.751,800
88.578,830
89.419,840
90.240,845
90.918,810
91.773,805
92.575,810
93.306,800
94.135,770
94.964,790
95.939,850
96.768,900
97.645,875
98.571,875
99.401,915
100.229,905
101.209,905
102.033,875
102.868,890
103.836,895
104.519,865
105.402,815
106.226,795
107.058,805
107.883,830
108.711,815
109.541,840
110.375,880
111.344,915
112.173,870
113.001,860
114.077,890
114.688,880
115.543,825
116.373,835
117.197,840
118.023,805
118.900,805
119.680,820
120.363,840
121.192,800
122.020,800
122.849,815
123.727,815
124.409,835
125.241,805
126.145,780
126.749,795
127.578,800
128.309,785
129.138,755
129.974,750
130.798,805
131.481,835
132.319,820
133.136,810
134.018,825
134.842,840
135.670,820
136.363,790
137.182,785
138.010,795
138.697,800
139.424,780
140.269,745
140.935,760
141.813,760
142.447,750
143.178,735
144.007,775
144.841,775
145.665,805
146.395,825
147.176,795
148.005,820
148.736,775
149.467,700
150.101,695
150.929,765
151.672,765
152.544,820
153.329,820
154.147,825
154.829,760
155.658,760
156.487,805
157.315,830
158.047,815
158.876,770
159.705,840
160.538,840
161.362,830
162.046,800
162.873,785
163.702,835
164.752,855
165.506,865
166.237,845
167.091,815
167.894,830
168.723,825
169.557,785
170.239,795
171.066,825
171.941,810
172.623,810
173.311,755
173.988,705
174.721,680
175.548,710
176.377,820
177.206,855
178.034,795
178.868,785
179.692,845
180.423,835
181.203,795
182.032,800
182.909,835
183.787,865
184.568,840
185.542,850
186.375,895
187.199,935
188.174,870
189.003,865
189.832,885
190.665,835
191.489,830
192.318,830
193.052,830
193.888,785
194.709,800
195.536,815
196.377,830
197.047,810
197.877,790
198.708,810
199.533,840
200.411,850
201.243,850
202.068,825
202.897,845
203.872,870
204.704,885
205.384,835
206.216,820
207.045,830
207.870,830
208.747,800
209.430,775
210.262,805
211.087,810
211.770,790
212.598,790
213.427,805
214.158,800
214.987,790
215.816,805
216.498,800
217.350,770
218.156,790
218.985,815
219.862,835
220.691,830
221.520,865
222.348,860
223.177,810
224.007,815
224.691,820
225.566,805
226.397,785
227.077,795
227.906,810
228.735,825
229.563,795
230.392,815
231.234,845
232.050,845
232.932,810
233.610,820
234.441,830
235.267,835
236.096,810
236.925,835
237.754,865
238.632,855
239.557,835
240.388,870
241.267,885
242.092,885
242.933,850
243.613,800
244.579,745
245.407,885
246.240,895
247.211,880
248.068,880
248.869,870
249.697,855
250.575,845
251.404,845
252.238,860
253.081,860
254.036,860
254.865,850
255.694,840
256.376,845
257.254,810
257.498,820
258.035,235
258.767,510
259.595,785
260.277,780
261.105,790
261.934,795
262.714,770
263.542,790
264.176,760
265.005,780
265.834,800
266.663,845
267.494,870
268.466,885
269.299,855
270.124,850
271.006,845
271.830,860
272.659,845
273.341,800
274.024,795
274.706,720
275.438,655
276.124,665
276.949,730
277.777,865
278.606,845
279.435,830
280.166,780
280.995,800
281.701,775
282.360,715
283.093,695
283.774,700
284.603,740
285.435,835
286.260,820
287.089,820
287.771,795
288.649,805
289.478,795
290.306,800
291.138,835
291.984,840
292.793,830
293.621,865
294.596,910
295.425,910
296.403,915
297.278,915
298.204,900
299.038,905
299.861,880
300.690,850
301.519,840
302.397,850
303.225,845
304.055,820
304.913,845
305.735,850
306.540,835
307.524,855
308.198,865
309.026,815
309.874,805
310.733,845
311.569,840
312.390,845
313.222,820
314.048,840
314.876,870
315.705,835
316.680,845
317.509,880
318.345,895
319.318,905
320.142,865
320.996,885
321.945,900
322.782,895
323.608,865
324.481,860
325.407,885
326.284,895
327.114,870
328.088,890
328.917,895
329.745,900
330.720,880
331.549,845
332.383,860
334.035,865
334.865,1705
335.718,865
336.668,875
337.497,875
338.356,830
339.203,855
340.032,875
340.866,890
341.689,835
342.518,840
343.347,845
344.175,835
345.053,830
345.833,790
346.671,810
347.394,820
348.227,830
349.062,815
349.882,815
350.708,825
